Forward: Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Transformation from DB_Ref_Geod to EGBT22_Geod with DB_Ref ellipsoidal height 0.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.
Reverse: Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Iterative Transformation from EGBT22_Geod to DB_Ref_Geod with DB_Ref ellipsoidal height 0.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.
dxRoundTrip,dyRoundTrip,dx,dy
-7.037E-005,2.280E-005,2.175E-004,1.108E-003
-7.035E-005,2.279E-005,2.211E-004,1.108E-003
-7.033E-005,2.280E-005,2.248E-004,1.109E-003
-7.031E-005,2.280E-005,2.285E-004,1.109E-003
-7.029E-005,2.280E-005,2.322E-004,1.109E-003
-7.037E-005,2.286E-005,2.188E-004,1.123E-003
-7.035E-005,2.286E-005,2.224E-004,1.123E-003
-7.033E-005,2.286E-005,2.261E-004,1.124E-003
-7.031E-005,2.285E-005,2.298E-004,1.124E-003
-7.029E-005,2.285E-005,2.335E-004,1.125E-003
-7.037E-005,2.291E-005,2.200E-004,1.138E-003
-7.035E-005,2.291E-005,2.237E-004,1.139E-003
-7.033E-005,2.291E-005,2.274E-004,1.139E-003
-7.031E-005,2.291E-005,2.311E-004,1.140E-003
-7.029E-005,2.291E-005,2.348E-004,1.140E-003
-7.036E-005,2.297E-005,2.213E-004,1.154E-003
-7.035E-005,2.297E-005,2.250E-004,1.154E-003
-7.033E-005,2.297E-005,2.287E-004,1.155E-003
-7.031E-005,2.297E-005,2.324E-004,1.155E-003
-7.029E-005,2.297E-005,2.361E-004,1.156E-003
-7.036E-005,2.303E-005,2.226E-004,1.170E-003
-7.034E-005,2.303E-005,2.263E-004,1.170E-003
-7.033E-005,2.303E-005,2.300E-004,1.170E-003
-7.031E-005,2.302E-005,2.337E-004,1.171E-003
-7.029E-005,2.303E-005,2.375E-004,1.171E-003
-7.036E-005,2.308E-005,2.240E-004,1.185E-003
-7.034E-005,2.308E-005,2.277E-004,1.186E-003
-7.033E-005,2.309E-005,2.314E-004,1.186E-003
-7.031E-005,2.308E-005,2.351E-004,1.187E-003
-7.029E-005,2.309E-005,2.388E-004,1.187E-003
-7.037E-005,2.280E-005,5.454E-004,2.344E-003
-7.035E-005,2.279E-005,5.531E-004,2.344E-003
-7.033E-005,2.280E-005,5.608E-004,2.344E-003
-7.031E-005,2.280E-005,5.685E-004,2.345E-003
-7.029E-005,2.280E-005,5.762E-004,2.345E-003
-7.037E-005,2.286E-005,5.467E-004,2.371E-003
-7.035E-005,2.285E-005,5.544E-004,2.371E-003
-7.033E-005,2.286E-005,5.621E-004,2.372E-003
-7.031E-005,2.286E-005,5.698E-004,2.372E-003
-7.029E-005,2.286E-005,5.775E-004,2.372E-003
-7.037E-005,2.291E-005,5.480E-004,2.398E-003
-7.035E-005,2.291E-005,5.557E-004,2.398E-003
-7.033E-005,2.291E-005,5.634E-004,2.399E-003
-7.031E-005,2.291E-005,5.711E-004,2.399E-003
-7.029E-005,2.291E-005,5.788E-004,2.400E-003
-7.036E-005,2.296E-005,5.493E-004,2.425E-003
-7.035E-005,2.297E-005,5.570E-004,2.426E-003
-7.033E-005,2.297E-005,5.647E-004,2.426E-003
-7.031E-005,2.297E-005,5.724E-004,2.427E-003
-7.029E-005,2.297E-005,5.801E-004,2.427E-003
-7.036E-005,2.303E-005,5.506E-004,2.453E-003
-7.034E-005,2.303E-005,5.583E-004,2.453E-003
-7.033E-005,2.303E-005,5.660E-004,2.454E-003
-7.031E-005,2.303E-005,5.737E-004,2.454E-003
-7.029E-005,2.303E-005,5.814E-004,2.455E-003
-7.036E-005,2.308E-005,5.520E-004,2.481E-003
-7.034E-005,2.308E-005,5.597E-004,2.481E-003
-7.033E-005,2.308E-005,5.673E-004,2.481E-003
-7.031E-005,2.308E-005,5.750E-004,2.482E-003
-7.029E-005,2.308E-005,5.827E-004,2.482E-003
-7.037E-005,2.280E-005,8.733E-004,3.580E-003
-7.035E-005,2.279E-005,8.851E-004,3.580E-003
-7.033E-005,2.280E-005,8.968E-004,3.580E-003
-7.031E-005,2.280E-005,9.085E-004,3.581E-003
-7.029E-005,2.279E-005,9.203E-004,3.581E-003
-7.037E-005,2.286E-005,8.746E-004,3.618E-003
-7.035E-005,2.286E-005,8.863E-004,3.619E-003
-7.033E-005,2.286E-005,8.981E-004,3.619E-003
-7.031E-005,2.285E-005,9.098E-004,3.620E-003
-7.029E-005,2.285E-005,9.215E-004,3.620E-003
-7.037E-005,2.292E-005,8.759E-004,3.658E-003
-7.035E-005,2.291E-005,8.877E-004,3.658E-003
-7.033E-005,2.291E-005,8.994E-004,3.658E-003
-7.031E-005,2.291E-005,9.111E-004,3.659E-003
-7.029E-005,2.291E-005,9.228E-004,3.659E-003
-7.036E-005,2.297E-005,8.773E-004,3.697E-003
-7.035E-005,2.297E-005,8.890E-004,3.697E-003
-7.033E-005,2.297E-005,9.007E-004,3.698E-003
-7.031E-005,2.297E-005,9.124E-004,3.698E-003
-7.029E-005,2.297E-005,9.241E-004,3.698E-003
-7.036E-005,2.303E-005,8.786E-004,3.736E-003
-7.034E-005,2.303E-005,8.903E-004,3.737E-003
-7.033E-005,2.303E-005,9.020E-004,3.737E-003
-7.031E-005,2.303E-005,9.137E-004,3.737E-003
-7.029E-005,2.303E-005,9.254E-004,3.738E-003
-7.036E-005,2.309E-005,8.800E-004,3.776E-003
-7.034E-005,2.308E-005,8.916E-004,3.776E-003
-7.033E-005,2.308E-005,9.033E-004,3.776E-003
-7.031E-005,2.308E-005,9.150E-004,3.777E-003
-7.029E-005,2.309E-005,9.267E-004,3.777E-003
-7.037E-005,2.280E-005,1.201E-003,4.815E-003
-7.035E-005,2.280E-005,1.217E-003,4.816E-003
-7.033E-005,2.280E-005,1.233E-003,4.816E-003
-7.031E-005,2.279E-005,1.249E-003,4.817E-003
-7.029E-005,2.279E-005,1.264E-003,4.817E-003
-7.037E-005,2.285E-005,1.203E-003,4.866E-003
-7.035E-005,2.285E-005,1.218E-003,4.867E-003
-7.033E-005,2.285E-005,1.234E-003,4.867E-003
-7.031E-005,2.285E-005,1.250E-003,4.867E-003
-7.029E-005,2.285E-005,1.266E-003,4.868E-003
-7.037E-005,2.291E-005,1.204E-003,4.917E-003
-7.035E-005,2.291E-005,1.220E-003,4.917E-003
-7.033E-005,2.291E-005,1.235E-003,4.918E-003
-7.031E-005,2.291E-005,1.251E-003,4.918E-003
-7.029E-005,2.291E-005,1.267E-003,4.919E-003
-7.036E-005,2.297E-005,1.205E-003,4.968E-003
-7.035E-005,2.297E-005,1.221E-003,4.969E-003
-7.033E-005,2.297E-005,1.237E-003,4.969E-003
-7.031E-005,2.297E-005,1.252E-003,4.969E-003
-7.029E-005,2.297E-005,1.268E-003,4.970E-003
-7.036E-005,2.303E-005,1.207E-003,5.019E-003
-7.034E-005,2.302E-005,1.222E-003,5.020E-003
-7.033E-005,2.303E-005,1.238E-003,5.020E-003
-7.031E-005,2.303E-005,1.254E-003,5.021E-003
-7.029E-005,2.303E-005,1.269E-003,5.021E-003
-7.036E-005,2.308E-005,1.208E-003,5.071E-003
-7.034E-005,2.308E-005,1.224E-003,5.071E-003
-7.033E-005,2.308E-005,1.239E-003,5.072E-003
-7.031E-005,2.308E-005,1.255E-003,5.072E-003
-7.029E-005,2.309E-005,1.271E-003,5.072E-003
-7.037E-005,2.280E-005,1.529E-003,6.051E-003
-7.035E-005,2.280E-005,1.549E-003,6.052E-003
-7.033E-005,2.279E-005,1.569E-003,6.052E-003
-7.031E-005,2.280E-005,1.589E-003,6.052E-003
-7.030E-005,2.280E-005,1.608E-003,6.053E-003
-7.037E-005,2.286E-005,1.530E-003,6.114E-003
-7.035E-005,2.285E-005,1.550E-003,6.114E-003
-7.033E-005,2.286E-005,1.570E-003,6.115E-003
-7.031E-005,2.286E-005,1.590E-003,6.115E-003
-7.029E-005,2.285E-005,1.610E-003,6.115E-003
-7.037E-005,2.291E-005,1.532E-003,6.177E-003
-7.035E-005,2.291E-005,1.552E-003,6.177E-003
-7.033E-005,2.291E-005,1.571E-003,6.177E-003
-7.031E-005,2.291E-005,1.591E-003,6.178E-003
-7.029E-005,2.291E-005,1.611E-003,6.178E-003
-7.036E-005,2.297E-005,1.533E-003,6.239E-003
-7.035E-005,2.297E-005,1.553E-003,6.240E-003
-7.033E-005,2.297E-005,1.573E-003,6.240E-003
-7.031E-005,2.297E-005,1.592E-003,6.241E-003
-7.029E-005,2.297E-005,1.612E-003,6.241E-003
-7.036E-005,2.303E-005,1.535E-003,6.303E-003
-7.034E-005,2.303E-005,1.554E-003,6.303E-003
-7.033E-005,2.303E-005,1.574E-003,6.303E-003
-7.031E-005,2.303E-005,1.594E-003,6.304E-003
-7.029E-005,2.303E-005,1.613E-003,6.304E-003
-7.036E-005,2.308E-005,1.536E-003,6.366E-003
-7.034E-005,2.308E-005,1.556E-003,6.366E-003
-7.033E-005,2.308E-005,1.575E-003,6.367E-003
-7.031E-005,2.308E-005,1.595E-003,6.367E-003
-7.029E-005,2.308E-005,1.615E-003,6.367E-003
