Forward: Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.
Reverse: Iterative Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.
dxRoundTrip,dyRoundTrip,dx,dy,isInsideBBox,srcPPM
-7.037E-005,2.279E-005,9.961E-009,3.051E-009,False,-88.3
-7.035E-005,2.279E-005,9.964E-009,3.113E-009,False,-81.0
-7.033E-005,2.280E-005,9.966E-009,3.176E-009,False,-74.1
-7.031E-005,2.280E-005,9.968E-009,3.238E-009,False,-67.5
-7.029E-005,2.280E-005,9.971E-009,3.301E-009,False,-61.3
-7.037E-005,2.286E-005,1.010E-008,3.075E-009,False,-87.9
-7.035E-005,2.286E-005,1.010E-008,3.138E-009,True,-80.7
-7.033E-005,2.286E-005,1.010E-008,3.201E-009,True,-73.8
-7.031E-005,2.285E-005,1.011E-008,3.264E-009,True,-67.3
-7.029E-005,2.285E-005,1.011E-008,3.327E-009,False,-61.0
-7.037E-005,2.291E-005,1.024E-008,3.100E-009,False,-87.5
-7.035E-005,2.291E-005,1.024E-008,3.163E-009,True,-80.4
-7.033E-005,2.291E-005,1.024E-008,3.226E-009,True,-73.5
-7.031E-005,2.291E-005,1.024E-008,3.289E-009,True,-67.0
-7.029E-005,2.291E-005,1.025E-008,3.353E-009,False,-60.7
-7.036E-005,2.297E-005,1.038E-008,3.124E-009,False,-87.1
-7.035E-005,2.297E-005,1.038E-008,3.188E-009,True,-80.0
-7.033E-005,2.297E-005,1.038E-008,3.252E-009,True,-73.2
-7.031E-005,2.297E-005,1.038E-008,3.315E-009,True,-66.7
-7.029E-005,2.297E-005,1.039E-008,3.379E-009,False,-60.5
-7.036E-005,2.303E-005,1.052E-008,3.149E-009,False,-86.8
-7.034E-005,2.302E-005,1.052E-008,3.213E-009,False,-79.7
-7.033E-005,2.303E-005,1.052E-008,3.277E-009,False,-72.9
-7.031E-005,2.302E-005,1.052E-008,3.342E-009,False,-66.4
-7.029E-005,2.303E-005,1.053E-008,3.406E-009,False,-60.2
-7.036E-005,2.308E-005,1.066E-008,3.175E-009,False,-86.4
-7.034E-005,2.308E-005,1.066E-008,3.239E-009,False,-79.3
-7.033E-005,2.309E-005,1.066E-008,3.304E-009,False,-72.6
-7.031E-005,2.308E-005,1.067E-008,3.368E-009,False,-66.1
-7.029E-005,2.308E-005,1.067E-008,3.433E-009,False,-59.9
-7.037E-005,2.280E-005,2.108E-008,7.660E-009,False,-88.3
-7.035E-005,2.280E-005,2.108E-008,7.791E-009,False,-81.0
-7.033E-005,2.280E-005,2.108E-008,7.923E-009,False,-74.1
-7.031E-005,2.280E-005,2.108E-008,8.054E-009,False,-67.5
-7.029E-005,2.280E-005,2.108E-008,8.185E-009,False,-61.3
-7.037E-005,2.286E-005,2.132E-008,7.694E-009,False,-87.9
-7.035E-005,2.285E-005,2.132E-008,7.826E-009,True,-80.7
-7.033E-005,2.285E-005,2.132E-008,7.958E-009,True,-73.8
-7.031E-005,2.285E-005,2.132E-008,8.089E-009,True,-67.3
-7.029E-005,2.285E-005,2.132E-008,8.221E-009,False,-61.0
-7.037E-005,2.291E-005,2.156E-008,7.728E-009,False,-87.5
-7.035E-005,2.291E-005,2.156E-008,7.861E-009,True,-80.4
-7.033E-005,2.291E-005,2.156E-008,7.993E-009,True,-73.5
-7.031E-005,2.291E-005,2.156E-008,8.125E-009,True,-67.0
-7.029E-005,2.291E-005,2.156E-008,8.258E-009,False,-60.7
-7.036E-005,2.297E-005,2.181E-008,7.763E-009,False,-87.1
-7.035E-005,2.297E-005,2.181E-008,7.896E-009,True,-80.0
