Forward: Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33:
Reverse: Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.|>Iterative Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.
dxRoundTrip,dyRoundTrip,dx,dy,isInsideBBox,srcPPM
-7.037E-005,2.280E-005,2.338E-004,1.104E-003,False,-88.3
-7.035E-005,2.279E-005,2.374E-004,1.104E-003,False,-81.0
-7.033E-005,2.280E-005,2.411E-004,1.105E-003,False,-74.1
-7.031E-005,2.280E-005,2.448E-004,1.105E-003,False,-67.5
-7.029E-005,2.280E-005,2.485E-004,1.106E-003,False,-61.3
-7.037E-005,2.286E-005,2.353E-004,1.119E-003,False,-87.9
-7.035E-005,2.286E-005,2.390E-004,1.120E-003,True,-80.7
-7.033E-005,2.286E-005,2.426E-004,1.120E-003,True,-73.8
-7.031E-005,2.285E-005,2.463E-004,1.120E-003,True,-67.3
-7.029E-005,2.285E-005,2.500E-004,1.121E-003,False,-61.0
-7.037E-005,2.291E-005,2.368E-004,1.135E-003,False,-87.5
-7.035E-005,2.291E-005,2.405E-004,1.135E-003,True,-80.4
-7.033E-005,2.291E-005,2.442E-004,1.135E-003,True,-73.5
-7.031E-005,2.291E-005,2.479E-004,1.136E-003,True,-67.0
-7.029E-005,2.291E-005,2.516E-004,1.136E-003,False,-60.7
-7.036E-005,2.297E-005,2.384E-004,1.150E-003,False,-87.1
-7.035E-005,2.297E-005,2.421E-004,1.151E-003,True,-80.0
-7.033E-005,2.297E-005,2.458E-004,1.151E-003,True,-73.2
-7.031E-005,2.297E-005,2.495E-004,1.151E-003,True,-66.7
-7.029E-005,2.297E-005,2.532E-004,1.152E-003,False,-60.5
-7.036E-005,2.303E-005,2.399E-004,1.166E-003,False,-86.8
-7.034E-005,2.302E-005,2.436E-004,1.166E-003,False,-79.7
-7.033E-005,2.303E-005,2.473E-004,1.167E-003,False,-72.9
-7.031E-005,2.302E-005,2.510E-004,1.167E-003,False,-66.4
-7.029E-005,2.303E-005,2.548E-004,1.167E-003,False,-60.2
-7.036E-005,2.309E-005,2.415E-004,1.182E-003,False,-86.4
-7.034E-005,2.308E-005,2.452E-004,1.182E-003,False,-79.3
-7.033E-005,2.309E-005,2.489E-004,1.182E-003,False,-72.6
-7.031E-005,2.308E-005,2.526E-004,1.183E-003,False,-66.1
-7.029E-005,2.308E-005,2.564E-004,1.183E-003,False,-59.9
-7.037E-005,2.279E-005,5.798E-004,2.335E-003,False,-88.3
-7.035E-005,2.280E-005,5.875E-004,2.335E-003,False,-81.0
-7.033E-005,2.280E-005,5.952E-004,2.335E-003,False,-74.1
-7.031E-005,2.280E-005,6.029E-004,2.335E-003,False,-67.5
-7.030E-005,2.280E-005,6.106E-004,2.336E-003,False,-61.3
-7.037E-005,2.286E-005,5.816E-004,2.362E-003,False,-87.9
-7.035E-005,2.285E-005,5.892E-004,2.362E-003,True,-80.7
-7.033E-005,2.285E-005,5.969E-004,2.362E-003,True,-73.8
-7.031E-005,2.285E-005,6.046E-004,2.362E-003,True,-67.3
-7.029E-005,2.286E-005,6.124E-004,2.363E-003,False,-61.0
-7.037E-005,2.291E-005,5.833E-004,2.389E-003,False,-87.5
-7.035E-005,2.291E-005,5.910E-004,2.389E-003,True,-80.4
-7.033E-005,2.292E-005,5.987E-004,2.389E-003,True,-73.5
-7.031E-005,2.291E-005,6.064E-004,2.390E-003,True,-67.0
-7.029E-005,2.291E-005,6.141E-004,2.390E-003,False,-60.7
-7.036E-005,2.297E-005,5.851E-004,2.416E-003,False,-87.1
-7.035E-005,2.297E-005,5.928E-004,2.416E-003,True,-80.0
