Forward: Transformation from DB_Ref_Geod to EGBT22_Geod with DB_Ref ellipsoidal height 0.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.
Reverse: Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Iterative Transformation from EGBT22_Geod to DB_Ref_Geod with DB_Ref ellipsoidal height 0.
dxRoundTrip,dyRoundTrip,dx,dy,isInsideBBox,srcPPM
1.947E-010,-9.995E-010,2.175E-004,1.108E-003,False,
1.951E-010,-9.990E-010,2.211E-004,1.108E-003,False,
1.955E-010,-9.985E-010,2.248E-004,1.109E-003,False,
1.960E-010,-9.981E-010,2.285E-004,1.109E-003,False,
1.964E-010,-9.976E-010,2.322E-004,1.109E-003,False,
1.952E-010,-1.002E-009,2.188E-004,1.123E-003,False,
1.956E-010,-1.001E-009,2.224E-004,1.123E-003,True,
1.960E-010,-1.001E-009,2.261E-004,1.124E-003,True,
1.965E-010,-1.000E-009,2.298E-004,1.124E-003,True,
1.969E-010,-9.998E-010,2.335E-004,1.125E-003,False,
1.957E-010,-1.004E-009,2.200E-004,1.138E-003,False,
1.961E-010,-1.003E-009,2.237E-004,1.139E-003,True,
1.966E-010,-1.003E-009,2.274E-004,1.139E-003,True,
1.970E-010,-1.002E-009,2.311E-004,1.140E-003,True,
1.974E-010,-1.002E-009,2.348E-004,1.140E-003,False,
1.962E-010,-1.006E-009,2.213E-004,1.154E-003,False,
1.966E-010,-1.005E-009,2.250E-004,1.154E-003,True,
1.970E-010,-1.005E-009,2.287E-004,1.155E-003,True,
1.975E-010,-1.004E-009,2.324E-004,1.155E-003,True,
1.980E-010,-1.004E-009,2.361E-004,1.156E-003,False,
1.967E-010,-1.008E-009,2.226E-004,1.170E-003,False,
1.971E-010,-1.008E-009,2.263E-004,1.170E-003,False,
1.976E-010,-1.007E-009,2.300E-004,1.170E-003,False,
1.980E-010,-1.007E-009,2.337E-004,1.171E-003,False,
1.984E-010,-1.006E-009,2.375E-004,1.171E-003,False,
1.972E-010,-1.010E-009,2.240E-004,1.185E-003,False,
1.976E-010,-1.010E-009,2.277E-004,1.186E-003,False,
1.981E-010,-1.009E-009,2.314E-004,1.186E-003,False,
1.985E-010,-1.009E-009,2.351E-004,1.187E-003,False,
1.989E-010,-1.008E-009,2.388E-004,1.187E-003,False,
1.947E-010,-9.995E-010,5.454E-004,2.344E-003,False,
1.951E-010,-9.990E-010,5.531E-004,2.344E-003,False,
1.955E-010,-9.986E-010,5.608E-004,2.344E-003,False,
1.960E-010,-9.981E-010,5.685E-004,2.345E-003,False,
1.964E-010,-9.976E-010,5.762E-004,2.345E-003,False,
1.952E-010,-1.002E-009,5.467E-004,2.371E-003,False,
1.956E-010,-1.001E-009,5.544E-004,2.371E-003,True,
1.961E-010,-1.001E-009,5.621E-004,2.372E-003,True,
1.965E-010,-1.000E-009,5.698E-004,2.372E-003,True,
1.969E-010,-9.997E-010,5.775E-004,2.372E-003,False,
1.957E-010,-1.004E-009,5.480E-004,2.398E-003,False,
1.961E-010,-1.003E-009,5.557E-004,2.398E-003,True,
1.965E-010,-1.003E-009,5.634E-004,2.399E-003,True,
1.970E-010,-1.002E-009,5.711E-004,2.399E-003,True,
1.974E-010,-1.002E-009,5.788E-004,2.400E-003,False,
1.962E-010,-1.006E-009,5.493E-004,2.425E-003,False,
1.966E-010,-1.005E-009,5.570E-004,2.426E-003,True,
1.971E-010,-1.005E-009,5.647E-004,2.426E-003,True,
1.975E-010,-1.004E-009,5.724E-004,2.427E-003,True,
1.979E-010,-1.004E-009,5.801E-004,2.427E-003,False,
1.967E-010,-1.008E-009,5.506E-004,2.453E-003,False,
1.971E-010,-1.008E-009,5.583E-004,2.453E-003,False,
1.975E-010,-1.007E-009,5.660E-004,2.454E-003,False,
1.980E-010,-1.007E-009,5.737E-004,2.454E-003,False,
1.984E-010,-1.006E-009,5.814E-004,2.455E-003,False,
1.972E-010,-1.010E-009,5.520E-004,2.481E-003,False,
1.976E-010,-1.010E-009,5.597E-004,2.481E-003,False,
1.980E-010,-1.009E-009,5.673E-004,2.481E-003,False,
1.985E-010,-1.009E-009,5.750E-004,2.482E-003,False,
1.989E-010,-1.008E-009,5.827E-004,2.482E-003,False,
1.947E-010,-9.995E-010,8.733E-004,3.580E-003,False,
1.951E-010,-9.990E-010,8.851E-004,3.580E-003,False,
1.956E-010,-9.985E-010,8.968E-004,3.580E-003,False,
1.960E-010,-9.981E-010,9.085E-004,3.581E-003,False,
1.964E-010,-9.976E-010,9.203E-004,3.581E-003,False,
1.952E-010,-1.002E-009,8.746E-004,3.618E-003,False,
1.956E-010,-1.001E-009,8.863E-004,3.619E-003,True,
1.961E-010,-1.001E-009,8.981E-004,3.619E-003,True,
1.965E-010,-1.000E-009,9.098E-004,3.620E-003,True,
1.969E-010,-9.997E-010,9.215E-004,3.620E-003,False,
1.957E-010,-1.004E-009,8.759E-004,3.658E-003,False,
1.961E-010,-1.003E-009,8.877E-004,3.658E-003,True,
1.966E-010,-1.003E-009,8.994E-004,3.658E-003,True,
1.970E-010,-1.002E-009,9.111E-004,3.659E-003,True,
1.974E-010,-1.002E-009,9.228E-004,3.659E-003,False,
1.962E-010,-1.006E-009,8.773E-004,3.697E-003,False,
1.966E-010,-1.005E-009,8.890E-004,3.697E-003,True,
1.970E-010,-1.005E-009,9.007E-004,3.698E-003,True,
1.975E-010,-1.004E-009,9.124E-004,3.698E-003,True,
1.979E-010,-1.004E-009,9.241E-004,3.698E-003,False,
1.967E-010,-1.008E-009,8.786E-004,3.736E-003,False,
1.971E-010,-1.008E-009,8.903E-004,3.737E-003,False,
1.976E-010,-1.007E-009,9.020E-004,3.737E-003,False,
1.980E-010,-1.007E-009,9.137E-004,3.737E-003,False,
1.984E-010,-1.006E-009,9.254E-004,3.738E-003,False,
1.972E-010,-1.010E-009,8.800E-004,3.776E-003,False,
1.976E-010,-1.010E-009,8.916E-004,3.776E-003,False,
1.980E-010,-1.009E-009,9.033E-004,3.776E-003,False,
1.985E-010,-1.009E-009,9.150E-004,3.777E-003,False,
1.989E-010,-1.008E-009,9.267E-004,3.777E-003,False,
1.947E-010,-9.995E-010,1.201E-003,4.815E-003,False,
1.951E-010,-9.990E-010,1.217E-003,4.816E-003,False,
1.955E-010,-9.985E-010,1.233E-003,4.816E-003,False,
1.960E-010,-9.981E-010,1.249E-003,4.817E-003,False,
1.964E-010,-9.976E-010,1.264E-003,4.817E-003,False,
1.952E-010,-1.002E-009,1.203E-003,4.866E-003,False,
1.956E-010,-1.001E-009,1.218E-003,4.867E-003,True,
1.960E-010,-1.001E-009,1.234E-003,4.867E-003,True,
1.965E-010,-1.000E-009,1.250E-003,4.867E-003,True,
1.969E-010,-9.998E-010,1.266E-003,4.868E-003,False,
1.957E-010,-1.004E-009,1.204E-003,4.917E-003,False,
1.961E-010,-1.003E-009,1.220E-003,4.917E-003,True,
1.965E-010,-1.003E-009,1.235E-003,4.918E-003,True,
1.970E-010,-1.002E-009,1.251E-003,4.918E-003,True,
1.974E-010,-1.002E-009,1.267E-003,4.919E-003,False,
1.962E-010,-1.006E-009,1.205E-003,4.968E-003,False,
1.966E-010,-1.005E-009,1.221E-003,4.969E-003,True,
1.971E-010,-1.005E-009,1.237E-003,4.969E-003,True,
1.975E-010,-1.004E-009,1.252E-003,4.969E-003,True,
1.979E-010,-1.004E-009,1.268E-003,4.970E-003,False,
1.967E-010,-1.008E-009,1.207E-003,5.019E-003,False,
1.971E-010,-1.008E-009,1.222E-003,5.020E-003,False,
1.976E-010,-1.007E-009,1.238E-003,5.020E-003,False,
1.980E-010,-1.007E-009,1.254E-003,5.021E-003,False,
1.984E-010,-1.006E-009,1.269E-003,5.021E-003,False,
1.972E-010,-1.010E-009,1.208E-003,5.071E-003,False,
1.976E-010,-1.010E-009,1.224E-003,5.071E-003,False,
1.981E-010,-1.009E-009,1.239E-003,5.072E-003,False,
1.985E-010,-1.009E-009,1.255E-003,5.072E-003,False,
1.989E-010,-1.008E-009,1.271E-003,5.072E-003,False,
1.947E-010,-9.995E-010,1.529E-003,6.051E-003,False,
1.951E-010,-9.990E-010,1.549E-003,6.052E-003,False,
1.955E-010,-9.985E-010,1.569E-003,6.052E-003,False,
1.960E-010,-9.981E-010,1.589E-003,6.052E-003,False,
1.964E-010,-9.976E-010,1.608E-003,6.053E-003,False,
1.952E-010,-1.002E-009,1.530E-003,6.114E-003,False,
1.956E-010,-1.001E-009,1.550E-003,6.114E-003,True,
1.961E-010,-1.001E-009,1.570E-003,6.115E-003,True,
1.965E-010,-1.000E-009,1.590E-003,6.115E-003,True,
1.969E-010,-9.997E-010,1.610E-003,6.115E-003,False,
1.957E-010,-1.004E-009,1.532E-003,6.177E-003,False,
1.961E-010,-1.003E-009,1.552E-003,6.177E-003,True,
1.965E-010,-1.003E-009,1.571E-003,6.177E-003,True,
1.970E-010,-1.002E-009,1.591E-003,6.178E-003,True,
1.974E-010,-1.002E-009,1.611E-003,6.178E-003,False,
1.962E-010,-1.006E-009,1.533E-003,6.239E-003,False,
1.966E-010,-1.005E-009,1.553E-003,6.240E-003,True,
1.971E-010,-1.005E-009,1.573E-003,6.240E-003,True,
1.975E-010,-1.004E-009,1.592E-003,6.241E-003,True,
1.979E-010,-1.004E-009,1.612E-003,6.241E-003,False,
1.967E-010,-1.008E-009,1.535E-003,6.303E-003,False,
1.971E-010,-1.008E-009,1.554E-003,6.303E-003,False,
1.976E-010,-1.007E-009,1.574E-003,6.303E-003,False,
1.980E-010,-1.007E-009,1.594E-003,6.304E-003,False,
1.984E-010,-1.006E-009,1.613E-003,6.304E-003,False,
1.972E-010,-1.010E-009,1.536E-003,6.366E-003,False,
1.976E-010,-1.010E-009,1.556E-003,6.366E-003,False,
1.980E-010,-1.009E-009,1.575E-003,6.367E-003,False,
1.985E-010,-1.009E-009,1.595E-003,6.367E-003,False,
1.989E-010,-1.008E-009,1.615E-003,6.367E-003,False,
