Forward: Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.
Reverse: Iterative Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.
dxRoundTrip,dyRoundTrip,dx,dy,isInsideBBox,srcPPM
1.947E-010,-9.995E-010,9.961E-009,3.051E-009,False,
1.951E-010,-9.990E-010,9.964E-009,3.113E-009,False,
1.955E-010,-9.985E-010,9.966E-009,3.176E-009,False,
1.960E-010,-9.981E-010,9.968E-009,3.238E-009,False,
1.964E-010,-9.976E-010,9.970E-009,3.301E-009,False,
1.952E-010,-1.002E-009,1.010E-008,3.075E-009,False,
1.956E-010,-1.001E-009,1.010E-008,3.138E-009,True,
1.960E-010,-1.001E-009,1.010E-008,3.201E-009,True,
1.965E-010,-1.000E-009,1.011E-008,3.264E-009,True,
1.969E-010,-9.997E-010,1.011E-008,3.327E-009,False,
1.957E-010,-1.004E-009,1.024E-008,3.100E-009,False,
1.961E-010,-1.003E-009,1.024E-008,3.163E-009,True,
1.966E-010,-1.003E-009,1.024E-008,3.226E-009,True,
1.970E-010,-1.002E-009,1.024E-008,3.289E-009,True,
1.974E-010,-1.002E-009,1.025E-008,3.353E-009,False,
1.962E-010,-1.006E-009,1.038E-008,3.124E-009,False,
1.966E-010,-1.005E-009,1.038E-008,3.188E-009,True,
1.971E-010,-1.005E-009,1.038E-008,3.252E-009,True,
1.975E-010,-1.004E-009,1.038E-008,3.315E-009,True,
1.979E-010,-1.004E-009,1.039E-008,3.379E-009,False,
1.967E-010,-1.008E-009,1.052E-008,3.149E-009,False,
1.971E-010,-1.008E-009,1.052E-008,3.213E-009,False,
1.976E-010,-1.007E-009,1.052E-008,3.277E-009,False,
1.980E-010,-1.007E-009,1.052E-008,3.342E-009,False,
1.984E-010,-1.006E-009,1.053E-008,3.406E-009,False,
1.972E-010,-1.010E-009,1.066E-008,3.175E-009,False,
1.976E-010,-1.010E-009,1.066E-008,3.239E-009,False,
1.980E-010,-1.009E-009,1.066E-008,3.304E-009,False,
1.985E-010,-1.009E-009,1.067E-008,3.368E-009,False,
1.989E-010,-1.008E-009,1.067E-008,3.433E-009,False,
1.947E-010,-9.995E-010,2.108E-008,7.660E-009,False,
1.951E-010,-9.990E-010,2.108E-008,7.791E-009,False,
1.955E-010,-9.985E-010,2.108E-008,7.923E-009,False,
1.960E-010,-9.981E-010,2.108E-008,8.054E-009,False,
1.964E-010,-9.976E-010,2.108E-008,8.185E-009,False,
1.952E-010,-1.002E-009,2.132E-008,7.694E-009,False,
1.956E-010,-1.001E-009,2.132E-008,7.826E-009,True,
1.961E-010,-1.001E-009,2.132E-008,7.958E-009,True,
1.965E-010,-1.000E-009,2.132E-008,8.089E-009,True,
1.969E-010,-9.997E-010,2.132E-008,8.221E-009,False,
1.957E-010,-1.004E-009,2.156E-008,7.728E-009,False,
1.961E-010,-1.003E-009,2.156E-008,7.861E-009,True,
1.965E-010,-1.003E-009,2.156E-008,7.993E-009,True,
1.970E-010,-1.002E-009,2.156E-008,8.125E-009,True,
1.974E-010,-1.002E-009,2.156E-008,8.258E-009,False,
1.962E-010,-1.006E-009,2.181E-008,7.763E-009,False,
1.966E-010,-1.005E-009,2.181E-008,7.896E-009,True,
1.971E-010,-1.005E-009,2.181E-008,8.029E-009,True,
1.975E-010,-1.004E-009,2.181E-008,8.161E-009,True,
1.979E-010,-1.004E-009,2.181E-008,8.294E-009,False,
1.967E-010,-1.008E-009,2.206E-008,7.798E-009,False,
1.971E-010,-1.008E-009,2.206E-008,7.931E-009,False,
1.976E-010,-1.007E-009,2.206E-008,8.065E-009,False,
1.980E-010,-1.007E-009,2.206E-008,8.198E-009,False,
1.984E-010,-1.006E-009,2.206E-008,8.332E-009,False,
1.972E-010,-1.010E-009,2.230E-008,7.833E-009,False,
1.976E-010,-1.010E-009,2.230E-008,7.967E-009,False,
1.980E-010,-1.009E-009,2.230E-008,8.101E-009,False,
1.985E-010,-1.009E-009,2.230E-008,8.235E-009,False,
1.989E-010,-1.008E-009,2.231E-008,8.369E-009,False,
1.947E-010,-9.995E-010,3.219E-008,1.227E-008,False,
1.951E-010,-9.990E-010,3.219E-008,1.247E-008,False,
1.956E-010,-9.985E-010,3.219E-008,1.267E-008,False,
1.960E-010,-9.981E-010,3.218E-008,1.287E-008,False,
1.964E-010,-9.976E-010,3.218E-008,1.307E-008,False,
1.952E-010,-1.002E-009,3.254E-008,1.231E-008,False,
1.956E-010,-1.001E-009,3.254E-008,1.251E-008,True,
1.961E-010,-1.001E-009,3.253E-008,1.271E-008,True,
