Forward: Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Iterative Transformation from EGBT22_Geod to DB_Ref_Geod with DB_Ref ellipsoidal height 0.
Reverse: Transformation from DB_Ref_Geod to EGBT22_Geod with DB_Ref ellipsoidal height 0.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.
dxRoundTrip,dyRoundTrip,dx,dy
-7.069E-005,2.175E-005,-9.767E-009,-4.051E-009
-7.068E-005,2.175E-005,-9.769E-009,-4.113E-009
-7.066E-005,2.175E-005,-9.771E-009,-4.175E-009
-7.064E-005,2.175E-005,-9.773E-009,-4.237E-009
-7.062E-005,2.175E-005,-9.775E-009,-4.300E-009
-7.069E-005,2.181E-005,-9.904E-009,-4.078E-009
-7.068E-005,2.181E-005,-9.906E-009,-4.140E-009
-7.066E-005,2.181E-005,-9.908E-009,-4.202E-009
-7.064E-005,2.181E-005,-9.909E-009,-4.265E-009
-7.062E-005,2.181E-005,-9.911E-009,-4.327E-009
-7.069E-005,2.187E-005,-1.004E-008,-4.104E-009
-7.068E-005,2.187E-005,-1.004E-008,-4.167E-009
-7.066E-005,2.187E-005,-1.005E-008,-4.230E-009
-7.064E-005,2.186E-005,-1.005E-008,-4.293E-009
-7.062E-005,2.186E-005,-1.005E-008,-4.356E-009
-7.069E-005,2.193E-005,-1.018E-008,-4.131E-009
-7.068E-005,2.192E-005,-1.018E-008,-4.194E-009
-7.066E-005,2.192E-005,-1.018E-008,-4.258E-009
-7.064E-005,2.192E-005,-1.019E-008,-4.321E-009
-7.062E-005,2.192E-005,-1.019E-008,-4.384E-009
-7.069E-005,2.198E-005,-1.032E-008,-4.158E-009
-7.068E-005,2.198E-005,-1.032E-008,-4.222E-009
-7.066E-005,2.198E-005,-1.032E-008,-4.286E-009
-7.064E-005,2.198E-005,-1.033E-008,-4.349E-009
-7.062E-005,2.198E-005,-1.033E-008,-4.413E-009
-7.069E-005,2.203E-005,-1.046E-008,-4.186E-009
-7.068E-005,2.203E-005,-1.046E-008,-4.250E-009
-7.066E-005,2.203E-005,-1.047E-008,-4.314E-009
-7.064E-005,2.203E-005,-1.047E-008,-4.378E-009
-7.062E-005,2.203E-005,-1.047E-008,-4.442E-009
-7.069E-005,2.175E-005,-2.088E-008,-8.662E-009
-7.068E-005,2.175E-005,-2.088E-008,-8.792E-009
-7.066E-005,2.175E-005,-2.088E-008,-8.923E-009
-7.064E-005,2.175E-005,-2.088E-008,-9.054E-009
-7.062E-005,2.175E-005,-2.088E-008,-9.185E-009
-7.069E-005,2.181E-005,-2.112E-008,-8.698E-009
-7.068E-005,2.181E-005,-2.112E-008,-8.829E-009
-7.066E-005,2.181E-005,-2.112E-008,-8.960E-009
-7.064E-005,2.181E-005,-2.112E-008,-9.092E-009
-7.062E-005,2.181E-005,-2.112E-008,-9.223E-009
-7.069E-005,2.187E-005,-2.137E-008,-8.734E-009
-7.068E-005,2.187E-005,-2.137E-008,-8.866E-009
