Forward: Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.
Reverse: Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.
dxRoundTrip,dyRoundTrip,dx,dy,isInsideBBox,srcPPM
-9.095E-013,2.008E-009,2.842E-014,-1.776E-015,False,-27.8
-3.820E-011,-3.383E-010,0.000E+000,-1.776E-015,False,-27.4
-4.547E-011,3.565E-010,2.132E-014,0.000E+000,False,-27.2
2.728E-011,-1.372E-009,2.132E-014,1.776E-015,False,-27.3
3.274E-011,3.394E-009,2.132E-014,0.000E+000,False,-27.8
1.182E-011,-9.895E-010,1.421E-014,-1.776E-015,False,-27.8
2.365E-011,-1.419E-009,-1.421E-014,0.000E+000,True,-27.4
5.821E-011,9.022E-010,2.842E-014,1.776E-015,True,-27.2
4.547E-011,1.332E-009,2.842E-014,1.776E-015,True,-27.3
0.000E+000,-2.277E-009,0.000E+000,0.000E+000,False,-27.8
-9.095E-013,3.856E-009,4.263E-014,0.000E+000,False,-27.9
4.729E-011,-9.677E-010,2.842E-014,1.776E-015,True,-27.4
-3.638E-012,1.288E-009,3.553E-014,0.000E+000,True,-27.3
1.455E-011,8.731E-011,1.421E-014,0.000E+000,True,-27.4
1.819E-011,-1.266E-009,7.105E-015,0.000E+000,False,-27.8
-3.456E-011,2.801E-009,2.842E-014,0.000E+000,False,-27.9
4.729E-011,1.237E-010,2.842E-014,0.000E+000,True,-27.5
3.820E-011,-4.657E-010,1.421E-014,1.776E-015,True,-27.3
-2.365E-011,2.256E-010,7.105E-015,0.000E+000,True,-27.5
1.455E-011,-1.397E-009,1.421E-014,0.000E+000,False,-27.9
4.184E-011,3.056E-010,7.105E-015,0.000E+000,False,-28.0
6.003E-011,-2.328E-010,2.132E-014,0.000E+000,False,-27.5
5.457E-011,-2.910E-011,7.105E-015,1.776E-015,False,-27.4
4.911E-011,8.295E-010,1.421E-014,0.000E+000,False,-27.5
-1.819E-011,1.019E-009,7.105E-015,0.000E+000,False,-27.9
1.364E-011,-2.328E-010,2.132E-014,1.776E-015,False,-28.0
4.547E-011,-1.979E-009,0.000E+000,1.776E-015,False,-27.6
-5.093E-011,-1.339E-009,7.105E-015,0.000E+000,False,-27.4
-4.184E-011,-9.313E-010,7.105E-015,0.000E+000,False,-27.5
-5.457E-011,-1.281E-009,1.421E-014,-1.776E-015,False,-28.0
2.910E-011,9.823E-010,7.105E-015,1.776E-015,False,-27.8
-2.728E-012,-1.361E-009,-1.421E-014,-1.776E-015,False,-27.4
-1.091E-011,7.494E-010,7.105E-015,0.000E+000,False,-27.2
-5.457E-011,2.259E-009,1.421E-014,0.000E+000,False,-27.3
-1.819E-011,-2.994E-009,1.421E-014,0.000E+000,False,-27.8
4.911E-011,1.004E-009,2.842E-014,1.776E-015,False,-27.8
-4.275E-011,-1.062E-009,2.842E-014,-1.776E-015,True,-27.4
