Forward: Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Transformation from EGBT22_Geod to ETRS89_DREF91 with ellipsoidal height 0.
Reverse: Transformation from ETRS89_DREF91 to EGBT22_Geod with ellipsoidal height 0.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.
dxRoundTrip,dyRoundTrip,dx,dy
1.819E-012,2.008E-009,6.395E-013,-3.428E-013
8.458E-011,-3.383E-010,6.111E-013,-3.464E-013
8.004E-011,3.565E-010,6.395E-013,-3.411E-013
1.510E-010,-1.372E-009,6.253E-013,-3.411E-013
4.111E-010,3.394E-009,6.466E-013,-3.446E-013
-1.137E-010,-9.895E-010,6.253E-013,-3.464E-013
2.747E-010,-1.419E-009,6.111E-013,-3.464E-013
3.092E-010,9.022E-010,6.537E-013,-3.411E-013
1.673E-010,1.332E-009,6.466E-013,-3.428E-013
1.273E-010,-2.277E-009,6.253E-013,-3.446E-013
3.747E-010,3.856E-009,6.608E-013,-3.446E-013
2.965E-010,-2.830E-009,6.253E-013,-3.464E-013
-3.638E-012,3.150E-009,6.608E-013,-3.411E-013
1.455E-011,-1.775E-009,6.253E-013,-3.446E-013
2.656E-010,-1.266E-009,6.253E-013,-3.446E-013
9.004E-011,2.801E-009,6.466E-013,-3.499E-013
-2.019E-010,1.237E-010,6.395E-013,-3.517E-013
1.637E-010,4.657E-010,6.324E-013,-3.411E-013
-2.365E-011,2.256E-010,6.182E-013,-3.464E-013
1.382E-010,1.397E-009,6.395E-013,-3.446E-013
4.184E-011,3.056E-010,6.182E-013,-3.499E-013
-1.910E-010,-2.328E-010,6.324E-013,-3.499E-013
1.801E-010,-2.910E-011,6.111E-013,-3.446E-013
-7.640E-011,8.295E-010,6.182E-013,-3.428E-013
1.091E-010,1.019E-009,6.253E-013,-3.446E-013
-1.110E-010,-2.328E-010,6.395E-013,-3.517E-013
4.547E-011,8.149E-010,6.111E-013,-3.535E-013
-4.911E-011,-1.339E-009,6.324E-013,-3.499E-013
-4.184E-011,-9.313E-010,6.182E-013,-3.499E-013
-5.457E-011,-3.492E-010,6.324E-013,-3.464E-013
-9.823E-011,9.823E-010,9.805E-013,-5.542E-013
-2.528E-010,-1.361E-009,9.663E-013,-5.560E-013
-1.091E-011,1.681E-009,9.805E-013,-5.489E-013
-5.275E-011,-5.348E-010,1.009E-012,-5.489E-013
1.091E-010,-2.994E-009,1.002E-012,-5.507E-013
4.911E-011,1.004E-009,1.016E-012,-5.524E-013
-4.002E-011,-1.062E-009,1.016E-012,-5.542E-013
-3.274E-011,3.827E-009,1.016E-012,-5.524E-013
-1.583E-010,-8.440E-010,1.016E-012,-5.524E-013
4.366E-011,-5.093E-010,1.023E-012,-5.524E-013
1.510E-010,-1.819E-010,1.002E-012,-5.542E-013
-1.528E-010,9.459E-011,1.009E-012,-5.578E-013
1.437E-010,1.419E-009,1.030E-012,-5.507E-013
6.185E-011,-1.644E-009,9.805E-013,-5.524E-013
-5.093E-011,2.139E-009,1.002E-012,-5.507E-013
8.185E-012,-8.731E-011,1.002E-012,-5.542E-013
-6.003E-011,-6.767E-010,1.002E-012,-5.613E-013
2.965E-010,-5.602E-010,1.009E-012,-5.524E-013
5.457E-012,1.062E-009,9.948E-013,-5.542E-013
2.910E-010,-5.530E-010,1.002E-012,-5.542E-013
6.366E-011,-4.366E-011,9.948E-013,-5.596E-013
-4.457E-011,-2.183E-009,1.009E-012,-5.596E-013
9.095E-011,-6.112E-010,9.877E-013,-5.524E-013
-6.730E-011,-9.022E-010,9.734E-013,-5.560E-013
1.164E-010,2.183E-010,1.009E-012,-5.560E-013
1.746E-010,-1.019E-010,9.948E-013,-5.578E-013
-5.639E-011,1.455E-011,1.002E-012,-5.631E-013
1.091E-010,-4.948E-010,1.016E-012,-5.542E-013
-2.365E-011,2.008E-009,1.023E-012,-5.578E-013
-2.910E-011,-1.382E-009,1.002E-012,-5.578E-013
-3.156E-010,-3.987E-009,1.329E-012,-7.656E-013
-7.003E-011,-3.096E-009,1.336E-012,-7.603E-013
3.820E-011,2.037E-009,1.386E-012,-7.550E-013
-3.638E-012,-2.005E-009,1.329E-012,-7.567E-013
-2.001E-010,4.147E-010,1.357E-012,-7.567E-013
7.458E-011,6.912E-010,1.371E-012,-7.656E-013
1.201E-010,-1.382E-009,1.357E-012,-7.585E-013
1.255E-010,-2.299E-009,1.357E-012,-7.585E-013
1.273E-010,6.985E-010,1.357E-012,-7.585E-013
-1.819E-011,1.040E-009,1.386E-012,-7.567E-013
3.274E-011,-1.208E-009,1.357E-012,-7.656E-013
-1.219E-010,-9.313E-010,1.386E-012,-7.638E-013
-1.837E-010,-2.765E-010,1.364E-012,-7.638E-013
8.367E-011,-2.889E-009,1.357E-012,-7.621E-013
-1.819E-011,-7.421E-010,1.357E-012,-7.585E-013
4.547E-011,1.237E-009,1.364E-012,-7.638E-013
1.137E-010,-9.895E-010,1.343E-012,-7.638E-013
