Forward: Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Transformation from EGBT22_Geod to ETRS89_DREF91 with ellipsoidal height 0.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33:
Reverse: Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.|>Transformation from ETRS89_DREF91 to EGBT22_Geod with ellipsoidal height 0.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.
dxRoundTrip,dyRoundTrip,dx,dy
1.273E-010,2.008E-009,-2.194E-008,6.985E-008
8.458E-011,1.524E-009,-2.229E-008,6.892E-008
8.004E-011,3.565E-010,-2.200E-008,6.799E-008
1.510E-010,-1.372E-009,-2.194E-008,6.799E-008
4.111E-010,3.394E-009,-2.212E-008,7.171E-008
-1.137E-010,-9.895E-010,-2.218E-008,6.985E-008
-1.019E-010,1.375E-009,-2.229E-008,6.706E-008
3.092E-010,-9.604E-010,-2.189E-008,6.799E-008
4.547E-011,1.332E-009,-2.200E-008,7.078E-008
1.237E-010,5.166E-010,-2.206E-008,7.078E-008
3.711E-010,-8.004E-010,-2.194E-008,7.171E-008
2.965E-010,-2.830E-009,-2.224E-008,6.985E-008
-3.638E-012,3.150E-009,-2.189E-008,7.357E-008
1.455E-011,-1.775E-009,-2.212E-008,6.892E-008
2.656E-010,-1.266E-009,-2.206E-008,6.985E-008
-3.547E-011,-3.718E-009,-2.218E-008,7.078E-008
-7.549E-011,3.849E-009,-2.253E-008,7.171E-008
1.637E-010,-1.397E-009,-2.183E-008,6.985E-008
-2.365E-011,2.256E-010,-2.218E-008,6.612E-008
1.419E-010,-1.397E-009,-2.200E-008,6.985E-008
4.184E-011,3.056E-010,-2.229E-008,6.612E-008
-1.874E-010,2.561E-009,-2.235E-008,6.892E-008
1.801E-010,-2.910E-011,-2.206E-008,6.612E-008
-7.822E-011,-1.965E-009,-2.189E-008,6.799E-008
1.055E-010,-1.775E-009,-2.200E-008,6.519E-008
-1.110E-010,-2.328E-010,-2.229E-008,6.985E-008
4.547E-011,8.149E-010,-2.253E-008,6.799E-008
-4.911E-011,-1.339E-009,-2.235E-008,6.892E-008
-4.184E-011,-9.313E-010,-2.235E-008,6.892E-008
-5.457E-011,-1.281E-009,-2.206E-008,6.799E-008
-9.823E-011,9.823E-010,-3.626E-008,1.090E-007
-2.528E-010,5.020E-010,-3.655E-008,1.080E-007
-1.091E-011,1.681E-009,-3.609E-008,1.080E-007
-5.275E-011,-5.348E-010,-3.603E-008,1.108E-007
-1.819E-011,-2.994E-009,-3.621E-008,1.118E-007
4.911E-011,1.004E-009,-3.603E-008,1.136E-007
-4.002E-011,-1.062E-009,-3.621E-008,1.146E-007
-3.274E-011,3.827E-009,-3.626E-008,1.108E-007
-1.583E-010,-8.440E-010,-3.621E-008,1.118E-007
4.366E-011,-5.093E-010,-3.621E-008,1.146E-007
2.819E-010,3.543E-009,-3.603E-008,1.127E-007
-1.528E-010,9.459E-011,-3.644E-008,1.118E-007
1.437E-010,3.281E-009,-3.603E-008,1.146E-007
-6.185E-011,2.183E-010,-3.621E-008,1.118E-007
-5.093E-011,2.139E-009,-3.603E-008,1.108E-007
8.185E-012,-8.731E-011,-3.591E-008,1.108E-007
-6.003E-011,-3.471E-009,-3.661E-008,1.108E-007
2.965E-010,-2.423E-009,-3.603E-008,1.118E-007
1.328E-010,-8.004E-010,-3.615E-008,1.099E-007
2.874E-010,1.310E-009,-3.621E-008,1.118E-007
6.366E-011,-4.366E-011,-3.626E-008,1.080E-007
-4.547E-011,1.543E-009,-3.638E-008,1.099E-007
9.095E-011,2.183E-009,-3.603E-008,1.080E-007
-6.730E-011,-9.022E-010,-3.632E-008,1.080E-007
1.019E-010,4.875E-009,-3.621E-008,1.108E-007
5.184E-011,8.295E-010,-3.609E-008,1.118E-007
-5.639E-011,1.455E-011,-3.655E-008,1.099E-007
1.091E-010,-4.948E-010,-3.609E-008,1.118E-007
-2.365E-011,2.008E-009,-3.626E-008,1.127E-007
-2.910E-011,-1.382E-009,-3.626E-008,1.099E-007
-3.156E-010,-3.987E-009,-5.058E-008,1.481E-007
-7.003E-011,-3.096E-009,-5.035E-008,1.481E-007
3.820E-011,2.037E-009,-5.000E-008,1.537E-007
-1.819E-012,-5.730E-009,-5.023E-008,1.453E-007
-2.001E-010,4.147E-010,-5.023E-008,1.499E-007
-1.746E-010,2.554E-009,-5.041E-008,1.537E-007
1.201E-010,-1.382E-009,-5.006E-008,1.490E-007
1.255E-010,4.948E-010,-5.018E-008,1.509E-007
1.273E-010,6.985E-010,-5.018E-008,1.509E-007
-1.819E-011,1.040E-009,-5.012E-008,1.555E-007
-9.368E-011,-1.208E-009,-5.035E-008,1.509E-007
-1.210E-010,9.313E-010,-5.029E-008,1.537E-007
-1.837E-010,3.449E-009,-5.052E-008,1.527E-007
8.185E-011,1.768E-009,-5.041E-008,1.527E-007
-1.819E-011,-7.421E-010,-5.006E-008,1.518E-007
4.547E-011,1.237E-009,-4.994E-008,1.499E-007
-1.364E-011,-9.895E-010,-5.029E-008,1.490E-007
-5.639E-011,-5.755E-009,-5.047E-008,1.499E-007
-9.459E-011,7.494E-010,-5.029E-008,1.471E-007
8.367E-011,-2.023E-009,-5.023E-008,1.518E-007
-1.610E-010,1.717E-009,-5.041E-008,1.518E-007
-3.965E-010,-1.892E-010,-5.064E-008,1.527E-007
-2.728E-011,-1.630E-009,-5.035E-008,1.490E-007
7.822E-011,-1.004E-009,-5.047E-008,1.518E-007
3.638E-011,-1.484E-009,-5.029E-008,1.481E-007
5.639E-011,-1.339E-009,-5.035E-008,1.527E-007
-1.819E-011,1.775E-009,-5.029E-008,1.537E-007
-1.182E-010,1.281E-009,-5.029E-008,1.509E-007
2.365E-011,4.715E-009,-5.012E-008,1.565E-007
-2.547E-011,-1.251E-009,-5.023E-008,1.527E-007
1.191E-010,1.732E-009,-6.403E-008,1.919E-007
-1.819E-011,3.110E-009,-6.420E-008,1.928E-007
1.983E-010,-2.005E-009,-6.420E-008,1.909E-007
3.820E-011,5.577E-009,-6.414E-008,1.946E-007
-2.910E-011,-8.295E-010,-6.426E-008,1.937E-007
-2.456E-011,-3.347E-010,-6.444E-008,1.919E-007
1.637E-011,1.804E-009,-6.426E-008,1.946E-007
4.256E-010,-2.168E-009,-6.397E-008,1.937E-007
1.874E-010,1.543E-009,-6.403E-008,1.928E-007
-9.095E-011,-1.135E-009,-6.426E-008,1.928E-007
-1.819E-010,-5.966E-010,-6.467E-008,1.900E-007
1.628E-010,-1.244E-009,-6.420E-008,1.928E-007
-2.365E-011,5.442E-009,-6.426E-008,1.965E-007
3.092E-011,3.536E-009,-6.414E-008,1.937E-007
-8.367E-011,1.957E-009,-6.420E-008,1.919E-007
1.774E-010,-4.948E-010,-6.403E-008,1.928E-007
-7.367E-011,3.347E-009,-6.414E-008,1.956E-007
1.164E-010,1.826E-009,-6.414E-008,1.937E-007
8.913E-011,-2.765E-010,-6.409E-008,1.919E-007
-3.638E-012,-1.186E-009,-6.414E-008,1.919E-007
-1.182E-010,-2.095E-009,-6.409E-008,1.909E-007
-1.146E-010,-5.821E-011,-6.432E-008,1.956E-007
-1.037E-010,-8.004E-010,-6.420E-008,1.900E-007
-1.455E-011,2.416E-009,-6.438E-008,1.937E-007
-1.746E-010,1.935E-009,-6.444E-008,1.909E-007
-2.365E-011,1.353E-009,-6.432E-008,1.937E-007
-1.110E-010,1.921E-009,-6.420E-008,1.946E-007
-9.823E-011,9.604E-010,-6.444E-008,1.909E-007
6.185E-011,-2.619E-010,-6.420E-008,1.928E-007
-6.548E-011,-1.339E-009,-6.403E-008,1.937E-007
5.093E-011,9.277E-010,-7.794E-008,2.347E-007
1.255E-010,-1.415E-009,-7.829E-008,2.338E-007
1.073E-010,1.404E-009,-7.841E-008,2.328E-007
9.095E-011,1.051E-009,-7.823E-008,2.347E-007
1.564E-010,-1.630E-009,-7.829E-008,2.328E-007
1.364E-011,2.838E-010,-7.835E-008,2.328E-007
6.366E-011,7.276E-011,-7.846E-008,2.338E-007
-4.184E-011,3.100E-009,-7.841E-008,2.366E-007
-1.637E-011,7.421E-010,-7.811E-008,2.338E-007
-6.185E-011,1.339E-009,-7.829E-008,2.356E-007
5.457E-012,1.623E-009,-7.817E-008,2.347E-007
1.846E-010,-3.201E-009,-7.852E-008,2.328E-007
2.747E-010,6.912E-010,-7.806E-008,2.338E-007
8.185E-011,6.476E-010,-7.823E-008,2.328E-007
-1.819E-010,-2.183E-010,-7.858E-008,2.310E-007
-4.820E-011,1.048E-009,-7.823E-008,2.328E-007
1.965E-010,1.390E-009,-7.829E-008,2.366E-007
3.820E-011,-3.565E-010,-7.817E-008,2.356E-007
9.641E-011,-8.149E-010,-7.841E-008,2.310E-007
3.638E-011,1.513E-009,-7.835E-008,2.319E-007
-9.277E-011,3.783E-010,-7.823E-008,2.356E-007
1.546E-010,-3.172E-009,-7.835E-008,2.328E-007
6.912E-011,1.906E-009,-7.800E-008,2.356E-007
3.638E-011,-2.619E-010,-7.823E-008,2.328E-007
-1.455E-011,4.628E-009,-7.823E-008,2.328E-007
-3.547E-011,1.164E-010,-7.858E-008,2.328E-007
2.183E-011,-7.130E-010,-7.835E-008,2.338E-007
6.185E-011,-5.821E-011,-7.841E-008,2.319E-007
-4.002E-011,-4.307E-009,-7.841E-008,2.319E-007
-6.185E-011,3.929E-009,-7.835E-008,2.356E-007
