Forward: Iterative Transformation from EGBT22_Geod to DB_Ref_Geod with DB_Ref ellipsoidal height 0.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.
Reverse: Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Transformation from DB_Ref_Geod to EGBT22_Geod with DB_Ref ellipsoidal height 0.
dxRoundTrip,dyRoundTrip,dx,dy
1.946E-010,-9.993E-010,-3.042E-004,-1.082E-003
1.951E-010,-9.989E-010,-3.079E-004,-1.082E-003
1.955E-010,-9.984E-010,-3.115E-004,-1.082E-003
1.959E-010,-9.979E-010,-3.152E-004,-1.083E-003
1.964E-010,-9.975E-010,-3.189E-004,-1.083E-003
1.952E-010,-1.001E-009,-3.057E-004,-1.097E-003
1.956E-010,-1.001E-009,-3.094E-004,-1.097E-003
1.960E-010,-1.001E-009,-3.131E-004,-1.098E-003
1.964E-010,-1.000E-009,-3.167E-004,-1.098E-003
1.969E-010,-9.996E-010,-3.204E-004,-1.098E-003
1.957E-010,-1.004E-009,-3.073E-004,-1.112E-003
1.961E-010,-1.003E-009,-3.109E-004,-1.113E-003
1.965E-010,-1.003E-009,-3.146E-004,-1.113E-003
1.969E-010,-1.002E-009,-3.183E-004,-1.113E-003
1.974E-010,-1.002E-009,-3.220E-004,-1.114E-003
1.962E-010,-1.006E-009,-3.088E-004,-1.128E-003
1.966E-010,-1.005E-009,-3.125E-004,-1.128E-003
1.970E-010,-1.005E-009,-3.162E-004,-1.128E-003
1.974E-010,-1.004E-009,-3.199E-004,-1.129E-003
1.979E-010,-1.004E-009,-3.236E-004,-1.129E-003
1.966E-010,-1.008E-009,-3.104E-004,-1.143E-003
1.971E-010,-1.007E-009,-3.141E-004,-1.144E-003
1.975E-010,-1.007E-009,-3.178E-004,-1.144E-003
1.979E-010,-1.007E-009,-3.215E-004,-1.144E-003
1.984E-010,-1.006E-009,-3.251E-004,-1.145E-003
1.971E-010,-1.010E-009,-3.120E-004,-1.159E-003
1.976E-010,-1.010E-009,-3.157E-004,-1.159E-003
1.980E-010,-1.009E-009,-3.194E-004,-1.160E-003
1.985E-010,-1.009E-009,-3.231E-004,-1.160E-003
1.989E-010,-1.008E-009,-3.268E-004,-1.160E-003
1.946E-010,-9.993E-010,-6.504E-004,-2.313E-003
1.951E-010,-9.989E-010,-6.581E-004,-2.313E-003
1.955E-010,-9.984E-010,-6.658E-004,-2.313E-003
1.960E-010,-9.980E-010,-6.735E-004,-2.313E-003
1.963E-010,-9.975E-010,-6.812E-004,-2.314E-003
1.952E-010,-1.001E-009,-6.522E-004,-2.340E-003
1.956E-010,-1.001E-009,-6.598E-004,-2.340E-003
1.960E-010,-1.001E-009,-6.675E-004,-2.340E-003
1.964E-010,-1.000E-009,-6.752E-004,-2.341E-003
1.969E-010,-9.996E-010,-6.829E-004,-2.341E-003
1.956E-010,-1.004E-009,-6.539E-004,-2.367E-003
1.961E-010,-1.003E-009,-6.616E-004,-2.367E-003
1.965E-010,-1.003E-009,-6.693E-004,-2.367E-003
1.970E-010,-1.002E-009,-6.770E-004,-2.368E-003
1.974E-010,-1.002E-009,-6.846E-004,-2.368E-003
1.961E-010,-1.006E-009,-6.557E-004,-2.394E-003
1.966E-010,-1.005E-009,-6.634E-004,-2.394E-003
1.970E-010,-1.005E-009,-6.710E-004,-2.395E-003
1.975E-010,-1.004E-009,-6.787E-004,-2.395E-003
1.979E-010,-1.004E-009,-6.864E-004,-2.395E-003
1.967E-010,-1.008E-009,-6.575E-004,-2.422E-003
1.971E-010,-1.007E-009,-6.651E-004,-2.422E-003
1.975E-010,-1.007E-009,-6.728E-004,-2.422E-003
1.979E-010,-1.007E-009,-6.805E-004,-2.422E-003
1.984E-010,-1.006E-009,-6.882E-004,-2.423E-003
1.972E-010,-1.010E-009,-6.593E-004,-2.449E-003
1.976E-010,-1.010E-009,-6.669E-004,-2.449E-003
1.980E-010,-1.009E-009,-6.746E-004,-2.450E-003
1.985E-010,-1.009E-009,-6.823E-004,-2.450E-003
1.989E-010,-1.008E-009,-6.900E-004,-2.450E-003
1.946E-010,-9.993E-010,-9.966E-004,-3.544E-003
1.951E-010,-9.989E-010,-1.008E-003,-3.544E-003
1.955E-010,-9.984E-010,-1.020E-003,-3.544E-003
1.959E-010,-9.980E-010,-1.032E-003,-3.544E-003
1.964E-010,-9.975E-010,-1.043E-003,-3.544E-003
1.952E-010,-1.001E-009,-9.986E-004,-3.582E-003
1.956E-010,-1.001E-009,-1.010E-003,-3.583E-003
1.960E-010,-1.001E-009,-1.022E-003,-3.583E-003
1.964E-010,-1.000E-009,-1.034E-003,-3.583E-003
1.969E-010,-9.996E-010,-1.045E-003,-3.583E-003
1.956E-010,-1.004E-009,-1.001E-003,-3.621E-003
1.961E-010,-1.003E-009,-1.012E-003,-3.622E-003
