Forward: Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.
Reverse: Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.
dxRoundTrip,dyRoundTrip,dx,dy
0.000E+000,0.000E+000,1.219E-010,-7.858E-010
0.000E+000,0.000E+000,8.458E-011,-3.383E-010
1.421E-014,0.000E+000,-4.547E-011,-1.506E-009
0.000E+000,0.000E+000,-1.000E-010,-3.234E-009
-2.132E-014,0.000E+000,3.638E-011,-3.125E-009
7.105E-015,0.000E+000,1.382E-010,-9.895E-010
-1.421E-014,0.000E+000,2.365E-011,-1.419E-009
0.000E+000,0.000E+000,-6.730E-011,-1.892E-009
2.842E-014,0.000E+000,-7.640E-011,4.002E-010
-7.105E-015,0.000E+000,0.000E+000,-2.277E-009
1.421E-014,0.000E+000,-1.091E-011,-1.732E-009
-7.105E-015,0.000E+000,-8.004E-011,-3.762E-009
7.105E-015,0.000E+000,-3.638E-012,-2.437E-009
-7.105E-015,0.000E+000,1.455E-011,-1.775E-009
0.000E+000,0.000E+000,1.819E-011,-1.266E-009
0.000E+000,0.000E+000,-3.820E-011,-2.787E-009
-7.105E-015,0.000E+000,4.184E-011,-1.739E-009
0.000E+000,0.000E+000,-8.731E-011,-1.397E-009
7.105E-015,0.000E+000,-2.365E-011,2.256E-010
-1.421E-014,0.000E+000,1.819E-011,-4.191E-009
7.105E-015,0.000E+000,4.184E-011,3.056E-010
1.421E-014,0.000E+000,5.821E-011,-1.164E-009
-2.132E-014,0.000E+000,-6.912E-011,-2.823E-009
7.105E-015,0.000E+000,4.911E-011,-1.965E-009
-2.132E-014,0.000E+000,-2.183E-011,-1.775E-009
0.000E+000,0.000E+000,-1.137E-010,-2.095E-009
0.000E+000,0.000E+000,-7.913E-011,-1.979E-009
0.000E+000,0.000E+000,-4.911E-011,-1.339E-009
7.105E-015,0.000E+000,-4.184E-011,-9.313E-010
-7.105E-015,0.000E+000,7.276E-011,-1.281E-009
7.105E-015,0.000E+000,-9.913E-011,5.093E-011
7.105E-015,0.000E+000,1.237E-010,5.020E-010
-1.421E-014,0.000E+000,-1.091E-011,-2.045E-009
-2.842E-014,0.000E+000,-5.093E-011,-3.329E-009
-7.105E-015,0.000E+000,-1.091E-011,-2.994E-009
7.105E-015,0.000E+000,-8.276E-011,-1.790E-009
0.000E+000,0.000E+000,8.185E-011,-1.994E-009
-7.105E-015,0.000E+000,-3.274E-011,-2.692E-009
-7.105E-015,0.000E+000,-3.092E-011,-2.707E-009
0.000E+000,0.000E+000,5.093E-011,-2.372E-009
2.132E-014,0.000E+000,2.365E-011,-1.113E-009
0.000E+000,0.000E+000,-3.274E-011,-2.699E-009
0.000E+000,0.000E+000,1.819E-011,-5.100E-009
-7.105E-015,0.000E+000,-6.003E-011,-7.130E-010
0.000E+000,0.000E+000,8.004E-011,-1.586E-009
1.421E-014,0.000E+000,8.185E-012,8.440E-010
-7.105E-015,0.000E+000,6.185E-011,-3.471E-009
0.000E+000,0.000E+000,4.729E-011,-2.423E-009
-1.421E-014,0.000E+000,9.095E-012,-8.004E-010
-1.421E-014,0.000E+000,-8.731E-011,-5.210E-009
7.105E-015,0.000E+000,6.366E-011,-4.366E-011
1.421E-014,0.000E+000,7.731E-011,6.112E-010
-7.105E-015,0.000E+000,-3.456E-011,-6.112E-010
-7.105E-015,0.000E+000,-6.730E-011,-9.022E-010
7.105E-015,0.000E+000,-1.091E-011,2.183E-010
-2.132E-014,0.000E+000,-7.731E-011,-1.965E-009
2.132E-014,0.000E+000,-5.912E-011,1.455E-011
0.000E+000,0.000E+000,-1.637E-011,-3.289E-009
0.000E+000,0.000E+000,-1.819E-011,-1.717E-009
-1.421E-014,0.000E+000,9.459E-011,-3.245E-009
0.000E+000,0.000E+000,-6.276E-011,-2.619E-010
7.105E-015,0.000E+000,5.821E-011,6.294E-010
-7.105E-015,0.000E+000,3.820E-011,-7.567E-010
-7.105E-015,0.000E+000,1.219E-010,-2.005E-009
0.000E+000,0.000E+000,-7.276E-011,-2.379E-009
7.105E-015,0.000E+000,6.912E-011,-1.171E-009
0.000E+000,0.000E+000,-7.276E-012,-1.382E-009
7.105E-015,0.000E+000,0.000E+000,-4.366E-010
7.105E-015,0.000E+000,5.457E-012,-2.328E-010
0.000E+000,0.000E+000,-1.455E-011,-1.754E-009
-1.421E-014,0.000E+000,3.365E-011,-3.070E-009
-1.421E-014,0.000E+000,0.000E+000,-3.725E-009
-7.105E-015,0.000E+000,6.548E-011,-2.139E-009
-7.105E-015,0.000E+000,-4.002E-011,-2.889E-009
0.000E+000,0.000E+000,-1.455E-011,-7.421E-010
0.000E+000,0.000E+000,4.275E-011,-6.257E-010
