Forward: Transformation from EGBT22_Geod to ETRS89_DREF91 with ellipsoidal height 0.
Reverse: Transformation from ETRS89_DREF91 to EGBT22_Geod with ellipsoidal height 0.
dxRoundTrip,dyRoundTrip,dx,dy
0.000E+000,0.000E+000,6.040E-013,-3.428E-013
0.000E+000,0.000E+000,6.111E-013,-3.446E-013
0.000E+000,1.776E-015,6.111E-013,-3.411E-013
0.000E+000,1.776E-015,6.040E-013,-3.411E-013
-7.105E-015,3.553E-015,6.111E-013,-3.446E-013
0.000E+000,-1.776E-015,6.111E-013,-3.446E-013
-1.421E-014,3.553E-015,6.111E-013,-3.464E-013
-1.421E-014,0.000E+000,6.111E-013,-3.446E-013
-7.105E-015,-1.776E-015,6.111E-013,-3.464E-013
7.105E-015,1.776E-015,6.253E-013,-3.446E-013
0.000E+000,1.776E-015,6.182E-013,-3.464E-013
0.000E+000,5.329E-015,5.969E-013,-3.464E-013
7.105E-015,1.776E-015,6.253E-013,-3.411E-013
0.000E+000,0.000E+000,6.182E-013,-3.446E-013
0.000E+000,3.553E-015,6.182E-013,-3.446E-013
0.000E+000,0.000E+000,6.182E-013,-3.482E-013
0.000E+000,0.000E+000,6.040E-013,-3.499E-013
0.000E+000,1.776E-015,6.111E-013,-3.446E-013
-1.421E-014,0.000E+000,5.969E-013,-3.464E-013
-7.105E-015,1.776E-015,6.182E-013,-3.446E-013
0.000E+000,1.776E-015,6.040E-013,-3.482E-013
0.000E+000,3.553E-015,6.111E-013,-3.464E-013
0.000E+000,1.776E-015,6.040E-013,-3.464E-013
0.000E+000,-1.776E-015,6.111E-013,-3.428E-013
-7.105E-015,1.776E-015,6.111E-013,-3.446E-013
7.105E-015,0.000E+000,6.111E-013,-3.517E-013
7.105E-015,0.000E+000,6.111E-013,-3.553E-013
7.105E-015,0.000E+000,6.182E-013,-3.499E-013
7.105E-015,0.000E+000,6.111E-013,-3.499E-013
0.000E+000,1.776E-015,6.111E-013,-3.446E-013
1.421E-014,0.000E+000,9.805E-013,-5.542E-013
0.000E+000,-5.329E-015,9.734E-013,-5.560E-013
0.000E+000,0.000E+000,9.734E-013,-5.489E-013
7.105E-015,0.000E+000,9.877E-013,-5.507E-013
1.421E-014,0.000E+000,9.877E-013,-5.507E-013
7.105E-015,-3.553E-015,9.877E-013,-5.578E-013
7.105E-015,0.000E+000,9.805E-013,-5.524E-013
7.105E-015,1.776E-015,9.805E-013,-5.524E-013
0.000E+000,-3.553E-015,9.805E-013,-5.524E-013
7.105E-015,1.776E-015,9.877E-013,-5.507E-013
-7.105E-015,-1.776E-015,9.734E-013,-5.560E-013
7.105E-015,-1.776E-015,9.877E-013,-5.578E-013
7.105E-015,0.000E+000,9.877E-013,-5.524E-013
-7.105E-015,1.776E-015,9.805E-013,-5.524E-013
0.000E+000,-1.776E-015,9.805E-013,-5.507E-013
0.000E+000,0.000E+000,9.877E-013,-5.524E-013
0.000E+000,0.000E+000,9.805E-013,-5.596E-013
0.000E+000,3.553E-015,9.805E-013,-5.524E-013
0.000E+000,1.776E-015,9.734E-013,-5.542E-013
0.000E+000,3.553E-015,9.877E-013,-5.560E-013
7.105E-015,0.000E+000,9.948E-013,-5.596E-013
7.105E-015,-1.776E-015,9.877E-013,-5.596E-013
7.105E-015,1.776E-015,9.948E-013,-5.524E-013
0.000E+000,0.000E+000,9.877E-013,-5.578E-013
-7.105E-015,1.776E-015,9.948E-013,-5.560E-013
7.105E-015,1.776E-015,9.948E-013,-5.596E-013
-7.105E-015,1.776E-015,9.805E-013,-5.613E-013
7.105E-015,1.776E-015,9.877E-013,-5.542E-013
7.105E-015,0.000E+000,9.877E-013,-5.578E-013
0.000E+000,3.553E-015,9.948E-013,-5.524E-013
-2.132E-014,-3.553E-015,1.329E-012,-7.656E-013
7.105E-015,-1.776E-015,1.350E-012,-7.603E-013
7.105E-015,0.000E+000,1.350E-012,-7.567E-013
0.000E+000,0.000E+000,1.336E-012,-7.550E-013
7.105E-015,-1.776E-015,1.343E-012,-7.567E-013
0.000E+000,0.000E+000,1.350E-012,-7.656E-013
7.105E-015,1.776E-015,1.343E-012,-7.585E-013
7.105E-015,1.776E-015,1.343E-012,-7.585E-013
0.000E+000,1.776E-015,1.343E-012,-7.585E-013
7.105E-015,0.000E+000,1.350E-012,-7.567E-013
7.105E-015,1.776E-015,1.350E-012,-7.656E-013
0.000E+000,-3.553E-015,1.357E-012,-7.656E-013
0.000E+000,-3.553E-015,1.350E-012,-7.621E-013
1.421E-014,1.776E-015,1.357E-012,-7.621E-013
0.000E+000,0.000E+000,1.350E-012,-7.585E-013
7.105E-015,1.776E-015,1.350E-012,-7.621E-013
7.105E-015,3.553E-015,1.343E-012,-7.621E-013
-7.105E-015,0.000E+000,1.343E-012,-7.638E-013
-7.105E-015,-1.776E-015,1.336E-012,-7.638E-013
1.421E-014,1.776E-015,1.357E-012,-7.585E-013
7.105E-015,0.000E+000,1.371E-012,-7.692E-013
0.000E+000,-5.329E-015,1.343E-012,-7.727E-013
-7.105E-015,1.776E-015,1.364E-012,-7.621E-013
0.000E+000,1.776E-015,1.350E-012,-7.674E-013
-7.105E-015,0.000E+000,1.350E-012,-7.656E-013
7.105E-015,-1.776E-015,1.350E-012,-7.727E-013
