Forward: Transformation from EGBT22_Geod to ETRS89_DREF91 with ellipsoidal height 0.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33:
Reverse: Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.|>Transformation from ETRS89_DREF91 to EGBT22_Geod with ellipsoidal height 0.
dxRoundTrip,dyRoundTrip,dx,dy
2.132E-014,-1.776E-015,-2.200E-008,6.892E-008
1.421E-014,0.000E+000,-2.212E-008,6.892E-008
0.000E+000,1.776E-015,-2.200E-008,6.706E-008
0.000E+000,1.776E-015,-2.200E-008,6.426E-008
-2.132E-014,3.553E-015,-2.218E-008,6.706E-008
-1.421E-014,-1.776E-015,-2.206E-008,6.892E-008
1.421E-014,-1.776E-015,-2.229E-008,6.706E-008
-2.132E-014,-1.776E-015,-2.224E-008,6.333E-008
-1.421E-014,-3.553E-015,-2.229E-008,6.612E-008
1.421E-014,1.776E-015,-2.206E-008,7.078E-008
0.000E+000,1.776E-015,-2.218E-008,6.799E-008
0.000E+000,5.329E-015,-2.229E-008,6.799E-008
2.132E-014,7.105E-015,-2.189E-008,6.985E-008
0.000E+000,0.000E+000,-2.212E-008,6.892E-008
7.105E-015,3.553E-015,-2.206E-008,6.892E-008
-7.105E-015,0.000E+000,-2.212E-008,6.799E-008
0.000E+000,0.000E+000,-2.247E-008,6.612E-008
0.000E+000,1.776E-015,-2.212E-008,6.799E-008
-1.421E-014,0.000E+000,-2.218E-008,6.426E-008
-7.105E-015,1.776E-015,-2.200E-008,6.892E-008
7.105E-015,1.776E-015,-2.224E-008,6.612E-008
7.105E-015,3.553E-015,-2.212E-008,6.612E-008
-2.132E-014,1.776E-015,-2.218E-008,6.426E-008
0.000E+000,-1.776E-015,-2.189E-008,6.799E-008
2.132E-014,1.776E-015,-2.200E-008,6.799E-008
7.105E-015,0.000E+000,-2.229E-008,6.799E-008
7.105E-015,0.000E+000,-2.264E-008,6.799E-008
2.132E-014,0.000E+000,-2.235E-008,6.892E-008
7.105E-015,0.000E+000,-2.241E-008,6.799E-008
0.000E+000,1.776E-015,-2.194E-008,6.799E-008
1.421E-014,0.000E+000,-3.626E-008,1.090E-007
7.105E-015,-5.329E-015,-3.650E-008,1.080E-007
1.421E-014,0.000E+000,-3.609E-008,1.080E-007
2.842E-014,-1.776E-015,-3.621E-008,1.108E-007
1.421E-014,0.000E+000,-3.621E-008,1.108E-007
0.000E+000,-3.553E-015,-3.638E-008,1.108E-007
1.421E-014,0.000E+000,-3.615E-008,1.090E-007
7.105E-015,1.776E-015,-3.626E-008,1.071E-007
-2.132E-014,-3.553E-015,-3.626E-008,1.071E-007
7.105E-015,0.000E+000,-3.609E-008,1.099E-007
1.421E-014,0.000E+000,-3.621E-008,1.071E-007
7.105E-015,-1.776E-015,-3.650E-008,1.080E-007
7.105E-015,0.000E+000,-3.626E-008,1.099E-007
7.105E-015,0.000E+000,-3.621E-008,1.118E-007
0.000E+000,-1.776E-015,-3.609E-008,1.080E-007
0.000E+000,0.000E+000,-3.574E-008,1.090E-007
7.105E-015,0.000E+000,-3.655E-008,1.108E-007
0.000E+000,3.553E-015,-3.609E-008,1.099E-007
7.105E-015,1.776E-015,-3.615E-008,1.071E-007
3.553E-014,3.553E-015,-3.632E-008,1.118E-007
7.105E-015,0.000E+000,-3.626E-008,1.080E-007
0.000E+000,-1.776E-015,-3.644E-008,1.080E-007
1.421E-014,1.776E-015,-3.603E-008,1.080E-007
2.132E-014,-1.776E-015,-3.632E-008,1.099E-007
0.000E+000,1.776E-015,-3.626E-008,1.090E-007
1.421E-014,0.000E+000,-3.621E-008,1.118E-007
-7.105E-015,0.000E+000,-3.650E-008,1.090E-007
7.105E-015,1.776E-015,-3.609E-008,1.099E-007
-7.105E-015,0.000E+000,-3.632E-008,1.090E-007
1.421E-014,3.553E-015,-3.591E-008,1.099E-007
-2.132E-014,-3.553E-015,-5.058E-008,1.481E-007
7.105E-015,-3.553E-015,-5.035E-008,1.499E-007
7.105E-015,0.000E+000,-5.023E-008,1.509E-007
0.000E+000,0.000E+000,-5.012E-008,1.481E-007
2.132E-014,-1.776E-015,-5.023E-008,1.499E-007
1.421E-014,0.000E+000,-5.041E-008,1.509E-007
1.421E-014,1.776E-015,-5.006E-008,1.471E-007
7.105E-015,1.776E-015,-5.018E-008,1.490E-007
0.000E+000,1.776E-015,-5.023E-008,1.490E-007
1.421E-014,0.000E+000,-5.012E-008,1.509E-007
-1.421E-014,1.776E-015,-5.035E-008,1.490E-007
0.000E+000,-3.553E-015,-5.052E-008,1.499E-007
-7.105E-015,-3.553E-015,-5.041E-008,1.490E-007
3.553E-014,1.776E-015,-5.041E-008,1.527E-007
-1.421E-014,0.000E+000,-5.012E-008,1.490E-007
-7.105E-015,1.776E-015,-4.994E-008,1.490E-007
