Forward: Transformation from ETRS89_DREF91 to EGBT22_Geod with ellipsoidal height 0.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.
Reverse: Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Transformation from EGBT22_Geod to ETRS89_DREF91 with ellipsoidal height 0.
dxRoundTrip,dyRoundTrip,dx,dy,isInsideBBox,srcPPM
7.105E-015,-1.776E-015,2.441E-008,-6.877E-008,False,
2.132E-014,0.000E+000,2.443E-008,-6.646E-008,False,
-7.105E-015,0.000E+000,2.409E-008,-7.136E-008,False,
-3.553E-014,0.000E+000,2.433E-008,-7.215E-008,False,
-1.421E-014,1.776E-015,2.464E-008,-6.925E-008,False,
1.421E-014,0.000E+000,2.438E-008,-6.898E-008,False,
0.000E+000,0.000E+000,2.431E-008,-6.941E-008,True,
0.000E+000,1.776E-015,2.427E-008,-6.895E-008,True,
-7.105E-015,-1.776E-015,2.443E-008,-7.038E-008,True,
2.132E-014,-1.776E-015,2.443E-008,-7.026E-008,False,
0.000E+000,1.776E-015,2.443E-008,-7.251E-008,False,
0.000E+000,-1.776E-015,2.441E-008,-6.989E-008,True,
7.105E-015,5.329E-015,2.441E-008,-7.042E-008,True,
2.132E-014,1.776E-015,2.447E-008,-6.790E-008,True,
7.105E-015,0.000E+000,2.452E-008,-7.205E-008,False,
-1.421E-014,5.329E-015,2.460E-008,-7.077E-008,False,
7.105E-015,0.000E+000,2.448E-008,-6.973E-008,True,
7.105E-015,1.776E-015,2.415E-008,-7.125E-008,True,
1.421E-014,0.000E+000,2.437E-008,-6.683E-008,True,
-1.421E-014,-1.776E-015,2.422E-008,-7.125E-008,False,
1.421E-014,0.000E+000,2.450E-008,-6.861E-008,False,
3.553E-014,0.000E+000,2.432E-008,-6.822E-008,False,
-2.132E-014,-3.553E-015,2.411E-008,-7.081E-008,False,
0.000E+000,0.000E+000,2.427E-008,-7.088E-008,False,
-1.421E-014,-1.776E-015,2.426E-008,-6.976E-008,False,
1.421E-014,0.000E+000,2.454E-008,-7.008E-008,False,
2.842E-014,-1.776E-015,2.437E-008,-6.810E-008,False,
7.105E-015,0.000E+000,2.433E-008,-6.839E-008,False,
2.132E-014,-1.776E-015,2.438E-008,-6.892E-008,False,
7.105E-015,-1.776E-015,2.429E-008,-6.927E-008,False,
7.105E-015,-1.776E-015,3.910E-008,-1.098E-007,False,
2.132E-014,0.000E+000,3.914E-008,-1.075E-007,False,
-7.105E-015,0.000E+000,3.883E-008,-1.110E-007,False,
-3.553E-014,0.000E+000,3.899E-008,-1.132E-007,False,
