Forward: Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.|>Iterative Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.
Reverse: Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33:
dxRoundTrip,dyRoundTrip,dx,dy
-7.034E-005,2.279E-005,-3.042E-004,-1.082E-003
-7.032E-005,2.279E-005,-3.079E-004,-1.082E-003
-7.030E-005,2.279E-005,-3.115E-004,-1.082E-003
-7.029E-005,2.279E-005,-3.152E-004,-1.083E-003
-7.027E-005,2.278E-005,-3.189E-004,-1.083E-003
-7.034E-005,2.284E-005,-3.057E-004,-1.097E-003
-7.032E-005,2.285E-005,-3.094E-004,-1.097E-003
-7.030E-005,2.285E-005,-3.131E-004,-1.098E-003
-7.028E-005,2.285E-005,-3.167E-004,-1.098E-003
-7.027E-005,2.284E-005,-3.204E-004,-1.098E-003
-7.034E-005,2.290E-005,-3.073E-004,-1.112E-003
-7.032E-005,2.290E-005,-3.109E-004,-1.113E-003
-7.030E-005,2.290E-005,-3.146E-004,-1.113E-003
-7.028E-005,2.290E-005,-3.183E-004,-1.113E-003
-7.026E-005,2.290E-005,-3.220E-004,-1.114E-003
-7.034E-005,2.296E-005,-3.088E-004,-1.128E-003
-7.032E-005,2.296E-005,-3.125E-004,-1.128E-003
-7.030E-005,2.296E-005,-3.162E-004,-1.128E-003
-7.028E-005,2.296E-005,-3.199E-004,-1.129E-003
-7.026E-005,2.296E-005,-3.235E-004,-1.129E-003
-7.033E-005,2.302E-005,-3.104E-004,-1.143E-003
-7.032E-005,2.302E-005,-3.141E-004,-1.144E-003
-7.030E-005,2.302E-005,-3.178E-004,-1.144E-003
-7.028E-005,2.302E-005,-3.214E-004,-1.144E-003
-7.026E-005,2.302E-005,-3.251E-004,-1.145E-003
-7.033E-005,2.308E-005,-3.120E-004,-1.159E-003
-7.031E-005,2.308E-005,-3.157E-004,-1.159E-003
-7.030E-005,2.308E-005,-3.193E-004,-1.160E-003
-7.028E-005,2.308E-005,-3.230E-004,-1.160E-003
