Forward: Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.|>Transformation from ETRS89_DREF91 to EGBT22_Geod with ellipsoidal height 0.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.
Reverse: Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Transformation from EGBT22_Geod to ETRS89_DREF91 with ellipsoidal height 0.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33:
dxRoundTrip,dyRoundTrip,dx,dy
5.821E-011,9.313E-010,2.316E-008,-6.877E-008
1.746E-010,2.794E-009,2.342E-008,-6.553E-008
0.000E+000,-9.313E-010,2.308E-008,-6.856E-008
0.000E+000,2.794E-009,2.307E-008,-6.470E-008
1.164E-010,-9.313E-010,2.352E-008,-7.111E-008
5.821E-011,2.794E-009,2.312E-008,-6.898E-008
1.164E-010,9.313E-010,2.331E-008,-6.941E-008
1.164E-010,0.000E+000,2.301E-008,-6.615E-008
0.000E+000,3.725E-009,2.304E-008,-6.666E-008
-5.821E-011,0.000E+000,2.330E-008,-7.026E-008
5.821E-011,-9.313E-010,2.330E-008,-7.251E-008
5.821E-011,-9.313E-010,2.341E-008,-6.989E-008
-2.328E-010,0.000E+000,2.303E-008,-6.949E-008
1.164E-010,9.313E-010,2.322E-008,-7.069E-008
0.000E+000,-1.863E-009,2.326E-008,-7.205E-008
5.821E-011,-9.313E-010,2.297E-008,-7.077E-008
-2.328E-010,0.000E+000,2.323E-008,-6.973E-008
0.000E+000,0.000E+000,2.302E-008,-7.125E-008
-5.821E-011,0.000E+000,2.288E-008,-6.683E-008
0.000E+000,-9.313E-010,2.309E-008,-7.125E-008
0.000E+000,2.794E-009,2.313E-008,-6.582E-008
3.492E-010,1.863E-009,2.332E-008,-6.822E-008
-1.746E-010,-1.863E-009,2.311E-008,-6.988E-008
-1.164E-010,2.794E-009,2.278E-008,-6.623E-008
5.821E-011,1.863E-009,2.325E-008,-6.604E-008
-2.910E-010,2.794E-009,2.306E-008,-6.915E-008
1.746E-010,1.863E-009,2.338E-008,-6.717E-008
0.000E+000,-1.863E-009,2.345E-008,-6.839E-008
-1.746E-010,-3.725E-009,2.314E-008,-7.171E-008
1.746E-010,-9.313E-010,2.317E-008,-6.927E-008
5.821E-011,9.313E-010,3.785E-008,-1.098E-007
1.746E-010,2.794E-009,3.814E-008,-1.066E-007
0.000E+000,-9.313E-010,3.783E-008,-1.082E-007
0.000E+000,2.794E-009,3.773E-008,-1.058E-007
1.164E-010,-9.313E-010,3.798E-008,-1.129E-007
5.821E-011,2.794E-009,3.778E-008,-1.108E-007
1.164E-010,9.313E-010,3.777E-008,-1.119E-007
1.164E-010,0.000E+000,3.772E-008,-1.079E-007
0.000E+000,3.725E-009,3.767E-008,-1.070E-007
-5.821E-011,0.000E+000,3.795E-008,-1.113E-007
5.821E-011,-9.313E-010,3.793E-008,-1.129E-007
5.821E-011,-9.313E-010,3.795E-008,-1.117E-007
-2.328E-010,0.000E+000,3.782E-008,-1.113E-007
1.164E-010,9.313E-010,3.782E-008,-1.125E-007
0.000E+000,-1.863E-009,3.778E-008,-1.124E-007
5.821E-011,-9.313E-010,3.745E-008,-1.118E-007
-2.328E-010,0.000E+000,3.796E-008,-1.115E-007
0.000E+000,0.000E+000,3.789E-008,-1.123E-007
-5.821E-011,0.000E+000,3.755E-008,-1.079E-007
0.000E+000,-9.313E-010,3.791E-008,-1.123E-007
0.000E+000,2.794E-009,3.780E-008,-1.090E-007
3.492E-010,1.863E-009,3.802E-008,-1.093E-007
-1.746E-010,-1.863E-009,3.773E-008,-1.124E-007
-1.164E-010,2.794E-009,3.764E-008,-1.080E-007
5.821E-011,1.863E-009,3.815E-008,-1.078E-007
-2.910E-010,2.794E-009,3.759E-008,-1.109E-007
1.746E-010,1.863E-009,3.805E-008,-1.090E-007
0.000E+000,-1.863E-009,3.804E-008,-1.095E-007
-1.746E-010,-3.725E-009,3.786E-008,-1.135E-007
1.746E-010,-9.313E-010,3.792E-008,-1.103E-007
5.821E-011,9.313E-010,5.254E-008,-1.502E-007
1.746E-010,2.794E-009,5.263E-008,-1.484E-007
0.000E+000,-9.313E-010,5.246E-008,-1.507E-007
0.000E+000,2.794E-009,5.239E-008,-1.454E-007
1.164E-010,-9.313E-010,5.255E-008,-1.533E-007
5.821E-011,2.794E-009,5.255E-008,-1.511E-007
1.164E-010,9.313E-010,5.245E-008,-1.523E-007
1.164E-010,0.000E+000,5.243E-008,-1.476E-007
0.000E+000,3.725E-009,5.241E-008,-1.474E-007
-5.821E-011,0.000E+000,5.249E-008,-1.517E-007
5.821E-011,-9.313E-010,5.278E-008,-1.539E-007
5.821E-011,-9.313E-010,5.260E-008,-1.527E-007
-2.328E-010,0.000E+000,5.239E-008,-1.502E-007
1.164E-010,9.313E-010,5.264E-008,-1.528E-007
0.000E+000,-1.863E-009,5.251E-008,-1.535E-007
5.821E-011,-9.313E-010,5.205E-008,-1.515E-007
-2.328E-010,0.000E+000,5.247E-008,-1.519E-007
0.000E+000,0.000E+000,5.265E-008,-1.520E-007
-5.821E-011,0.000E+000,5.234E-008,-1.483E-007
0.000E+000,-9.313E-010,5.250E-008,-1.520E-007
0.000E+000,2.794E-009,5.247E-008,-1.501E-007
3.492E-010,1.863E-009,5.272E-008,-1.511E-007
-1.746E-010,-1.863E-009,5.257E-008,-1.534E-007
-1.164E-010,2.794E-009,5.240E-008,-1.491E-007
5.821E-011,1.863E-009,5.271E-008,-1.468E-007
-2.910E-010,2.794E-009,5.234E-008,-1.513E-007
1.746E-010,1.863E-009,5.261E-008,-1.500E-007
0.000E+000,-1.863E-009,5.274E-008,-1.505E-007
-1.746E-010,-3.725E-009,5.237E-008,-1.545E-007
1.746E-010,-9.313E-010,5.279E-008,-1.521E-007
5.821E-011,9.313E-010,6.711E-008,-1.920E-007
1.746E-010,2.794E-009,6.723E-008,-1.887E-007
0.000E+000,-9.313E-010,6.720E-008,-1.911E-007
0.000E+000,2.794E-009,6.704E-008,-1.872E-007
1.164E-010,-9.313E-010,6.723E-008,-1.936E-007
5.821E-011,2.794E-009,6.720E-008,-1.922E-007
1.164E-010,9.313E-010,6.725E-008,-1.919E-007
1.164E-010,0.000E+000,6.703E-008,-1.894E-007
0.000E+000,3.725E-009,6.692E-008,-1.884E-007
-5.821E-011,0.000E+000,6.715E-008,-1.921E-007
5.821E-011,-9.313E-010,6.740E-008,-1.943E-007
5.821E-011,-9.313E-010,6.725E-008,-1.931E-007
-2.328E-010,0.000E+000,6.707E-008,-1.920E-007
1.164E-010,9.313E-010,6.701E-008,-1.939E-007
0.000E+000,-1.863E-009,6.702E-008,-1.946E-007
5.821E-011,-9.313E-010,6.686E-008,-1.933E-007
-2.328E-010,0.000E+000,6.686E-008,-1.922E-007
0.000E+000,0.000E+000,6.719E-008,-1.938E-007
-5.821E-011,0.000E+000,6.679E-008,-1.893E-007
0.000E+000,-9.313E-010,6.720E-008,-1.930E-007
0.000E+000,2.794E-009,6.692E-008,-1.912E-007
3.492E-010,1.863E-009,6.731E-008,-1.928E-007
-1.746E-010,-1.863E-009,6.707E-008,-1.945E-007
-1.164E-010,2.794E-009,6.704E-008,-1.894E-007
5.821E-011,1.863E-009,6.738E-008,-1.871E-007
-2.910E-010,2.794E-009,6.687E-008,-1.924E-007
