Forward: Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.|>Transformation from ETRS89_DREF91 to EGBT22_Geod with ellipsoidal height 0.
Reverse: Transformation from EGBT22_Geod to ETRS89_DREF91 with ellipsoidal height 0.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33:
dxRoundTrip,dyRoundTrip,dx,dy,isInsideBBox,srcPPM
5.821E-011,9.313E-010,-5.898E-013,3.268E-013,False,318.9
1.746E-010,2.794E-009,-5.898E-013,3.304E-013,False,326.1
-1.164E-010,-9.313E-010,-5.826E-013,3.268E-013,False,333.1
-5.821E-011,1.863E-009,-5.826E-013,3.268E-013,False,339.7
1.164E-010,-9.313E-010,-6.395E-013,3.304E-013,False,346.0
1.164E-010,2.794E-009,-6.111E-013,3.268E-013,False,319.3
1.164E-010,9.313E-010,-6.111E-013,3.304E-013,True,326.5
1.746E-010,9.313E-010,-5.826E-013,3.268E-013,True,333.4
0.000E+000,1.863E-009,-5.898E-013,3.268E-013,True,339.9
-1.164E-010,0.000E+000,-6.253E-013,3.286E-013,False,346.2
5.821E-011,-9.313E-010,-6.182E-013,3.322E-013,False,319.6
0.000E+000,2.794E-009,-5.826E-013,3.340E-013,True,326.8
-1.746E-010,0.000E+000,-5.898E-013,3.268E-013,True,333.6
1.164E-010,-9.313E-010,-6.253E-013,3.286E-013,True,340.2
0.000E+000,-1.863E-009,-6.111E-013,3.286E-013,False,346.4
5.821E-011,0.000E+000,-6.111E-013,3.286E-013,False,319.9
-2.328E-010,0.000E+000,-5.969E-013,3.304E-013,True,327.1
0.000E+000,0.000E+000,-6.111E-013,3.286E-013,True,333.9
-1.164E-010,0.000E+000,-5.826E-013,3.251E-013,True,340.4
0.000E+000,1.863E-009,-6.182E-013,3.268E-013,False,346.6
-5.821E-011,2.794E-009,-5.969E-013,3.304E-013,False,320.3
1.164E-010,-1.863E-009,-6.040E-013,3.322E-013,False,327.4
-1.746E-010,0.000E+000,-5.969E-013,3.304E-013,False,334.1
-1.164E-010,2.794E-009,-5.826E-013,3.233E-013,False,340.6
