Forward: Iterative Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.
Reverse: Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.
dxRoundTrip,dyRoundTrip,dx,dy
1.946E-010,-9.993E-010,,
1.951E-010,-9.989E-010,,
1.955E-010,-9.984E-010,,
1.959E-010,-9.979E-010,,
1.964E-010,-9.975E-010,,
1.951E-010,-1.001E-009,,
1.956E-010,-1.001E-009,,
1.960E-010,-1.001E-009,,
1.965E-010,-1.000E-009,,
1.969E-010,-9.996E-010,,
1.957E-010,-1.004E-009,,
1.961E-010,-1.003E-009,,
1.965E-010,-1.003E-009,,
1.969E-010,-1.002E-009,,
1.974E-010,-1.002E-009,,
1.962E-010,-1.006E-009,,
1.966E-010,-1.005E-009,,
1.970E-010,-1.005E-009,,
1.974E-010,-1.004E-009,,
1.979E-010,-1.004E-009,,
1.967E-010,-1.008E-009,,
1.971E-010,-1.007E-009,,
1.975E-010,-1.007E-009,,
1.980E-010,-1.007E-009,,
1.984E-010,-1.006E-009,,
1.972E-010,-1.010E-009,,
1.976E-010,-1.010E-009,,
1.980E-010,-1.009E-009,,
1.985E-010,-1.009E-009,,
1.989E-010,-1.008E-009,,
1.946E-010,-9.993E-010,,
1.951E-010,-9.989E-010,,
1.955E-010,-9.984E-010,,
1.959E-010,-9.979E-010,,
1.964E-010,-9.975E-010,,
1.951E-010,-1.001E-009,,
1.956E-010,-1.001E-009,,
1.960E-010,-1.001E-009,,
1.965E-010,-1.000E-009,,
1.969E-010,-9.996E-010,,
1.957E-010,-1.004E-009,,
1.961E-010,-1.003E-009,,
1.965E-010,-1.003E-009,,
1.969E-010,-1.002E-009,,
1.974E-010,-1.002E-009,,
1.962E-010,-1.006E-009,,
1.966E-010,-1.005E-009,,
1.970E-010,-1.005E-009,,
1.974E-010,-1.004E-009,,
1.979E-010,-1.004E-009,,
1.967E-010,-1.008E-009,,
1.971E-010,-1.007E-009,,
1.975E-010,-1.007E-009,,
1.980E-010,-1.007E-009,,
1.984E-010,-1.006E-009,,
1.972E-010,-1.010E-009,,
1.976E-010,-1.010E-009,,
1.980E-010,-1.009E-009,,
1.985E-010,-1.009E-009,,
1.989E-010,-1.008E-009,,
1.946E-010,-9.993E-010,,
1.951E-010,-9.989E-010,,
1.955E-010,-9.984E-010,,
1.959E-010,-9.979E-010,,
1.964E-010,-9.975E-010,,
1.951E-010,-1.001E-009,,
1.956E-010,-1.001E-009,,
1.960E-010,-1.001E-009,,
1.965E-010,-1.000E-009,,
1.969E-010,-9.996E-010,,
1.957E-010,-1.004E-009,,
1.961E-010,-1.003E-009,,
1.965E-010,-1.003E-009,,
1.969E-010,-1.002E-009,,
1.974E-010,-1.002E-009,,
1.962E-010,-1.006E-009,,
1.966E-010,-1.005E-009,,
1.970E-010,-1.005E-009,,
1.974E-010,-1.004E-009,,
1.979E-010,-1.004E-009,,
1.967E-010,-1.008E-009,,
1.971E-010,-1.007E-009,,
1.975E-010,-1.007E-009,,
1.980E-010,-1.007E-009,,
1.984E-010,-1.006E-009,,
1.972E-010,-1.010E-009,,
1.976E-010,-1.010E-009,,
1.980E-010,-1.009E-009,,
1.985E-010,-1.009E-009,,
1.989E-010,-1.008E-009,,
1.946E-010,-9.993E-010,,
1.951E-010,-9.989E-010,,
1.955E-010,-9.984E-010,,
1.959E-010,-9.979E-010,,
1.964E-010,-9.975E-010,,
1.951E-010,-1.001E-009,,
1.956E-010,-1.001E-009,,
1.960E-010,-1.001E-009,,
1.965E-010,-1.000E-009,,
1.969E-010,-9.996E-010,,
1.957E-010,-1.004E-009,,
1.961E-010,-1.003E-009,,
1.965E-010,-1.003E-009,,
1.969E-010,-1.002E-009,,
1.974E-010,-1.002E-009,,
1.962E-010,-1.006E-009,,
1.966E-010,-1.005E-009,,
1.970E-010,-1.005E-009,,
1.974E-010,-1.004E-009,,
1.979E-010,-1.004E-009,,
1.967E-010,-1.008E-009,,
1.971E-010,-1.007E-009,,
1.975E-010,-1.007E-009,,
1.980E-010,-1.007E-009,,
1.984E-010,-1.006E-009,,
1.972E-010,-1.010E-009,,
1.976E-010,-1.010E-009,,
1.980E-010,-1.009E-009,,
1.985E-010,-1.009E-009,,
1.989E-010,-1.008E-009,,
1.946E-010,-9.993E-010,,
1.951E-010,-9.989E-010,,
1.955E-010,-9.984E-010,,
1.959E-010,-9.979E-010,,
1.964E-010,-9.975E-010,,
1.951E-010,-1.001E-009,,
1.956E-010,-1.001E-009,,
1.960E-010,-1.001E-009,,
1.965E-010,-1.000E-009,,
1.969E-010,-9.996E-010,,
1.957E-010,-1.004E-009,,
1.961E-010,-1.003E-009,,
1.965E-010,-1.003E-009,,
1.969E-010,-1.002E-009,,
1.974E-010,-1.002E-009,,
1.962E-010,-1.006E-009,,
1.966E-010,-1.005E-009,,
1.970E-010,-1.005E-009,,
1.974E-010,-1.004E-009,,
1.979E-010,-1.004E-009,,
1.967E-010,-1.008E-009,,
1.971E-010,-1.007E-009,,
1.975E-010,-1.007E-009,,
1.980E-010,-1.007E-009,,
1.984E-010,-1.006E-009,,
1.972E-010,-1.010E-009,,
1.976E-010,-1.010E-009,,
1.980E-010,-1.009E-009,,
1.985E-010,-1.009E-009,,
1.989E-010,-1.008E-009,,
