Forward: Iterative Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.
Reverse: Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.
dxRoundTrip,dyRoundTrip,dx,dy,isInsideBBox,srcPPM
1.947E-010,-9.993E-010,,,False,
1.951E-010,-9.989E-010,,,False,
1.955E-010,-9.984E-010,,,False,
1.959E-010,-9.979E-010,,,False,
1.964E-010,-9.975E-010,,,False,
1.952E-010,-1.001E-009,,,False,
1.956E-010,-1.001E-009,,,True,
1.960E-010,-1.001E-009,,,True,
1.965E-010,-1.000E-009,,,True,
1.969E-010,-9.996E-010,,,False,
1.957E-010,-1.004E-009,,,False,
1.961E-010,-1.003E-009,,,True,
1.965E-010,-1.003E-009,,,True,
1.969E-010,-1.002E-009,,,True,
1.974E-010,-1.002E-009,,,False,
1.962E-010,-1.006E-009,,,False,
1.966E-010,-1.005E-009,,,True,
1.970E-010,-1.005E-009,,,True,
1.975E-010,-1.004E-009,,,True,
1.979E-010,-1.004E-009,,,False,
1.967E-010,-1.008E-009,,,False,
1.971E-010,-1.007E-009,,,False,
1.975E-010,-1.007E-009,,,False,
1.980E-010,-1.007E-009,,,False,
1.984E-010,-1.006E-009,,,False,
1.972E-010,-1.010E-009,,,False,
1.976E-010,-1.010E-009,,,False,
1.980E-010,-1.009E-009,,,False,
1.985E-010,-1.009E-009,,,False,
1.989E-010,-1.008E-009,,,False,
1.947E-010,-9.993E-010,,,False,
1.951E-010,-9.989E-010,,,False,
1.955E-010,-9.984E-010,,,False,
1.959E-010,-9.979E-010,,,False,
1.964E-010,-9.975E-010,,,False,
1.952E-010,-1.001E-009,,,False,
1.956E-010,-1.001E-009,,,True,
1.960E-010,-1.001E-009,,,True,
1.965E-010,-1.000E-009,,,True,
1.969E-010,-9.996E-010,,,False,
1.957E-010,-1.004E-009,,,False,
1.961E-010,-1.003E-009,,,True,
1.965E-010,-1.003E-009,,,True,
1.969E-010,-1.002E-009,,,True,
1.974E-010,-1.002E-009,,,False,
1.962E-010,-1.006E-009,,,False,
1.966E-010,-1.005E-009,,,True,
1.970E-010,-1.005E-009,,,True,
1.975E-010,-1.004E-009,,,True,
1.979E-010,-1.004E-009,,,False,
1.967E-010,-1.008E-009,,,False,
1.971E-010,-1.007E-009,,,False,
1.975E-010,-1.007E-009,,,False,
1.980E-010,-1.007E-009,,,False,
1.984E-010,-1.006E-009,,,False,
1.972E-010,-1.010E-009,,,False,
1.976E-010,-1.010E-009,,,False,
1.980E-010,-1.009E-009,,,False,
1.985E-010,-1.009E-009,,,False,
1.989E-010,-1.008E-009,,,False,
1.947E-010,-9.993E-010,,,False,
1.951E-010,-9.989E-010,,,False,
1.955E-010,-9.984E-010,,,False,
1.959E-010,-9.979E-010,,,False,
1.964E-010,-9.975E-010,,,False,
1.952E-010,-1.001E-009,,,False,
1.956E-010,-1.001E-009,,,True,
1.960E-010,-1.001E-009,,,True,
1.965E-010,-1.000E-009,,,True,
1.969E-010,-9.996E-010,,,False,
1.957E-010,-1.004E-009,,,False,
1.961E-010,-1.003E-009,,,True,
1.965E-010,-1.003E-009,,,True,
1.969E-010,-1.002E-009,,,True,
1.974E-010,-1.002E-009,,,False,
1.962E-010,-1.006E-009,,,False,
1.966E-010,-1.005E-009,,,True,
1.970E-010,-1.005E-009,,,True,
1.975E-010,-1.004E-009,,,True,
1.979E-010,-1.004E-009,,,False,
1.967E-010,-1.008E-009,,,False,
1.971E-010,-1.007E-009,,,False,
1.975E-010,-1.007E-009,,,False,
