sourceCRS,targetCRS,sourceOrigin,dxRoundTrip,dyRoundTrip,dxOriginal,dyOriginal,dxProj,dyProj,stepsForward,stepsReverse
"DB_Ref_Geod","EGBT22_EGBT_LDP","proj",1.845E-010,-9.999E-010,,,3.183E-003,3.576E-003,"Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to EGBT22_Geod with ETRS89 ellipsoidal height 0.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.","Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Transformation from EGBT22_Geod to ETRS89_DREF91 with ETRS89 ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0."
"DB_Ref_Geod","EGBT22_EGBT_LDP","proj",1.915E-010,-9.893E-010,,,3.323E-003,2.223E-003,"Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to EGBT22_Geod with ETRS89 ellipsoidal height 0.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.","Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Transformation from EGBT22_Geod to ETRS89_DREF91 with ETRS89 ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0."
"DB_Ref_Geod","EGBT22_EGBT_LDP","proj",2.031E-010,-9.848E-010,,,3.311E-003,8.344E-004,"Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to EGBT22_Geod with ETRS89 ellipsoidal height 0.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.","Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Transformation from EGBT22_Geod to ETRS89_DREF91 with ETRS89 ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0."
"DB_Ref_Geod","EGBT22_EGBT_LDP","proj",1.972E-010,-9.946E-010,,,2.654E-003,-3.133E-004,"Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to EGBT22_Geod with ETRS89 ellipsoidal height 0.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.","Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Transformation from EGBT22_Geod to ETRS89_DREF91 with ETRS89 ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0."
"DB_Ref_Geod","EGBT22_EGBT_LDP","proj",2.062E-010,-9.909E-010,,,4.342E-003,4.091E-003,"Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to EGBT22_Geod with ETRS89 ellipsoidal height 0.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.","Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Transformation from EGBT22_Geod to ETRS89_DREF91 with ETRS89 ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0."
"DB_Ref_Geod","EGBT22_EGBT_LDP","proj",1.978E-010,-9.831E-010,,,3.475E-003,1.680E-003,"Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to EGBT22_Geod with ETRS89 ellipsoidal height 0.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.","Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Transformation from EGBT22_Geod to ETRS89_DREF91 with ETRS89 ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0."
"DB_Ref_Geod","EGBT22_Geod","proj",1.845E-010,-9.999E-010,,,3.255E-008,4.388E-008,"Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to EGBT22_Geod with ETRS89 ellipsoidal height 0.","Transformation from EGBT22_Geod to ETRS89_DREF91 with ETRS89 ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0."
"DB_Ref_Geod","EGBT22_Geod","proj",1.915E-010,-9.893E-010,,,2.005E-008,4.637E-008,"Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to EGBT22_Geod with ETRS89 ellipsoidal height 0.","Transformation from EGBT22_Geod to ETRS89_DREF91 with ETRS89 ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0."
"DB_Ref_Geod","EGBT22_Geod","proj",2.031E-010,-9.848E-010,,,7.098E-009,4.673E-008,"Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to EGBT22_Geod with ETRS89 ellipsoidal height 0.","Transformation from EGBT22_Geod to ETRS89_DREF91 with ETRS89 ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0."
"DB_Ref_Geod","EGBT22_Geod","proj",1.972E-010,-9.946E-010,,,-2.893E-009,3.742E-008,"Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to EGBT22_Geod with ETRS89 ellipsoidal height 0.","Transformation from EGBT22_Geod to ETRS89_DREF91 with ETRS89 ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0."
