sourceCRS         ,targetCRS          ,sourceOrigin,dxRoundTrip,dyRoundTrip,dxOriginal ,dyOriginal ,dxProj,dyProj,stepsForward                                                                                                                                                                                                                                                       ,stepsReverse                                                                                                                                                                                                                                                       
DB_Ref_GK5        ,EGBT22_EGBT_LDP    ,original    ,-7.035E-005,2.309E-005 ,           ,           ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to EGBT22_Geod with ETRS89 ellipsoidal height 0.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.,Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Transformation from EGBT22_Geod to ETRS89_DREF91 with ETRS89 ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.
DB_Ref_GK5        ,EGBT22_EGBT_LDP    ,original    ,-7.037E-005,2.311E-005 ,           ,           ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to EGBT22_Geod with ETRS89 ellipsoidal height 0.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.,Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Transformation from EGBT22_Geod to ETRS89_DREF91 with ETRS89 ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.
DB_Ref_GK5        ,EGBT22_EGBT_LDP    ,original    ,-7.034E-005,2.312E-005 ,           ,           ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to EGBT22_Geod with ETRS89 ellipsoidal height 0.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.,Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Transformation from EGBT22_Geod to ETRS89_DREF91 with ETRS89 ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.
DB_Ref_GK5        ,EGBT22_EGBT_LDP    ,original    ,-7.037E-005,2.309E-005 ,           ,           ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to EGBT22_Geod with ETRS89 ellipsoidal height 0.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.,Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Transformation from EGBT22_Geod to ETRS89_DREF91 with ETRS89 ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.
DB_Ref_GK5        ,EGBT22_Geod        ,original    ,-7.035E-005,2.309E-005 ,           ,           ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to EGBT22_Geod with ETRS89 ellipsoidal height 0.                                                 ,Transformation from EGBT22_Geod to ETRS89_DREF91 with ETRS89 ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                 
DB_Ref_GK5        ,EGBT22_Geod        ,original    ,-7.037E-005,2.311E-005 ,           ,           ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to EGBT22_Geod with ETRS89 ellipsoidal height 0.                                                 ,Transformation from EGBT22_Geod to ETRS89_DREF91 with ETRS89 ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                 
DB_Ref_GK5        ,EGBT22_Geod        ,original    ,-7.034E-005,2.311E-005 ,           ,           ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to EGBT22_Geod with ETRS89 ellipsoidal height 0.                                                 ,Transformation from EGBT22_Geod to ETRS89_DREF91 with ETRS89 ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                 
DB_Ref_GK5        ,EGBT22_Geod        ,original    ,-7.037E-005,2.309E-005 ,           ,           ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to EGBT22_Geod with ETRS89 ellipsoidal height 0.                                                 ,Transformation from EGBT22_Geod to ETRS89_DREF91 with ETRS89 ellipsoidal height 0.|>Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                 
DB_Ref_GK5        ,ETRS89_DREF91_UTM33,original    ,-7.035E-005,2.309E-005 ,           ,           ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33:                                                                              ,Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.|>Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                              
DB_Ref_GK5        ,ETRS89_DREF91_UTM33,original    ,-7.037E-005,2.311E-005 ,           ,           ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33:                                                                              ,Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.|>Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                              
