Forward: Conversion from DB_Ref_Geoc to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.
Reverse: Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_Geoc.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz
-1.397E-009,-4.657E-010,-9.313E-010,0.000E+000,1.863E-009,-1.495E-009
1.863E-009,3.492E-010,-9.313E-010,0.000E+000,-9.313E-010,7.677E-010
4.657E-010,0.000E+000,9.313E-010,0.000E+000,1.863E-009,4.670E-010
1.863E-009,5.821E-010,-9.313E-010,0.000E+000,-3.725E-009,1.221E-009
-1.863E-009,-5.821E-010,2.794E-009,0.000E+000,0.000E+000,1.765E-009
4.657E-010,-1.164E-010,-1.863E-009,0.000E+000,-9.313E-010,4.582E-010
1.397E-009,3.492E-010,-9.313E-010,0.000E+000,0.000E+000,-2.175E-010
4.657E-010,-3.492E-010,9.313E-010,0.000E+000,9.313E-010,-4.119E-010
0.000E+000,1.164E-010,0.000E+000,0.000E+000,0.000E+000,4.726E-010
2.328E-009,6.985E-010,-9.313E-010,0.000E+000,-1.863E-009,2.807E-009
1.863E-009,8.149E-010,-2.794E-009,9.313E-010,-2.794E-009,-1.771E-009
-1.863E-009,-8.149E-010,1.863E-009,0.000E+000,1.863E-009,-1.093E-009
4.657E-010,5.821E-010,0.000E+000,9.313E-010,-9.313E-010,-3.308E-010
2.328E-009,1.048E-009,0.000E+000,0.000E+000,-1.863E-009,6.114E-010
1.863E-009,4.657E-010,-9.313E-010,0.000E+000,-9.313E-010,9.464E-010
-9.313E-010,-2.328E-010,1.863E-009,0.000E+000,9.313E-010,1.403E-009
0.000E+000,-5.821E-010,9.313E-010,0.000E+000,-9.313E-010,5.533E-010
9.313E-010,3.492E-010,-2.794E-009,0.000E+000,-1.863E-009,-4.232E-010
4.657E-010,2.328E-010,-2.794E-009,0.000E+000,0.000E+000,-9.034E-010
9.313E-010,3.492E-010,-9.313E-010,0.000E+000,-9.313E-010,-5.162E-010
4.657E-010,5.821E-010,-9.313E-010,9.313E-010,-9.313E-010,6.406E-010
0.000E+000,-3.492E-010,0.000E+000,0.000E+000,9.313E-010,1.174E-009
4.657E-010,4.657E-010,-9.313E-010,9.313E-010,0.000E+000,1.201E-009
-9.313E-010,-1.164E-010,-9.313E-010,0.000E+000,-9.313E-010,3.873E-010
-4.657E-010,1.164E-010,-9.313E-010,0.000E+000,0.000E+000,-6.683E-010
0.000E+000,-3.492E-010,0.000E+000,0.000E+000,-9.313E-010,-1.337E-009
-9.313E-010,-4.657E-010,-9.313E-010,0.000E+000,1.863E-009,-7.110E-010
9.313E-010,4.657E-010,0.000E+000,0.000E+000,0.000E+000,1.855E-009
4.657E-010,3.492E-010,-9.313E-010,9.313E-010,9.313E-010,1.637E-010
4.657E-010,-3.492E-010,-9.313E-010,0.000E+000,-9.313E-010,-5.057E-010
0.000E+000,1.164E-010,0.000E+000,0.000E+000,1.863E-009,1.601E-010
1.397E-009,4.657E-010,0.000E+000,0.000E+000,-1.863E-009,2.072E-009
9.313E-010,1.164E-010,0.000E+000,0.000E+000,-1.863E-009,7.134E-010
4.657E-010,-2.328E-010,-1.863E-009,0.000E+000,0.000E+000,-1.001E-009
0.000E+000,-1.164E-010,1.863E-009,0.000E+000,-1.863E-009,5.721E-010
0.000E+000,4.657E-010,0.000E+000,9.313E-010,-9.313E-010,-7.401E-011
9.313E-010,2.328E-010,0.000E+000,0.000E+000,1.863E-009,2.002E-009
-1.397E-009,1.164E-010,0.000E+000,0.000E+000,-1.863E-009,3.650E-010
1.397E-009,0.000E+000,9.313E-010,0.000E+000,0.000E+000,3.568E-009
-4.657E-010,0.000E+000,0.000E+000,0.000E+000,9.313E-010,1.208E-009
-9.313E-010,1.164E-010,9.313E-010,9.313E-010,2.794E-009,9.611E-010
4.657E-010,4.657E-010,0.000E+000,9.313E-010,9.313E-010,6.781E-011
-1.863E-009,0.000E+000,2.794E-009,9.313E-010,2.794E-009,6.404E-010
1.397E-009,3.492E-010,1.863E-009,0.000E+000,9.313E-010,3.529E-009
2.328E-009,4.657E-010,-1.863E-009,0.000E+000,-2.794E-009,1.150E-009
9.313E-010,3.492E-010,-9.313E-010,0.000E+000,0.000E+000,-2.018E-010
0.000E+000,2.328E-010,-9.313E-010,0.000E+000,-1.863E-009,2.553E-010
-1.863E-009,-2.328E-010,1.863E-009,9.313E-010,4.657E-009,1.323E-009
9.313E-010,8.149E-010,0.000E+000,9.313E-010,0.000E+000,5.555E-010
0.000E+000,3.492E-010,0.000E+000,0.000E+000,-1.863E-009,1.595E-009
0.000E+000,2.328E-010,0.000E+000,0.000E+000,1.863E-009,8.238E-010
-4.657E-010,-2.328E-010,0.000E+000,0.000E+000,1.863E-009,1.793E-009
1.397E-009,2.328E-010,-1.863E-009,0.000E+000,0.000E+000,6.635E-010
4.657E-010,2.328E-010,9.313E-010,0.000E+000,-2.794E-009,2.263E-009
1.397E-009,0.000E+000,-9.313E-010,0.000E+000,-1.863E-009,-1.268E-009
-9.313E-010,0.000E+000,1.863E-009,0.000E+000,9.313E-010,8.007E-010
0.000E+000,-4.657E-010,-9.313E-010,0.000E+000,0.000E+000,1.103E-010
9.313E-010,0.000E+000,9.313E-010,0.000E+000,2.794E-009,1.618E-009
-9.313E-010,0.000E+000,1.863E-009,0.000E+000,2.794E-009,2.197E-009
0.000E+000,1.164E-010,1.863E-009,0.000E+000,9.313E-010,1.741E-009
-4.657E-010,0.000E+000,0.000E+000,0.000E+000,-1.863E-009,-6.029E-010
-1.397E-009,-4.657E-010,9.313E-010,0.000E+000,9.313E-010,7.415E-010
-4.657E-010,-5.821E-010,0.000E+000,0.000E+000,0.000E+000,1.990E-010
0.000E+000,2.328E-010,-9.313E-010,0.000E+000,0.000E+000,3.752E-012
0.000E+000,3.492E-010,0.000E+000,9.313E-010,0.000E+000,1.660E-009
0.000E+000,-4.657E-010,0.000E+000,0.000E+000,-9.313E-010,4.435E-010
4.657E-010,3.492E-010,0.000E+000,0.000E+000,0.000E+000,8.759E-010
-9.313E-010,-3.492E-010,9.313E-010,0.000E+000,1.863E-009,2.716E-009
-1.397E-009,-6.985E-010,0.000E+000,0.000E+000,-2.794E-009,-1.116E-009
-9.313E-010,-2.328E-010,0.000E+000,0.000E+000,9.313E-010,-9.102E-010
9.313E-010,5.821E-010,-9.313E-010,9.313E-010,-9.313E-010,-1.547E-010
-3.260E-009,-8.149E-010,1.863E-009,0.000E+000,-9.313E-010,-7.709E-010
9.313E-010,0.000E+000,0.000E+000,0.000E+000,-1.863E-009,5.785E-010
0.000E+000,-1.164E-010,0.000E+000,0.000E+000,0.000E+000,9.931E-010
-9.313E-010,1.164E-010,0.000E+000,0.000E+000,1.863E-009,-2.226E-009
0.000E+000,2.328E-010,9.313E-010,0.000E+000,9.313E-010,8.420E-010
1.397E-009,3.492E-010,-1.863E-009,0.000E+000,-9.313E-010,2.505E-010
-4.657E-010,-5.821E-010,0.000E+000,0.000E+000,9.313E-010,1.939E-009
0.000E+000,2.328E-010,-9.313E-010,9.313E-010,9.313E-010,4.411E-010
3.725E-009,5.821E-010,-1.863E-009,0.000E+000,-4.657E-009,5.323E-010
0.000E+000,-1.164E-010,9.313E-010,0.000E+000,1.863E-009,1.461E-009
-4.657E-010,-2.328E-010,0.000E+000,0.000E+000,1.863E-009,-1.452E-010
1.397E-009,2.328E-010,-1.863E-009,0.000E+000,-2.794E-009,1.330E-009
-9.313E-010,2.328E-010,-9.313E-010,0.000E+000,0.000E+000,4.201E-010
0.000E+000,-3.492E-010,1.863E-009,0.000E+000,-9.313E-010,1.901E-009
1.863E-009,1.164E-010,-9.313E-010,0.000E+000,0.000E+000,2.673E-009
9.313E-010,3.492E-010,-9.313E-010,0.000E+000,0.000E+000,4.249E-010
1.397E-009,5.821E-010,-9.313E-010,0.000E+000,0.000E+000,2.068E-009
-4.657E-010,3.492E-010,0.000E+000,0.000E+000,0.000E+000,1.178E-009
0.000E+000,-3.492E-010,0.000E+000,0.000E+000,-9.313E-010,-2.124E-010
0.000E+000,-3.492E-010,0.000E+000,0.000E+000,9.313E-010,6.188E-010
-4.657E-010,-2.328E-010,0.000E+000,0.000E+000,2.794E-009,-6.829E-010
1.397E-009,8.149E-010,9.313E-010,9.313E-010,-9.313E-010,2.395E-009
1.397E-009,4.657E-010,9.313E-010,0.000E+000,2.794E-009,1.615E-009
0.000E+000,-1.164E-010,0.000E+000,0.000E+000,2.794E-009,3.448E-010
4.657E-010,1.164E-010,0.000E+000,0.000E+000,2.794E-009,3.714E-010
4.657E-010,6.985E-010,-9.313E-010,9.313E-010,-9.313E-010,7.705E-011
0.000E+000,-1.164E-010,0.000E+000,0.000E+000,9.313E-010,-8.891E-010
-9.313E-010,-3.492E-010,-9.313E-010,0.000E+000,2.794E-009,4.122E-010
0.000E+000,-5.821E-010,-9.313E-010,0.000E+000,-9.313E-010,-1.512E-009
-9.313E-010,-2.328E-010,0.000E+000,0.000E+000,1.863E-009,1.347E-009
-4.657E-010,-4.657E-010,0.000E+000,0.000E+000,0.000E+000,-5.930E-010
2.328E-009,6.985E-010,0.000E+000,0.000E+000,0.000E+000,1.544E-009
-9.313E-010,-3.492E-010,-9.313E-010,0.000E+000,9.313E-010,-1.461E-009
-4.657E-010,1.164E-010,9.313E-010,0.000E+000,1.863E-009,1.513E-009
-4.657E-010,2.328E-010,-9.313E-010,9.313E-010,2.794E-009,-9.060E-010
1.397E-009,5.821E-010,9.313E-010,0.000E+000,0.000E+000,5.346E-010
-9.313E-010,-3.492E-010,9.313E-010,0.000E+000,1.863E-009,1.697E-009
0.000E+000,0.000E+000,-9.313E-010,0.000E+000,-9.313E-010,-6.833E-011
0.000E+000,1.164E-010,-1.863E-009,0.000E+000,-9.313E-010,-6.880E-010
4.657E-010,0.000E+000,0.000E+000,0.000E+000,9.313E-010,2.093E-009
-4.657E-010,1.164E-010,9.313E-010,0.000E+000,9.313E-010,4.902E-010
4.657E-010,5.821E-010,-9.313E-010,9.313E-010,-9.313E-010,1.309E-009
4.657E-010,-3.492E-010,1.863E-009,0.000E+000,1.863E-009,2.103E-009
-9.313E-010,1.164E-010,0.000E+000,9.313E-010,-9.313E-010,-5.343E-011
-4.657E-010,1.164E-010,1.863E-009,0.000E+000,1.863E-009,-6.338E-010
0.000E+000,0.000E+000,-9.313E-010,0.000E+000,-9.313E-010,4.539E-010
-4.657E-010,-3.492E-010,0.000E+000,0.000E+000,0.000E+000,3.545E-010
4.657E-010,-3.492E-010,-9.313E-010,0.000E+000,9.313E-010,-3.333E-010
0.000E+000,-4.657E-010,9.313E-010,0.000E+000,-9.313E-010,1.054E-009
9.313E-010,0.000E+000,-1.863E-009,0.000E+000,1.863E-009,1.027E-009
0.000E+000,2.328E-010,0.000E+000,0.000E+000,-9.313E-010,1.103E-010
1.397E-009,-1.164E-010,-1.863E-009,0.000E+000,9.313E-010,1.684E-009
4.657E-010,4.657E-010,0.000E+000,0.000E+000,2.794E-009,2.671E-009
1.863E-009,6.985E-010,-1.863E-009,9.313E-010,0.000E+000,2.235E-009
9.313E-010,6.985E-010,0.000E+000,9.313E-010,9.313E-010,2.474E-009
-4.657E-010,-4.657E-010,0.000E+000,0.000E+000,2.794E-009,7.834E-010
9.313E-010,3.492E-010,-1.863E-009,0.000E+000,9.313E-010,1.200E-009
-9.313E-010,-5.821E-010,1.863E-009,0.000E+000,0.000E+000,6.480E-010
-1.397E-009,0.000E+000,-9.313E-010,9.313E-010,9.313E-010,1.284E-010
-9.313E-010,-1.164E-010,9.313E-010,0.000E+000,2.794E-009,1.988E-009
2.328E-009,9.313E-010,-9.313E-010,9.313E-010,-9.313E-010,1.301E-009
-1.397E-009,-5.821E-010,-9.313E-010,0.000E+000,0.000E+000,4.854E-010
-1.863E-009,-2.328E-010,9.313E-010,0.000E+000,3.725E-009,2.252E-009
-4.657E-010,4.657E-010,-9.313E-010,9.313E-010,0.000E+000,9.086E-010
-9.313E-010,-1.164E-010,0.000E+000,0.000E+000,1.863E-009,-5.184E-010
-9.313E-010,-1.164E-010,-1.863E-009,0.000E+000,0.000E+000,-1.490E-009
0.000E+000,0.000E+000,-1.863E-009,0.000E+000,9.313E-010,1.018E-009
4.657E-010,6.985E-010,9.313E-010,9.313E-010,2.794E-009,1.589E-009
-9.313E-010,-4.657E-010,0.000E+000,0.000E+000,2.794E-009,4.959E-010
-9.313E-010,-3.492E-010,-9.313E-010,0.000E+000,9.313E-010,-3.550E-010
1.397E-009,5.821E-010,-9.313E-010,9.313E-010,-2.794E-009,1.805E-009
1.863E-009,8.149E-010,-1.863E-009,9.313E-010,9.313E-010,5.677E-010
1.397E-009,3.492E-010,-1.863E-009,0.000E+000,1.863E-009,1.667E-009
-4.657E-010,-3.492E-010,-1.863E-009,0.000E+000,9.313E-010,1.130E-010
-9.313E-010,-2.328E-010,-9.313E-010,0.000E+000,9.313E-010,1.369E-010
9.313E-010,5.821E-010,0.000E+000,9.313E-010,9.313E-010,1.802E-009
0.000E+000,-1.164E-010,-9.313E-010,0.000E+000,0.000E+000,-2.564E-010
4.657E-010,1.164E-010,9.313E-010,0.000E+000,9.313E-010,3.221E-009
4.657E-010,-2.328E-010,-9.313E-010,0.000E+000,0.000E+000,1.354E-009
