Forward: Conversion from DB_Ref_Geod to DB_Ref_Geoc.
Reverse: Conversion from DB_Ref_Geoc to DB_Ref_Geod.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz
-7.105E-015,1.776E-015,-8.522E-011,9.313E-010,2.328E-010,0.000E+000
0.000E+000,0.000E+000,7.677E-010,0.000E+000,-1.164E-010,-9.313E-010
0.000E+000,0.000E+000,4.670E-010,9.313E-010,0.000E+000,-9.313E-010
0.000E+000,0.000E+000,-1.882E-010,4.657E-010,0.000E+000,-9.313E-010
-7.105E-015,0.000E+000,3.557E-010,0.000E+000,0.000E+000,-9.313E-010
7.105E-015,1.776E-015,-2.466E-010,-1.397E-009,-2.328E-010,-9.313E-010
7.105E-015,0.000E+000,-2.175E-010,-4.657E-010,1.164E-010,0.000E+000
0.000E+000,0.000E+000,-4.119E-010,0.000E+000,0.000E+000,0.000E+000
7.105E-015,0.000E+000,-1.642E-009,0.000E+000,1.164E-010,-1.863E-009
-7.105E-015,0.000E+000,1.398E-009,-9.313E-010,-2.328E-010,-9.313E-010
-7.105E-015,1.776E-015,-1.771E-009,0.000E+000,0.000E+000,0.000E+000
-7.105E-015,0.000E+000,3.161E-010,1.397E-009,1.164E-010,0.000E+000
-7.105E-015,1.776E-015,-3.308E-010,0.000E+000,0.000E+000,0.000E+000
-7.105E-015,0.000E+000,6.114E-010,0.000E+000,1.164E-010,0.000E+000
-7.105E-015,1.776E-015,-4.631E-010,0.000E+000,0.000E+000,-9.313E-010
7.105E-015,0.000E+000,-6.260E-012,4.657E-010,1.164E-010,-9.313E-010
-7.105E-015,0.000E+000,-8.562E-010,9.313E-010,3.492E-010,-1.863E-009
0.000E+000,1.776E-015,-4.232E-010,0.000E+000,1.164E-010,-9.313E-010
7.105E-015,1.776E-015,-1.608E-009,0.000E+000,0.000E+000,-9.313E-010
0.000E+000,0.000E+000,1.885E-010,9.313E-010,2.328E-010,9.313E-010
-7.105E-015,0.000E+000,-6.410E-011,0.000E+000,-1.164E-010,-9.313E-010
-7.105E-015,0.000E+000,4.693E-010,0.000E+000,1.164E-010,-9.313E-010
0.000E+000,0.000E+000,4.959E-010,0.000E+000,-1.164E-010,-9.313E-010
7.105E-015,0.000E+000,-1.022E-009,-9.313E-010,-2.328E-010,-9.313E-010
