Forward: Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to DB_Ref_Geoc.|>Conversion from DB_Ref_Geoc to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.
Reverse: Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_Geoc.|>Transformation from DB_Ref_Geoc to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz,isInsideBBox,isInsideHeightRange,srcPPM
-7.069E-005,2.175E-005,-3.298E-005,0.000E+000,1.863E-009,-8.522E-011,False,False,-19.6
-7.068E-005,2.175E-005,-3.302E-005,0.000E+000,-9.313E-010,7.677E-010,False,False,-19.1
-7.066E-005,2.176E-005,-3.306E-005,0.000E+000,4.657E-009,4.670E-010,False,False,-18.9
-7.064E-005,2.175E-005,-3.310E-005,0.000E+000,0.000E+000,1.221E-009,False,False,-19.0
-7.062E-005,2.175E-005,-3.314E-005,0.000E+000,2.794E-009,1.765E-009,False,False,-19.5
-7.069E-005,2.181E-005,-3.295E-005,0.000E+000,-9.313E-010,1.163E-009,False,False,-19.5
-7.068E-005,2.180E-005,-3.299E-005,0.000E+000,0.000E+000,-2.175E-010,True,False,-19.0
-7.066E-005,2.181E-005,-3.302E-005,0.000E+000,2.794E-009,-4.119E-010,True,False,-18.9
-7.064E-005,2.181E-005,-3.306E-005,0.000E+000,1.863E-009,4.726E-010,True,False,-19.0
-7.062E-005,2.181E-005,-3.310E-005,0.000E+000,-9.313E-010,2.102E-009,False,False,-19.4
-7.069E-005,2.187E-005,-3.291E-005,9.313E-010,3.725E-009,-3.615E-010,False,False,-19.5
