Forward: Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to DB_Ref_Geoc.
Reverse: Transformation from DB_Ref_Geoc to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz
-7.069E-005,2.175E-005,-3.298E-005,-1.397E-009,-2.328E-010,2.794E-009
-7.068E-005,2.175E-005,-3.302E-005,-4.657E-010,-2.328E-010,0.000E+000
-7.066E-005,2.175E-005,-3.306E-005,-1.397E-009,-3.492E-010,1.863E-009
-7.064E-005,2.175E-005,-3.310E-005,-1.397E-009,-2.328E-010,9.313E-010
-7.062E-005,2.176E-005,-3.314E-005,-2.328E-009,-6.985E-010,2.794E-009
-7.069E-005,2.181E-005,-3.295E-005,0.000E+000,0.000E+000,9.313E-010
-7.068E-005,2.180E-005,-3.299E-005,1.863E-009,3.492E-010,-9.313E-010
-7.066E-005,2.181E-005,-3.302E-005,-2.328E-009,-5.821E-010,1.863E-009
-7.064E-005,2.181E-005,-3.306E-005,-2.328E-009,-5.821E-010,1.863E-009
-7.062E-005,2.181E-005,-3.310E-005,-9.313E-010,-2.328E-010,0.000E+000
-7.069E-005,2.187E-005,-3.291E-005,-2.794E-009,-5.821E-010,3.725E-009
-7.068E-005,2.186E-005,-3.295E-005,-9.313E-010,-2.328E-010,0.000E+000
-7.066E-005,2.187E-005,-3.299E-005,-2.794E-009,-4.657E-010,3.725E-009
-7.064E-005,2.187E-005,-3.303E-005,0.000E+000,1.164E-010,2.794E-009
-7.062E-005,2.186E-005,-3.307E-005,0.000E+000,-1.164E-010,1.863E-009
-7.069E-005,2.193E-005,-3.287E-005,-2.794E-009,-8.149E-010,2.794E-009
-7.068E-005,2.192E-005,-3.291E-005,-1.863E-009,-5.821E-010,9.313E-010
-7.066E-005,2.192E-005,-3.295E-005,-4.657E-010,1.164E-010,1.863E-009
-7.064E-005,2.192E-005,-3.299E-005,-9.313E-010,-2.328E-010,-9.313E-010
-7.062E-005,2.192E-005,-3.303E-005,-1.397E-009,-2.328E-010,9.313E-010
-7.069E-005,2.197E-005,-3.283E-005,0.000E+000,-1.164E-010,0.000E+000
-7.068E-005,2.198E-005,-3.287E-005,-1.863E-009,-3.492E-010,9.313E-010
-7.066E-005,2.198E-005,-3.291E-005,9.313E-010,2.328E-010,0.000E+000
-7.064E-005,2.198E-005,-3.295E-005,-9.313E-010,-2.328E-010,0.000E+000
-7.062E-005,2.197E-005,-3.299E-005,-1.397E-009,-2.328E-010,0.000E+000
-7.069E-005,2.203E-005,-3.280E-005,-4.657E-010,-2.328E-010,1.863E-009
-7.068E-005,2.203E-005,-3.283E-005,4.657E-010,0.000E+000,0.000E+000
-7.066E-005,2.203E-005,-3.287E-005,4.657E-010,0.000E+000,1.863E-009
-7.064E-005,2.203E-005,-3.291E-005,0.000E+000,-2.328E-010,-9.313E-010
-7.062E-005,2.203E-005,-3.295E-005,-9.313E-010,-2.328E-010,9.313E-010
-7.069E-005,2.175E-005,-3.299E-005,0.000E+000,0.000E+000,0.000E+000
-7.067E-005,2.175E-005,-3.303E-005,4.657E-010,0.000E+000,-1.863E-009
-7.066E-005,2.175E-005,-3.306E-005,4.657E-010,1.164E-010,0.000E+000
-7.064E-005,2.175E-005,-3.310E-005,-1.863E-009,-5.821E-010,9.313E-010
-7.062E-005,2.175E-005,-3.314E-005,-2.328E-009,-5.821E-010,0.000E+000
-7.069E-005,2.181E-005,-3.295E-005,-1.863E-009,-4.657E-010,1.863E-009
-7.068E-005,2.181E-005,-3.299E-005,-9.313E-010,-3.492E-010,1.863E-009
-7.066E-005,2.181E-005,-3.303E-005,-4.657E-010,-1.164E-010,2.794E-009
-7.064E-005,2.181E-005,-3.307E-005,-1.863E-009,-5.821E-010,1.863E-009
-7.062E-005,2.181E-005,-3.310E-005,-2.328E-009,-6.985E-010,1.863E-009
-7.069E-005,2.187E-005,-3.291E-005,-1.863E-009,-3.492E-010,9.313E-010
-7.067E-005,2.186E-005,-3.295E-005,-2.794E-009,-8.149E-010,9.313E-010
-7.066E-005,2.187E-005,-3.299E-005,-2.328E-009,-4.657E-010,3.725E-009
-7.064E-005,2.186E-005,-3.303E-005,9.313E-010,1.164E-010,9.313E-010
-7.062E-005,2.186E-005,-3.306E-005,-4.657E-010,-2.328E-010,1.863E-009
-7.069E-005,2.192E-005,-3.287E-005,-9.313E-010,-2.328E-010,1.863E-009
-7.067E-005,2.192E-005,-3.291E-005,-2.328E-009,-8.149E-010,1.863E-009
-7.066E-005,2.192E-005,-3.295E-005,-2.794E-009,-5.821E-010,9.313E-010
-7.064E-005,2.192E-005,-3.299E-005,-9.313E-010,-2.328E-010,9.313E-010
-7.062E-005,2.192E-005,-3.303E-005,-9.313E-010,-2.328E-010,1.863E-009
-7.069E-005,2.197E-005,-3.283E-005,-1.397E-009,-3.492E-010,-9.313E-010
-7.067E-005,2.198E-005,-3.287E-005,-4.657E-010,-3.492E-010,1.863E-009
-7.066E-005,2.198E-005,-3.291E-005,4.657E-010,1.164E-010,0.000E+000
-7.064E-005,2.197E-005,-3.295E-005,1.863E-009,3.492E-010,0.000E+000
-7.062E-005,2.198E-005,-3.299E-005,-1.397E-009,-3.492E-010,1.863E-009
