Forward: Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_CZ_Geoc.
Reverse: Transformation from ETRS89_CZ_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz
-9.095E-013,2.008E-009,3.928E-010,-1.397E-009,-1.164E-010,3.725E-009
-3.820E-011,1.524E-009,9.249E-010,-4.657E-010,-1.164E-010,9.313E-010
-4.547E-011,3.565E-010,5.258E-010,-1.397E-009,-2.328E-010,2.794E-009
1.546E-010,-1.372E-009,5.796E-010,-1.397E-009,-1.164E-010,1.863E-009
3.274E-011,3.394E-009,3.817E-010,-2.328E-009,-5.821E-010,3.725E-009
1.182E-011,-9.895E-010,-2.340E-010,0.000E+000,1.164E-010,1.863E-009
2.365E-011,-1.419E-009,3.031E-010,1.863E-009,4.657E-010,0.000E+000
5.821E-011,9.022E-010,1.101E-010,-2.328E-009,-4.657E-010,2.794E-009
4.547E-011,1.332E-009,6.220E-010,-2.328E-009,-4.657E-010,2.794E-009
0.000E+000,-2.277E-009,1.109E-009,-9.313E-010,-1.164E-010,9.313E-010
1.228E-010,3.856E-009,9.589E-011,-2.794E-009,-4.657E-010,4.657E-009
1.719E-010,-2.830E-009,-9.213E-011,-9.313E-010,-1.164E-010,9.313E-010
-3.638E-012,3.150E-009,-2.801E-010,-2.794E-009,-3.492E-010,4.657E-009
1.455E-011,2.881E-009,4.632E-010,0.000E+000,2.328E-010,3.725E-009
1.819E-011,-1.266E-009,-1.961E-012,0.000E+000,0.000E+000,2.794E-009
-3.456E-011,2.801E-009,8.656E-010,-2.794E-009,-6.985E-010,3.725E-009
4.729E-011,1.237E-010,-5.006E-010,-1.863E-009,-4.657E-010,1.863E-009
1.637E-010,4.657E-010,-1.162E-009,-4.657E-010,2.328E-010,2.794E-009
-2.365E-011,2.256E-010,2.405E-010,-9.313E-010,-1.164E-010,0.000E+000
1.419E-010,-1.397E-009,-4.462E-010,-1.397E-009,-1.164E-010,1.863E-009
4.184E-011,3.056E-010,1.944E-010,0.000E+000,0.000E+000,9.313E-010
6.003E-011,-2.328E-010,2.175E-010,-1.863E-009,-2.328E-010,1.863E-009
5.457E-011,-2.823E-009,1.172E-009,9.313E-010,3.492E-010,9.313E-010
-7.640E-011,8.295E-010,1.170E-009,-9.313E-010,-1.164E-010,9.313E-010
-1.819E-011,1.019E-009,6.889E-010,-1.397E-009,-1.164E-010,9.313E-010
1.364E-011,-2.328E-010,-1.288E-010,-4.657E-010,-1.164E-010,2.794E-009
4.547E-011,-1.979E-009,1.762E-009,4.657E-010,1.164E-010,9.313E-010
-4.911E-011,2.387E-009,1.311E-009,4.657E-010,1.164E-010,2.794E-009
-4.184E-011,-9.313E-010,-8.258E-010,0.000E+000,-1.164E-010,0.000E+000
-5.457E-011,-1.281E-009,5.612E-010,-9.313E-010,-1.164E-010,1.863E-009
-9.823E-011,9.823E-010,1.914E-010,0.000E+000,1.164E-010,9.313E-010
-1.291E-010,-1.361E-009,-1.915E-010,4.657E-010,1.164E-010,-9.313E-010
-1.091E-011,1.681E-009,8.353E-010,4.657E-010,2.328E-010,9.313E-010
-5.457E-011,2.259E-009,-5.042E-010,-1.863E-009,-4.657E-010,1.863E-009
-1.819E-011,-2.994E-009,-4.594E-010,-2.328E-009,-4.657E-010,9.313E-010
4.911E-011,1.004E-009,7.294E-010,-1.863E-009,-3.492E-010,2.794E-009
-4.275E-011,-1.062E-009,3.515E-010,-9.313E-010,-2.328E-010,2.794E-009
9.277E-011,-8.295E-010,-1.209E-009,-4.657E-010,0.000E+000,3.725E-009
-3.456E-011,1.019E-009,-2.284E-010,-1.863E-009,-4.657E-010,2.794E-009
4.002E-011,1.353E-009,9.792E-010,-2.328E-009,-5.821E-010,2.794E-009
1.537E-010,1.681E-009,9.501E-010,-1.863E-009,-2.328E-010,1.863E-009
-3.092E-011,-8.367E-010,5.518E-010,-2.794E-009,-6.985E-010,1.863E-009
2.001E-011,4.875E-010,6.319E-010,-2.328E-009,-3.492E-010,4.657E-009
6.185E-011,-7.130E-010,1.366E-009,9.313E-010,2.328E-010,1.863E-009
-5.093E-011,-6.548E-010,1.395E-009,-4.657E-010,-1.164E-010,2.794E-009
8.185E-012,8.440E-010,1.120E-010,-9.313E-010,-1.164E-010,2.794E-009
-6.003E-011,3.049E-009,1.716E-010,-2.328E-009,-6.985E-010,2.794E-009
1.728E-010,-5.602E-010,6.842E-010,-2.794E-009,-4.657E-010,1.863E-009
5.457E-012,1.062E-009,-2.128E-010,-9.313E-010,-1.164E-010,1.863E-009
3.638E-011,-5.530E-010,-6.568E-010,-9.313E-010,-1.164E-010,2.794E-009
6.366E-011,-4.366E-011,7.788E-012,-1.397E-009,-2.328E-010,0.000E+000
-1.710E-010,1.543E-009,-1.541E-010,-4.657E-010,-2.328E-010,2.794E-009
-3.456E-011,-6.112E-010,5.646E-010,4.657E-010,2.328E-010,9.313E-010
-6.730E-011,-9.022E-010,8.303E-010,1.863E-009,4.657E-010,9.313E-010
-1.455E-011,1.150E-009,3.658E-010,-1.397E-009,-2.328E-010,2.794E-009
