Forward: Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_CZ_Geoc.|>Conversion from ETRS89_CZ_Geoc to ETRS89_CZ_Geod.
Reverse: Conversion from ETRS89_CZ_Geod to ETRS89_CZ_Geoc.|>Transformation from ETRS89_CZ_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz,isInsideBBox,isInsideHeightRange,srcPPM
-1.282E-010,2.008E-009,1.802E-009,2.132E-014,0.000E+000,4.381E-009,False,False,-19.6
-1.655E-010,1.524E-009,9.249E-010,1.421E-014,0.000E+000,5.623E-010,False,False,-19.1
-4.547E-011,3.565E-010,1.935E-009,3.553E-014,3.553E-015,2.331E-009,False,False,-18.9
1.510E-010,-1.372E-009,-1.252E-010,2.132E-014,1.776E-015,1.256E-009,False,False,-19.0
3.274E-011,4.326E-009,1.791E-009,4.263E-014,0.000E+000,1.565E-009,False,False,-19.5
1.182E-011,-9.895E-010,-2.340E-010,2.132E-014,3.553E-015,2.464E-009,False,False,-19.5
2.365E-011,-1.419E-009,1.713E-009,0.000E+000,1.776E-015,1.424E-009,True,False,-19.0
5.821E-011,2.765E-009,2.929E-009,3.553E-014,3.553E-015,1.768E-009,True,False,-18.9
4.366E-011,1.332E-009,6.220E-010,4.263E-014,3.553E-015,-9.587E-010,True,False,-19.0
0.000E+000,-2.277E-009,1.109E-009,2.132E-014,3.553E-015,7.193E-010,False,False,-19.4
1.228E-010,3.856E-009,-6.089E-010,4.974E-014,1.776E-015,1.870E-009,False,False,-19.5
1.728E-010,8.949E-010,-7.970E-010,2.132E-014,1.776E-015,-5.951E-010,True,False,-19.1
-3.638E-012,1.288E-009,1.129E-009,4.974E-014,5.329E-015,1.596E-009,True,False,-18.9
1.455E-011,8.731E-011,4.632E-010,2.132E-014,7.105E-015,3.763E-009,True,False,-19.0
-2.328E-010,-1.266E-009,-7.068E-010,2.842E-014,-1.776E-015,1.674E-009,False,False,-19.5
9.004E-011,2.801E-009,1.608E-010,4.974E-014,0.000E+000,1.823E-011,False,False,-19.6
4.729E-011,1.237E-010,-5.006E-010,4.263E-014,1.776E-015,3.316E-010,True,False,-19.1
1.637E-010,4.657E-010,-4.571E-010,2.132E-014,3.553E-015,3.892E-009,True,False,-18.9
-2.365E-011,2.256E-010,2.405E-010,1.421E-014,3.553E-015,1.776E-010,True,False,-19.1
1.382E-010,1.397E-009,2.586E-010,3.553E-014,3.553E-015,8.933E-010,False,False,-19.5
1.637E-010,3.056E-010,1.944E-010,2.132E-014,3.553E-015,8.170E-010,False,False,-19.6
5.821E-011,1.630E-009,2.175E-010,2.842E-014,1.776E-015,-7.477E-010,False,False,-19.1
5.457E-011,-2.823E-009,-2.378E-010,0.000E+000,1.776E-015,-4.751E-010,False,False,-19.0
-2.019E-010,3.623E-009,1.170E-009,7.105E-015,0.000E+000,2.251E-010,False,False,-19.1
-1.419E-010,-1.775E-009,6.889E-010,7.105E-015,0.000E+000,9.000E-010,False,False,-19.5
1.182E-011,-2.095E-009,1.281E-009,2.842E-014,0.000E+000,5.183E-010,False,False,-19.6
4.547E-011,-1.979E-009,1.057E-009,0.000E+000,-1.776E-015,-3.825E-010,False,False,-19.1
-1.746E-010,-1.339E-009,1.311E-009,7.105E-015,0.000E+000,2.442E-009,False,False,-18.9
8.185E-011,-9.313E-010,-1.209E-010,0.000E+000,0.000E+000,3.075E-010,False,False,-19.1
-5.457E-011,-3.492E-010,5.612E-010,2.842E-014,3.553E-015,7.403E-010,False,False,-19.5
2.910E-011,9.823E-010,1.601E-009,7.105E-015,3.553E-015,6.622E-010,False,True,-10.1
-1.291E-010,-1.361E-009,5.133E-010,-7.105E-015,1.776E-015,-1.261E-009,False,True,-9.7
1.164E-010,7.494E-010,2.950E-009,7.105E-015,3.553E-015,1.019E-009,False,True,-9.5
-1.783E-010,-5.348E-010,-1.914E-009,3.553E-014,-1.776E-015,-1.434E-009,False,True,-9.6
1.091E-010,-2.994E-009,2.455E-010,2.842E-014,3.553E-015,6.560E-011,False,True,-10.1
4.911E-011,1.004E-009,7.294E-010,2.842E-014,0.000E+000,2.192E-010,False,True,-10.1
-4.002E-011,-1.062E-009,3.515E-010,3.553E-014,1.776E-015,2.257E-009,True,True,-9.6
9.277E-011,-8.295E-010,-1.209E-009,2.842E-014,1.776E-015,1.929E-009,True,True,-9.4
-3.456E-011,-8.440E-010,1.181E-009,2.842E-014,0.000E+000,8.711E-010,True,True,-9.6
4.729E-011,-5.093E-010,9.792E-010,2.842E-014,0.000E+000,9.453E-010,False,True,-10.0
1.510E-010,-1.819E-010,-4.596E-010,2.842E-014,5.329E-015,-8.545E-010,False,True,-10.1
-3.092E-011,-8.367E-010,5.518E-010,4.974E-014,1.776E-015,-7.197E-010,True,True,-9.6
2.001E-011,4.875E-010,2.042E-009,4.263E-014,3.553E-015,1.983E-009,True,True,-9.5
6.185E-011,-7.130E-010,6.613E-010,7.105E-015,1.776E-015,1.135E-009,True,True,-9.6
-5.093E-011,-6.548E-010,2.100E-009,2.132E-014,0.000E+000,2.352E-009,False,True,-10.0
8.185E-012,8.440E-010,1.120E-010,2.842E-014,1.776E-015,1.382E-009,False,True,-10.2
6.548E-011,3.980E-009,1.716E-010,3.553E-014,0.000E+000,7.961E-010,True,True,-9.7
1.728E-010,-5.602E-010,6.842E-010,4.263E-014,3.553E-015,-9.979E-010,True,True,-9.6
1.310E-010,1.062E-009,-2.128E-010,2.132E-014,3.553E-015,4.804E-010,True,True,-9.7
1.637E-010,-5.530E-010,-2.066E-009,2.132E-014,1.776E-015,4.528E-011,False,True,-10.1
6.366E-011,-4.366E-011,-2.107E-009,1.421E-014,1.776E-015,-3.689E-009,False,True,-10.2
-1.710E-010,1.543E-009,1.960E-009,1.421E-014,0.000E+000,4.369E-009,False,True,-9.8
