Forward: Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_DREF91_Geoc.|>Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.
Reverse: Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz,isInsideBBox,isInsideHeightRange,srcPPM
-9.095E-013,2.008E-009,-1.017E-009,2.132E-014,1.776E-015,1.061E-009,False,False,-19.6
-3.820E-011,1.524E-009,9.249E-010,0.000E+000,0.000E+000,-3.486E-010,False,False,-19.1
-1.710E-010,3.565E-010,5.257E-010,2.132E-014,1.776E-015,3.562E-010,False,False,-18.9
1.510E-010,-1.372E-009,5.796E-010,1.421E-014,1.776E-015,3.562E-010,False,False,-19.0
3.274E-011,3.394E-009,3.817E-010,2.842E-014,-1.776E-015,3.562E-010,False,False,-19.5
1.182E-011,-9.895E-010,-2.341E-010,1.421E-014,0.000E+000,1.271E-009,False,False,-19.5
1.473E-010,-1.419E-009,1.713E-009,-1.421E-014,0.000E+000,2.681E-009,True,False,-19.0
5.821E-011,2.765E-009,2.225E-009,4.263E-014,3.553E-015,5.665E-010,True,False,-18.9
4.547E-011,1.332E-009,2.032E-009,3.553E-014,0.000E+000,1.271E-009,True,False,-19.0
-3.638E-012,-4.147E-010,1.109E-009,2.132E-014,0.000E+000,5.665E-010,False,False,-19.4
1.246E-010,3.856E-009,9.588E-011,4.974E-014,1.776E-015,1.116E-009,False,False,-19.5
1.719E-010,-2.830E-009,-9.213E-011,7.105E-015,1.776E-015,4.108E-010,True,False,-19.1
2.474E-010,3.150E-009,-2.801E-010,4.974E-014,5.329E-015,1.116E-009,True,False,-18.9
1.637E-011,2.881E-009,-9.464E-010,2.132E-014,1.776E-015,3.230E-009,True,False,-19.0
-1.055E-010,-1.266E-009,-1.961E-012,2.132E-014,-1.776E-015,1.820E-009,False,False,-19.5
-3.456E-011,2.801E-009,8.656E-010,3.553E-014,-1.776E-015,1.260E-009,False,False,-19.6
4.729E-011,1.237E-010,9.091E-010,2.132E-014,0.000E+000,5.551E-010,True,False,-19.1
1.637E-010,4.657E-010,-1.162E-009,2.842E-014,5.329E-015,1.260E-009,True,False,-18.9
-2.365E-011,2.088E-009,9.453E-010,7.105E-015,0.000E+000,-1.497E-010,True,False,-19.1
1.419E-010,-1.397E-009,1.668E-009,2.132E-014,1.776E-015,5.552E-010,False,False,-19.5
4.184E-011,3.056E-010,-5.104E-010,7.105E-015,-1.776E-015,2.513E-010,False,False,-19.6
-6.548E-011,-2.328E-010,2.175E-010,2.132E-014,1.776E-015,-4.535E-010,False,False,-19.1
-6.912E-011,-2.823E-009,1.877E-009,-1.421E-014,1.776E-015,9.561E-010,False,False,-19.0
-7.640E-011,8.295E-010,1.170E-009,7.105E-015,0.000E+000,-4.535E-010,False,False,-19.1
-1.819E-011,1.019E-009,6.889E-010,7.105E-015,1.776E-015,-4.535E-010,False,False,-19.5
1.455E-011,-2.328E-010,-1.288E-010,2.132E-014,-1.776E-015,8.603E-010,False,False,-19.6
4.547E-011,-1.979E-009,-3.527E-010,-7.105E-015,0.000E+000,-5.493E-010,False,False,-19.1
-4.911E-011,2.387E-009,1.311E-009,1.421E-014,0.000E+000,8.603E-010,False,False,-18.9
