Forward: Transformation from EGBT22_Geoc to ETRS89_CZ_Geoc.|>Conversion from ETRS89_CZ_Geoc to ETRS89_CZ_Geod.
Reverse: Conversion from ETRS89_CZ_Geod to ETRS89_CZ_Geoc.|>Transformation from ETRS89_CZ_Geoc to EGBT22_Geoc.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz,isInsideBBox,isInsideHeightRange,srcPPM
4.657E-010,0.000E+000,0.000E+000,-7.105E-015,0.000E+000,2.972E-009,False,False,
-4.657E-010,-1.164E-010,0.000E+000,1.421E-014,1.776E-015,5.623E-010,False,False,
-4.657E-010,-2.328E-010,0.000E+000,1.421E-014,3.553E-015,9.218E-010,False,False,
-4.657E-010,-1.164E-010,9.313E-010,1.421E-014,1.776E-015,5.513E-010,False,False,
0.000E+000,0.000E+000,9.313E-010,7.105E-015,1.776E-015,1.565E-009,False,False,
4.657E-010,1.164E-010,9.313E-010,1.421E-014,3.553E-015,1.759E-009,False,False,
4.657E-010,1.164E-010,9.313E-010,2.132E-014,1.776E-015,1.424E-009,True,False,
4.657E-010,1.164E-010,1.863E-009,1.421E-014,5.329E-015,1.768E-009,True,False,
-4.657E-010,-1.164E-010,9.313E-010,2.132E-014,3.553E-015,-2.539E-010,True,False,
-4.657E-010,-1.164E-010,9.313E-010,2.132E-014,3.553E-015,1.424E-009,False,False,
0.000E+000,0.000E+000,0.000E+000,7.105E-015,0.000E+000,1.165E-009,False,False,
0.000E+000,0.000E+000,-9.313E-010,7.105E-015,1.776E-015,1.098E-010,True,False,
-4.657E-010,-1.164E-010,0.000E+000,1.421E-014,0.000E+000,8.915E-010,True,False,
0.000E+000,0.000E+000,0.000E+000,7.105E-015,5.329E-015,1.648E-009,True,False,
0.000E+000,-1.164E-010,0.000E+000,7.105E-015,-1.776E-015,9.696E-010,False,False,
4.657E-010,2.328E-010,-1.863E-009,0.000E+000,1.776E-015,-6.866E-010,False,False,
-4.657E-010,-1.164E-010,0.000E+000,2.842E-014,1.776E-015,-3.732E-010,True,False,
9.313E-010,2.328E-010,0.000E+000,7.105E-015,0.000E+000,2.482E-009,True,False,
0.000E+000,0.000E+000,0.000E+000,1.421E-014,3.553E-015,8.824E-010,True,False,
-4.657E-010,-2.328E-010,-9.313E-010,1.421E-014,1.776E-015,1.885E-010,False,False,
-4.657E-010,-1.164E-010,0.000E+000,2.132E-014,3.553E-015,8.170E-010,False,False,
4.657E-010,1.164E-010,0.000E+000,7.105E-015,1.776E-015,-4.289E-011,False,False,
-4.657E-010,-1.164E-010,0.000E+000,7.105E-015,1.776E-015,-1.180E-009,False,False,
