Forward: Transformation from EGBT22_Geoc to ETRS89_DREF91_Geoc.|>Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33.
Reverse: Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to EGBT22_Geoc.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz
-2.794E-009,-6.985E-010,2.794E-009,1.164E-009,9.313E-010,-3.486E-010
-1.397E-009,-3.492E-010,1.863E-009,1.281E-009,0.000E+000,-3.486E-010
-1.397E-009,-3.492E-010,9.313E-010,1.281E-009,-9.313E-010,-3.486E-010
-1.397E-009,-3.492E-010,9.313E-010,1.164E-009,-9.313E-010,-3.486E-010
-1.397E-009,-3.492E-010,9.313E-010,1.281E-009,1.863E-009,-3.486E-010
-9.313E-010,-3.492E-010,2.794E-009,1.222E-009,2.794E-009,5.665E-010
-1.397E-009,-3.492E-010,1.863E-009,1.281E-009,9.313E-010,1.271E-009
-9.313E-010,-2.328E-010,9.313E-010,1.222E-009,-1.863E-009,5.665E-010
1.863E-009,4.657E-010,-9.313E-010,1.164E-009,-2.794E-009,1.271E-009
0.000E+000,0.000E+000,9.313E-010,1.281E-009,0.000E+000,1.271E-009
4.657E-010,0.000E+000,0.000E+000,1.048E-009,9.313E-010,1.116E-009
-4.657E-010,-1.164E-010,9.313E-010,1.222E-009,0.000E+000,1.116E-009
4.657E-010,1.164E-010,0.000E+000,1.164E-009,-9.313E-010,1.116E-009
1.397E-009,4.657E-010,0.000E+000,1.164E-009,-9.313E-010,1.116E-009
4.657E-010,1.164E-010,0.000E+000,1.222E-009,-1.863E-009,1.116E-009
1.397E-009,3.492E-010,0.000E+000,1.281E-009,-9.313E-010,5.552E-010
-4.657E-010,-1.164E-010,1.863E-009,1.281E-009,0.000E+000,5.552E-010
-4.657E-010,-1.164E-010,0.000E+000,1.222E-009,0.000E+000,-1.497E-010
1.397E-009,3.492E-010,0.000E+000,1.164E-009,-1.863E-009,5.552E-010
-4.657E-010,-1.164E-010,9.313E-010,1.281E-009,1.863E-009,5.552E-010
-9.313E-010,-2.328E-010,0.000E+000,1.164E-009,0.000E+000,2.513E-010
4.657E-010,1.164E-010,0.000E+000,1.281E-009,-1.863E-009,2.513E-010
-4.657E-010,-1.164E-010,0.000E+000,1.397E-009,9.313E-010,2.513E-010
0.000E+000,0.000E+000,0.000E+000,1.222E-009,-1.863E-009,2.513E-010
-1.397E-009,-3.492E-010,9.313E-010,1.281E-009,-9.313E-010,2.513E-010
-1.397E-009,-4.657E-010,9.313E-010,1.164E-009,0.000E+000,-5.493E-010
-1.863E-009,-4.657E-010,9.313E-010,1.222E-009,0.000E+000,-5.493E-010
-4.657E-010,-1.164E-010,0.000E+000,1.164E-009,-1.863E-009,-5.493E-010
-4.657E-010,-1.164E-010,0.000E+000,1.106E-009,-1.863E-009,-5.493E-010
-4.657E-010,-1.164E-010,0.000E+000,1.222E-009,-9.313E-010,-5.493E-010
1.397E-009,3.492E-010,-9.313E-010,1.106E-009,-2.794E-009,4.254E-010
1.397E-009,4.657E-010,-9.313E-010,1.281E-009,-2.794E-009,1.130E-009
-1.397E-009,-2.328E-010,9.313E-010,1.222E-009,-9.313E-010,4.254E-010
-1.397E-009,-3.492E-010,9.313E-010,1.164E-009,-1.863E-009,4.254E-010
2.794E-009,6.985E-010,-1.863E-009,1.281E-009,-9.313E-010,4.254E-010
9.313E-010,2.328E-010,9.313E-010,1.164E-009,0.000E+000,5.348E-010
-1.397E-009,-3.492E-010,1.863E-009,1.281E-009,9.313E-010,5.348E-010
0.000E+000,0.000E+000,9.313E-010,1.222E-009,-2.794E-009,5.348E-010
2.328E-009,5.821E-010,-9.313E-010,1.164E-009,-2.794E-009,5.348E-010
0.000E+000,0.000E+000,9.313E-010,1.281E-009,0.000E+000,5.348E-010
4.657E-010,1.164E-010,-9.313E-010,1.164E-009,-9.313E-010,1.872E-010
4.657E-010,1.164E-010,-9.313E-010,1.222E-009,-9.313E-010,1.872E-010
1.397E-009,3.492E-010,-9.313E-010,1.164E-009,-2.794E-009,1.872E-010
0.000E+000,0.000E+000,0.000E+000,1.164E-009,9.313E-010,1.872E-010
0.000E+000,0.000E+000,0.000E+000,1.222E-009,-1.863E-009,1.872E-010
4.657E-010,1.164E-010,0.000E+000,1.281E-009,-9.313E-010,2.538E-011
-1.397E-009,-3.492E-010,9.313E-010,1.281E-009,0.000E+000,2.541E-011
4.657E-010,1.164E-010,0.000E+000,1.222E-009,-9.313E-010,2.538E-011
4.657E-010,1.164E-010,0.000E+000,1.164E-009,-1.863E-009,2.538E-011
-1.397E-009,-2.328E-010,0.000E+000,1.281E-009,1.863E-009,2.538E-011
2.328E-009,5.821E-010,-1.863E-009,1.164E-009,-2.794E-009,6.843E-010
9.313E-010,1.164E-010,0.000E+000,1.281E-009,-1.863E-009,6.843E-010
0.000E+000,0.000E+000,0.000E+000,1.397E-009,9.313E-010,6.843E-010
4.657E-010,1.164E-010,0.000E+000,1.222E-009,-1.863E-009,6.843E-010
-4.657E-010,-1.164E-010,0.000E+000,1.281E-009,-1.863E-009,6.843E-010
-9.313E-010,-2.328E-010,2.794E-009,1.164E-009,0.000E+000,6.763E-010
-9.313E-010,-2.328E-010,2.794E-009,1.222E-009,0.000E+000,6.763E-010
4.657E-010,1.164E-010,9.313E-010,1.164E-009,-1.863E-009,6.763E-010
4.657E-010,1.164E-010,9.313E-010,1.106E-009,-1.863E-009,6.763E-010
4.657E-010,1.164E-010,9.313E-010,1.222E-009,-9.313E-010,6.763E-010
-2.328E-009,-4.657E-010,2.794E-009,1.222E-009,9.313E-010,4.681E-010
-9.313E-010,-2.328E-010,1.863E-009,1.281E-009,2.794E-009,4.681E-010
-9.313E-010,-2.328E-010,9.313E-010,1.281E-009,-9.313E-010,4.681E-010
-2.328E-009,-5.821E-010,2.794E-009,1.222E-009,0.000E+000,4.681E-010
-2.328E-009,-5.821E-010,2.794E-009,1.281E-009,3.725E-009,4.681E-010
4.657E-010,1.164E-010,9.313E-010,1.164E-009,0.000E+000,8.342E-010
-1.863E-009,-4.657E-010,1.863E-009,1.281E-009,9.313E-010,8.342E-010
0.000E+000,0.000E+000,9.313E-010,1.222E-009,-2.794E-009,8.342E-010
1.863E-009,4.657E-010,-9.313E-010,1.164E-009,-2.794E-009,8.342E-010
0.000E+000,0.000E+000,9.313E-010,1.281E-009,0.000E+000,8.342E-010
0.000E+000,0.000E+000,-1.863E-009,1.222E-009,-9.313E-010,-7.665E-010
0.000E+000,0.000E+000,9.313E-010,1.222E-009,0.000E+000,6.431E-010
-2.794E-009,-6.985E-010,0.000E+000,1.164E-009,0.000E+000,-7.665E-010
-4.657E-010,-1.164E-010,-9.313E-010,1.222E-009,9.313E-010,-7.665E-010
-1.397E-009,-3.492E-010,0.000E+000,1.281E-009,0.000E+000,-7.665E-010
0.000E+000,0.000E+000,0.000E+000,1.281E-009,-9.313E-010,-8.955E-010
0.000E+000,0.000E+000,0.000E+000,1.281E-009,-2.794E-009,-8.955E-010
0.000E+000,0.000E+000,0.000E+000,1.222E-009,-9.313E-010,-8.955E-010
0.000E+000,0.000E+000,0.000E+000,1.164E-009,-1.863E-009,-8.955E-010
-1.863E-009,-4.657E-010,0.000E+000,1.281E-009,1.863E-009,-8.955E-010
-4.657E-010,-1.164E-010,0.000E+000,1.164E-009,0.000E+000,1.056E-009
9.313E-010,2.328E-010,0.000E+000,1.281E-009,-1.863E-009,1.056E-009
-4.657E-010,-1.164E-010,0.000E+000,1.222E-009,9.313E-010,3.508E-010
4.657E-010,1.164E-010,0.000E+000,1.222E-009,-1.863E-009,1.056E-009
-9.313E-010,-2.328E-010,9.313E-010,1.281E-009,-9.313E-010,1.056E-009
-4.657E-010,-1.164E-010,2.794E-009,1.164E-009,0.000E+000,7.505E-010
-4.657E-010,-1.164E-010,2.794E-009,1.222E-009,0.000E+000,7.506E-010
9.313E-010,2.328E-010,9.313E-010,1.222E-009,0.000E+000,7.505E-010
9.313E-010,2.328E-010,9.313E-010,1.106E-009,-1.863E-009,7.505E-010
4.657E-010,1.164E-010,9.313E-010,1.106E-009,-9.313E-010,7.505E-010
-2.794E-009,-9.313E-010,2.794E-009,1.048E-009,9.313E-010,2.199E-010
-9.313E-010,-3.492E-010,1.863E-009,1.281E-009,2.794E-009,2.199E-010
-1.397E-009,-3.492E-010,9.313E-010,1.281E-009,-9.313E-010,2.199E-010
-2.794E-009,-6.985E-010,2.794E-009,1.222E-009,0.000E+000,2.199E-010
-2.794E-009,-6.985E-010,2.794E-009,1.281E-009,3.725E-009,2.199E-010
