Forward: Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to DB_Ref_Geoc.|>Conversion from DB_Ref_Geoc to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.
Reverse: Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_Geoc.|>Transformation from DB_Ref_Geoc to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz,isInsideBBox,isInsideHeightRange,srcPPM
1.946E-010,-9.993E-010,-3.298E-005,0.000E+000,-1.863E-009,6.195E-010,False,False,
1.951E-010,-9.989E-010,-3.302E-005,0.000E+000,-9.313E-010,7.677E-010,False,False,
1.955E-010,-9.984E-010,-3.306E-005,0.000E+000,1.863E-009,4.670E-010,False,False,
1.959E-010,-9.979E-010,-3.310E-005,0.000E+000,-3.725E-009,1.221E-009,False,False,
1.964E-010,-9.975E-010,-3.314E-005,0.000E+000,0.000E+000,1.765E-009,False,False,
1.952E-010,-1.001E-009,-3.295E-005,0.000E+000,0.000E+000,1.163E-009,False,False,
1.956E-010,-1.001E-009,-3.299E-005,0.000E+000,1.863E-009,1.192E-009,True,False,
1.960E-010,-1.001E-009,-3.302E-005,0.000E+000,-1.863E-009,-4.119E-010,True,False,
1.965E-010,-1.000E-009,-3.306E-005,0.000E+000,0.000E+000,-2.321E-010,True,False,
1.969E-010,-9.996E-010,-3.310E-005,0.000E+000,-9.313E-010,2.102E-009,False,False,
1.956E-010,-1.004E-009,-3.291E-005,9.313E-010,-2.794E-009,-3.615E-010,False,False,
1.961E-010,-1.003E-009,-3.295E-005,0.000E+000,-1.863E-009,-1.798E-009,True,False,
1.965E-010,-1.003E-009,-3.298E-005,9.313E-010,-9.313E-010,1.079E-009,True,False,
1.969E-010,-1.002E-009,-3.302E-005,0.000E+000,-9.313E-010,2.726E-009,True,False,
1.973E-010,-1.002E-009,-3.307E-005,0.000E+000,-9.313E-010,1.651E-009,False,False,
