Forward: Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_CZ_Geoc.|>Conversion from ETRS89_CZ_Geoc to ETRS89_CZ_Geod.
Reverse: Conversion from ETRS89_CZ_Geod to ETRS89_CZ_Geoc.|>Transformation from ETRS89_CZ_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz,isInsideBBox,isInsideHeightRange,srcPPM
0.000E+000,-1.776E-015,1.802E-009,-7.105E-015,1.776E-015,5.086E-009,False,False,
7.105E-015,0.000E+000,9.249E-010,1.421E-014,3.553E-015,5.623E-010,False,False,
7.105E-015,0.000E+000,-1.791E-010,1.421E-014,3.553E-015,9.218E-010,False,False,
7.105E-015,1.776E-015,-1.252E-010,7.105E-015,1.776E-015,1.256E-009,False,False,
7.105E-015,0.000E+000,1.791E-009,7.105E-015,-1.776E-015,1.565E-009,False,False,
7.105E-015,0.000E+000,1.880E-009,7.105E-015,5.329E-015,1.759E-009,False,False,
-1.421E-014,0.000E+000,1.713E-009,7.105E-015,1.776E-015,2.129E-009,True,False,
0.000E+000,0.000E+000,1.101E-010,-7.105E-015,3.553E-015,-3.462E-010,True,False,
1.421E-014,0.000E+000,6.220E-010,2.132E-014,3.553E-015,-9.587E-010,True,False,
7.105E-015,0.000E+000,1.109E-009,2.132E-014,3.553E-015,7.193E-010,False,False,
7.105E-015,1.776E-015,9.589E-011,7.105E-015,1.776E-015,2.575E-009,False,False,
7.105E-015,0.000E+000,-7.970E-010,-7.105E-015,1.776E-015,-1.300E-009,True,False,
7.105E-015,0.000E+000,-2.802E-010,1.421E-014,5.329E-015,8.916E-010,True,False,
1.421E-014,0.000E+000,-9.464E-010,1.421E-014,5.329E-015,3.058E-009,True,False,
2.132E-014,0.000E+000,-1.961E-012,1.421E-014,-1.776E-015,1.674E-009,False,False,
-1.421E-014,1.776E-015,-1.249E-009,0.000E+000,0.000E+000,-6.866E-010,False,False,
0.000E+000,0.000E+000,-5.006E-010,7.105E-015,0.000E+000,3.316E-010,True,False,
-7.105E-015,-1.776E-015,9.525E-010,0.000E+000,0.000E+000,4.597E-009,True,False,
-7.105E-015,0.000E+000,9.453E-010,0.000E+000,3.553E-015,1.776E-010,True,False,
7.105E-015,1.776E-015,1.668E-009,2.132E-014,3.553E-015,1.598E-009,False,False,
0.000E+000,1.776E-015,8.992E-010,1.421E-014,3.553E-015,1.522E-009,False,False,
0.000E+000,0.000E+000,9.223E-010,7.105E-015,3.553E-015,-4.287E-011,False,False,
0.000E+000,0.000E+000,4.670E-010,-7.105E-015,0.000E+000,-4.751E-010,False,False,
-7.105E-015,-3.553E-015,4.647E-010,-7.105E-015,0.000E+000,2.251E-010,False,False,
0.000E+000,-1.776E-015,-7.207E-010,0.000E+000,0.000E+000,1.952E-010,False,False,
1.421E-014,0.000E+000,5.761E-010,1.421E-014,-1.776E-015,5.183E-010,False,False,
