Forward: Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_DREF91_Geoc.|>Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.
Reverse: Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz
0.000E+000,0.000E+000,1.098E-009,-7.105E-015,1.776E-015,1.766E-009
7.105E-015,0.000E+000,9.249E-010,0.000E+000,1.776E-015,-3.486E-010
7.105E-015,0.000E+000,-1.791E-010,0.000E+000,0.000E+000,-3.486E-010
0.000E+000,1.776E-015,-1.252E-010,-7.105E-015,0.000E+000,3.562E-010
7.105E-015,-1.776E-015,-3.231E-010,0.000E+000,-3.553E-015,-3.486E-010
7.105E-015,0.000E+000,-2.340E-010,7.105E-015,1.776E-015,1.271E-009
7.105E-015,0.000E+000,3.827E-009,0.000E+000,0.000E+000,3.386E-009
7.105E-015,0.000E+000,2.225E-009,7.105E-015,0.000E+000,5.665E-010
1.421E-014,0.000E+000,1.327E-009,7.105E-015,0.000E+000,5.665E-010
2.132E-014,0.000E+000,1.109E-009,2.132E-014,0.000E+000,5.665E-010
7.105E-015,1.776E-015,9.589E-011,7.105E-015,1.776E-015,1.820E-009
7.105E-015,1.776E-015,-7.970E-010,-1.421E-014,1.776E-015,-9.989E-010
7.105E-015,0.000E+000,-2.801E-010,1.421E-014,5.329E-015,1.116E-009
1.421E-014,0.000E+000,-9.464E-010,7.105E-015,-1.776E-015,3.230E-009
7.105E-015,0.000E+000,-1.961E-012,7.105E-015,-1.776E-015,1.820E-009
-7.105E-015,0.000E+000,8.656E-010,0.000E+000,-1.776E-015,5.552E-010
0.000E+000,0.000E+000,9.091E-010,-7.105E-015,0.000E+000,1.260E-009
0.000E+000,0.000E+000,1.657E-009,-7.105E-015,1.776E-015,2.670E-009
-1.421E-014,0.000E+000,2.405E-010,-2.132E-014,0.000E+000,-8.545E-010
1.421E-014,1.776E-015,1.668E-009,7.105E-015,1.776E-015,1.965E-009
0.000E+000,0.000E+000,8.992E-010,-1.421E-014,-1.776E-015,9.561E-010
-7.105E-015,-1.776E-015,1.627E-009,-1.421E-014,1.776E-015,9.561E-010
0.000E+000,0.000E+000,1.877E-009,-1.421E-014,0.000E+000,9.561E-010
0.000E+000,-1.776E-015,1.170E-009,-1.421E-014,0.000E+000,-4.535E-010
7.105E-015,0.000E+000,-7.207E-010,0.000E+000,1.776E-015,-1.158E-009
1.421E-014,1.776E-015,-1.288E-010,0.000E+000,-1.776E-015,8.603E-010
0.000E+000,0.000E+000,-3.527E-010,-7.105E-015,-1.776E-015,-5.493E-010
7.105E-015,0.000E+000,-9.821E-011,0.000E+000,0.000E+000,8.603E-010
-7.105E-015,1.776E-015,-8.258E-010,-1.421E-014,-1.776E-015,-5.493E-010
7.105E-015,0.000E+000,5.612E-010,0.000E+000,1.776E-015,-5.493E-010
-7.105E-015,-1.776E-015,8.962E-010,-7.105E-015,-1.776E-015,1.130E-009
0.000E+000,0.000E+000,5.133E-010,-7.105E-015,1.776E-015,-2.795E-010
0.000E+000,0.000E+000,8.353E-010,-2.132E-014,1.776E-015,4.254E-010
0.000E+000,0.000E+000,-5.042E-010,-7.105E-015,-1.776E-015,4.254E-010
0.000E+000,0.000E+000,2.455E-010,0.000E+000,0.000E+000,-2.795E-010
7.105E-015,0.000E+000,7.294E-010,7.105E-015,-1.776E-015,5.348E-010
7.105E-015,0.000E+000,3.515E-010,0.000E+000,1.776E-015,1.240E-009
