Forward: Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_DREF91_Geoc.|>Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33.
Reverse: Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz
-1.421E-014,0.000E+000,3.928E-010,1.281E-009,-2.794E-009,1.766E-009
2.132E-014,0.000E+000,1.630E-009,1.281E-009,0.000E+000,-3.486E-010
2.132E-014,-1.776E-015,-1.791E-010,1.164E-009,-9.313E-010,-3.486E-010
1.421E-014,1.776E-015,5.796E-010,1.164E-009,-1.863E-009,3.562E-010
7.105E-015,-1.776E-015,3.817E-010,1.048E-009,1.863E-009,-3.486E-010
1.421E-014,0.000E+000,1.880E-009,1.339E-009,0.000E+000,1.271E-009
2.132E-014,-1.776E-015,3.122E-009,1.106E-009,9.313E-010,3.386E-009
7.105E-015,0.000E+000,2.225E-009,1.106E-009,-2.794E-009,5.665E-010
-1.421E-014,0.000E+000,1.327E-009,1.164E-009,-2.794E-009,5.665E-010
2.132E-014,0.000E+000,3.223E-009,1.339E-009,1.863E-009,5.665E-010
7.105E-015,1.776E-015,9.589E-011,1.339E-009,9.313E-010,1.820E-009
1.421E-014,3.553E-015,-7.970E-010,1.222E-009,-9.313E-010,-9.989E-010
2.132E-014,0.000E+000,-2.801E-010,1.397E-009,0.000E+000,1.116E-009
-1.421E-014,0.000E+000,4.632E-010,1.048E-009,-9.313E-010,3.230E-009
7.105E-015,0.000E+000,-1.961E-012,1.106E-009,-1.863E-009,1.820E-009
-7.105E-015,0.000E+000,8.656E-010,1.164E-009,-9.313E-010,5.552E-010
0.000E+000,0.000E+000,9.091E-010,1.106E-009,-2.794E-009,1.260E-009
0.000E+000,0.000E+000,1.657E-009,1.222E-009,-9.313E-010,2.670E-009
0.000E+000,0.000E+000,1.650E-009,1.164E-009,-3.725E-009,-8.545E-010
2.132E-014,1.776E-015,1.668E-009,1.397E-009,1.863E-009,1.965E-009
0.000E+000,0.000E+000,8.992E-010,9.895E-010,-4.657E-009,9.561E-010
7.105E-015,-1.776E-015,1.627E-009,1.222E-009,-2.794E-009,9.561E-010
0.000E+000,1.776E-015,1.172E-009,1.164E-009,-1.863E-009,9.561E-010
-2.842E-014,-3.553E-015,1.170E-009,1.164E-009,-4.657E-009,-4.535E-010
7.105E-015,0.000E+000,6.889E-010,1.397E-009,-1.863E-009,-1.158E-009
3.553E-014,1.776E-015,-1.288E-010,1.048E-009,0.000E+000,8.603E-010
0.000E+000,0.000E+000,-3.527E-010,9.895E-010,-3.725E-009,-5.493E-010
7.105E-015,0.000E+000,-9.821E-011,1.048E-009,-1.863E-009,8.603E-010
-2.132E-014,1.776E-015,-8.258E-010,9.895E-010,-4.657E-009,-5.493E-010
7.105E-015,0.000E+000,5.612E-010,1.397E-009,-9.313E-010,-5.493E-010
-7.105E-015,-5.329E-015,1.914E-010,9.313E-010,-2.794E-009,1.130E-009
-7.105E-015,0.000E+000,1.218E-009,1.281E-009,-2.794E-009,-2.795E-010
0.000E+000,0.000E+000,8.353E-010,1.222E-009,-3.725E-009,4.254E-010
1.421E-014,-3.553E-015,-5.042E-010,9.895E-010,-1.863E-009,4.254E-010
1.421E-014,0.000E+000,2.455E-010,1.281E-009,1.863E-009,-2.795E-010
7.105E-015,0.000E+000,1.434E-009,1.106E-009,0.000E+000,5.348E-010
3.553E-014,0.000E+000,-1.058E-009,1.281E-009,9.313E-010,1.240E-009
7.105E-015,1.776E-015,2.001E-010,1.222E-009,-3.725E-009,2.649E-009
-1.421E-014,-1.776E-015,4.764E-010,1.048E-009,-2.794E-009,1.240E-009
7.105E-015,0.000E+000,1.684E-009,1.164E-009,0.000E+000,5.348E-010
0.000E+000,1.776E-015,-4.596E-010,1.339E-009,-9.313E-010,-1.222E-009
7.105E-015,0.000E+000,5.518E-010,1.164E-009,0.000E+000,-1.222E-009
7.105E-015,0.000E+000,6.319E-010,1.164E-009,-9.313E-010,2.302E-009
0.000E+000,0.000E+000,6.613E-010,1.048E-009,-9.313E-010,8.920E-010
1.421E-014,0.000E+000,1.395E-009,1.222E-009,-1.863E-009,8.920E-010
0.000E+000,0.000E+000,1.120E-010,1.281E-009,-9.313E-010,2.541E-011
7.105E-015,0.000E+000,-5.332E-010,1.106E-009,-2.794E-009,-1.384E-009
0.000E+000,1.776E-015,1.389E-009,1.339E-009,-9.313E-010,-1.384E-009
7.105E-015,0.000E+000,-2.128E-010,1.164E-009,-1.863E-009,2.541E-011
2.132E-014,1.776E-015,-6.568E-010,1.281E-009,1.863E-009,1.435E-009
7.105E-015,1.776E-015,7.816E-012,1.164E-009,0.000E+000,-2.061E-011
-7.105E-015,-1.776E-015,1.256E-009,1.281E-009,-1.863E-009,2.799E-009
1.421E-014,0.000E+000,-1.402E-010,1.397E-009,0.000E+000,-2.058E-011
7.105E-015,0.000E+000,-5.793E-010,1.048E-009,-1.863E-009,1.389E-009
1.421E-014,0.000E+000,3.658E-010,1.281E-009,0.000E+000,1.389E-009
2.842E-014,0.000E+000,1.290E-009,1.048E-009,0.000E+000,6.764E-010
3.553E-014,-1.776E-015,1.561E-009,8.731E-010,0.000E+000,1.381E-009
0.000E+000,0.000E+000,1.101E-009,1.164E-009,-1.863E-009,-2.851E-011
7.105E-015,0.000E+000,4.151E-010,1.106E-009,-1.863E-009,6.763E-010
7.105E-015,0.000E+000,1.340E-009,1.455E-009,-9.313E-010,6.763E-010
-1.421E-014,0.000E+000,-7.413E-010,1.048E-009,-2.794E-009,-9.416E-010
-1.421E-014,-1.776E-015,1.485E-009,1.281E-009,-2.794E-009,4.680E-010
1.421E-014,0.000E+000,8.920E-010,1.281E-009,-9.313E-010,4.681E-010
0.000E+000,0.000E+000,9.784E-010,1.281E-009,-2.794E-009,4.681E-010
-1.421E-014,0.000E+000,-3.701E-010,1.281E-009,-9.313E-010,-9.416E-010
1.421E-014,0.000E+000,1.798E-009,1.106E-009,0.000E+000,8.342E-010
7.105E-015,0.000E+000,1.663E-009,1.222E-009,-1.863E-009,8.342E-010
1.421E-014,0.000E+000,-5.870E-010,1.222E-009,-2.794E-009,8.342E-010
-1.421E-014,0.000E+000,-9.994E-010,1.048E-009,-2.794E-009,-5.755E-010
2.132E-014,0.000E+000,2.244E-010,1.397E-009,0.000E+000,-5.755E-010
-1.421E-014,0.000E+000,-1.015E-009,8.731E-010,-2.794E-009,-6.170E-011
0.000E+000,0.000E+000,7.176E-010,1.222E-009,-9.313E-010,-6.170E-011
-1.421E-014,-1.776E-015,-2.031E-009,1.164E-009,-2.794E-009,-1.471E-009
7.105E-015,1.776E-015,1.547E-010,1.106E-009,9.313E-010,6.432E-010
7.105E-015,0.000E+000,4.268E-010,1.222E-009,-1.863E-009,6.432E-010
7.105E-015,0.000E+000,6.034E-010,1.572E-009,-9.313E-010,-8.955E-010
7.105E-015,1.776E-015,-1.209E-009,1.281E-009,-2.794E-009,-3.715E-009
-2.842E-014,1.776E-015,-1.133E-009,1.106E-009,-2.794E-009,-1.600E-009
7.105E-015,0.000E+000,-6.040E-010,1.048E-009,-3.725E-009,-1.907E-010
0.000E+000,0.000E+000,-1.006E-010,1.339E-009,-9.313E-010,-8.955E-010
2.842E-014,-1.776E-015,4.899E-010,1.106E-009,2.794E-009,-3.540E-010
0.000E+000,-1.776E-015,-1.341E-010,8.731E-010,-2.794E-009,1.761E-009
0.000E+000,0.000E+000,6.007E-010,1.513E-009,0.000E+000,-3.540E-010
0.000E+000,-1.776E-015,8.826E-010,9.895E-010,-1.863E-009,1.056E-009
1.421E-014,-1.776E-015,6.606E-010,1.164E-009,-9.313E-010,-3.541E-010
2.842E-014,0.000E+000,2.489E-009,1.048E-009,0.000E+000,1.455E-009
2.132E-014,0.000E+000,8.878E-010,1.222E-009,0.000E+000,-6.592E-010
