Forward: Transformation from ETRS89_CZ_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.
Reverse: Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_CZ_Geoc.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz,isInsideBBox,isInsideHeightRange,srcPPM
9.313E-010,3.492E-010,9.313E-010,-1.310E-010,-7.858E-010,-1.017E-009,False,False,
0.000E+000,0.000E+000,9.313E-010,-3.729E-011,-3.383E-010,9.249E-010,False,False,
-9.313E-010,-2.328E-010,1.863E-009,-4.547E-011,-1.506E-009,-1.791E-010,False,False,
4.657E-010,2.328E-010,9.313E-010,-1.000E-010,-3.234E-009,-1.252E-010,False,False,
1.397E-009,3.492E-010,0.000E+000,1.637E-010,-3.125E-009,3.817E-010,False,False,
-1.863E-009,-4.657E-010,-9.313E-010,-1.137E-010,-9.895E-010,-2.348E-009,False,False,
9.313E-010,2.328E-010,-9.313E-010,2.365E-011,-1.419E-009,-1.811E-009,True,False,
4.657E-010,1.164E-010,0.000E+000,-6.730E-011,-1.892E-009,1.101E-010,True,False,
-2.794E-009,-8.149E-010,1.863E-009,-2.037E-010,4.002E-010,-7.876E-010,True,False,
0.000E+000,0.000E+000,0.000E+000,-1.237E-010,-3.209E-009,4.037E-010,False,False,
-1.397E-009,-3.492E-010,9.313E-010,-1.355E-010,-1.732E-009,-2.019E-009,False,False,
-9.313E-010,-1.164E-010,0.000E+000,4.729E-011,-2.830E-009,-7.969E-010,True,False,
-4.657E-010,-1.164E-010,9.313E-010,-2.528E-010,-2.437E-009,-9.850E-010,True,False,
0.000E+000,0.000E+000,0.000E+000,-1.073E-010,-1.775E-009,-2.356E-009,True,False,
-4.657E-010,-1.164E-010,0.000E+000,1.819E-011,-1.266E-009,-2.116E-009,False,False,
-4.657E-010,-1.164E-010,0.000E+000,-3.820E-011,-2.787E-009,-1.249E-009,False,False,
9.313E-010,2.328E-010,-9.313E-010,4.184E-011,-1.739E-009,-1.205E-009,True,False,
-4.657E-010,-1.164E-010,0.000E+000,-2.110E-010,-1.397E-009,-2.572E-009,True,False,
-4.657E-010,-1.164E-010,9.313E-010,-1.492E-010,2.256E-010,9.453E-010,True,False,
9.313E-010,3.492E-010,9.313E-010,-1.055E-010,-3.260E-009,-4.462E-010,False,False,
-1.397E-009,-3.492E-010,0.000E+000,4.184E-011,3.056E-010,-1.920E-009,False,False,
-2.328E-009,-5.821E-010,9.313E-010,-1.910E-010,-1.164E-009,-4.873E-010,False,False,
3.725E-009,9.313E-010,-9.313E-010,-6.912E-011,-2.823E-009,-2.378E-010,False,False,
0.000E+000,-1.164E-010,0.000E+000,-2.019E-010,-1.965E-009,4.647E-010,False,False,
4.657E-010,0.000E+000,-9.313E-010,-1.492E-010,-1.775E-009,-7.207E-010,False,False,
0.000E+000,0.000E+000,0.000E+000,1.364E-011,-2.095E-009,-2.243E-009,False,False,
4.657E-010,1.164E-010,9.313E-010,4.547E-011,-1.979E-009,-3.527E-010,False,False,
4.657E-010,1.164E-010,9.313E-010,-4.911E-011,-1.339E-009,-8.031E-010,False,False,
-4.657E-010,-1.164E-010,0.000E+000,8.185E-011,-9.313E-010,-8.258E-010,False,False,
4.657E-010,1.164E-010,0.000E+000,-1.783E-010,-1.281E-009,-8.485E-010,False,False,
-4.657E-010,-2.328E-010,0.000E+000,-2.210E-010,5.093E-011,-1.218E-009,False,True,
0.000E+000,-1.164E-010,1.863E-009,-1.291E-010,5.020E-010,5.133E-010,False,True,
-9.313E-010,-2.328E-010,0.000E+000,-1.364E-010,7.494E-010,-5.743E-010,False,True,
1.397E-009,3.492E-010,-2.794E-009,-5.093E-011,-3.329E-009,-1.914E-009,False,True,
4.657E-010,0.000E+000,0.000E+000,-1.346E-010,-3.925E-009,2.455E-010,False,True,
-4.657E-010,-2.328E-010,0.000E+000,-8.276E-011,-1.790E-009,-6.802E-010,False,True,
4.657E-010,1.164E-010,0.000E+000,-4.275E-011,-1.994E-009,-1.763E-009,True,True,
9.313E-010,3.492E-010,-1.863E-009,-3.274E-011,-4.555E-009,-3.324E-009,True,True,
-4.657E-010,-1.164E-010,0.000E+000,-3.092E-011,-8.440E-010,-1.638E-009,True,True,
4.657E-010,1.164E-010,9.313E-010,5.093E-011,-2.372E-009,-4.304E-010,False,True,
-9.313E-010,-1.164E-010,9.313E-010,-1.037E-010,-1.113E-009,-4.596E-010,False,True,
4.657E-010,1.164E-010,0.000E+000,-3.274E-011,-2.699E-009,5.518E-010,True,True,
0.000E+000,0.000E+000,9.313E-010,-2.310E-010,-5.100E-009,-2.187E-009,True,True,
-4.657E-010,0.000E+000,-9.313E-010,6.185E-011,-7.130E-010,-1.453E-009,True,True,
1.397E-009,3.492E-010,0.000E+000,-5.093E-011,-1.586E-009,-7.190E-010,False,True,
-1.863E-009,-3.492E-010,1.863E-009,-1.173E-010,8.440E-010,-5.929E-010,False,True,
4.657E-010,1.164E-010,-9.313E-010,6.457E-011,-3.471E-009,-5.332E-010,True,True,
9.313E-010,3.492E-010,9.313E-010,-7.822E-011,-2.423E-009,6.842E-010,True,True,
1.397E-009,3.492E-010,-9.313E-010,-1.164E-010,-8.004E-010,-9.176E-010,True,True,
-1.863E-009,-4.657E-010,0.000E+000,-8.367E-011,-3.347E-009,-2.771E-009,False,True,
-9.313E-010,-2.328E-010,9.313E-010,-6.366E-011,-4.366E-011,7.126E-010,False,True,
-1.863E-009,-5.821E-010,9.313E-010,-4.547E-011,6.112E-010,-2.269E-009,False,True,
9.313E-010,1.164E-010,9.313E-010,-1.583E-010,-6.112E-010,-1.402E-010,False,True,
4.657E-010,0.000E+000,9.313E-010,-6.730E-011,1.892E-009,-1.284E-009,False,True,
-1.397E-009,-4.657E-010,1.863E-009,-1.382E-010,2.183E-010,-1.044E-009,False,True,
1.397E-009,3.492E-010,-9.313E-010,-7.731E-011,-1.965E-009,-1.529E-009,False,True,
-1.863E-009,-3.492E-010,1.863E-009,1.901E-010,1.455E-011,-1.259E-009,False,True,
4.657E-010,0.000E+000,0.000E+000,-1.401E-010,-3.289E-009,3.963E-010,False,True,
-4.657E-010,-1.164E-010,0.000E+000,-1.819E-011,-1.717E-009,-9.946E-010,False,True,
9.313E-010,2.328E-010,-9.313E-010,-1.564E-010,-3.245E-009,-7.747E-010,False,True,
1.863E-009,3.492E-010,0.000E+000,-6.366E-011,-2.619E-010,6.684E-010,False,True,
-9.313E-010,-3.492E-010,0.000E+000,-1.928E-010,6.294E-010,7.537E-011,False,True,
9.313E-010,2.328E-010,0.000E+000,-8.731E-011,-7.567E-010,-5.177E-010,False,True,
2.328E-009,5.821E-010,-9.313E-010,-1.310E-010,-1.419E-010,2.736E-010,False,True,
-4.657E-010,-1.164E-010,9.313E-010,-2.001E-010,4.147E-010,-3.701E-010,False,True,
-4.657E-010,-1.164E-010,0.000E+000,6.912E-011,-1.171E-009,-3.169E-010,False,True,
9.313E-010,3.492E-010,0.000E+000,-1.319E-010,-1.382E-009,2.528E-010,True,True,
-4.657E-010,0.000E+000,0.000E+000,-1.237E-010,-4.366E-010,-1.997E-009,True,True,
0.000E+000,-1.164E-010,0.000E+000,3.638E-012,-2.328E-010,-2.945E-010,True,True,
-4.657E-010,-1.164E-010,0.000E+000,-1.419E-010,-1.754E-009,9.292E-010,False,True,
-4.657E-010,-1.164E-010,9.313E-010,1.601E-010,-2.765E-010,-1.015E-009,False,True,
1.863E-009,4.657E-010,-9.313E-010,-1.237E-010,-3.725E-009,1.279E-011,True,True,
9.313E-010,1.164E-010,0.000E+000,-1.837E-010,-2.139E-009,8.373E-011,True,True,
1.397E-009,3.492E-010,9.313E-010,8.367E-011,-2.889E-009,-5.502E-010,True,True,
9.313E-010,1.164E-010,9.313E-010,-1.455E-010,-7.421E-010,-2.781E-010,False,True,
-4.657E-010,0.000E+000,0.000E+000,-2.046E-010,-6.257E-010,-8.063E-010,False,True,
0.000E+000,-1.164E-010,0.000E+000,-1.373E-010,-9.895E-010,9.057E-010,True,True,
4.191E-009,9.313E-010,-1.863E-009,6.730E-011,-5.755E-009,9.816E-010,True,True,
-4.657E-010,-1.164E-010,1.863E-009,3.274E-011,-1.819E-010,-1.309E-009,True,True,
1.397E-009,3.492E-010,-1.863E-009,-1.637E-010,-2.023E-009,-1.510E-009,False,True,
