Forward: Transformation from ETRS89_CZ_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.
Reverse: Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_CZ_Geoc.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz,isInsideBBox,isInsideHeightRange,srcPPM
9.313E-010,3.492E-010,9.313E-010,0.000E+000,-3.553E-015,-1.017E-009,False,False,
9.313E-010,2.328E-010,9.313E-010,-7.105E-015,-1.776E-015,9.249E-010,False,False,
4.657E-010,1.164E-010,9.313E-010,0.000E+000,0.000E+000,-1.791E-010,False,False,
4.657E-010,2.328E-010,9.313E-010,0.000E+000,0.000E+000,-1.252E-010,False,False,
4.657E-010,1.164E-010,9.313E-010,-1.421E-014,1.776E-015,3.817E-010,False,False,
-9.313E-010,-2.328E-010,-9.313E-010,0.000E+000,-3.553E-015,-2.348E-009,False,False,
0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,-1.811E-009,True,False,
4.657E-010,1.164E-010,0.000E+000,0.000E+000,0.000E+000,1.101E-010,True,False,
-4.657E-010,-1.164E-010,0.000E+000,0.000E+000,-1.776E-015,-7.876E-010,True,False,
0.000E+000,0.000E+000,0.000E+000,-1.421E-014,-1.776E-015,4.037E-010,False,False,
-4.657E-010,-1.164E-010,0.000E+000,0.000E+000,-1.776E-015,-2.019E-009,False,False,
-9.313E-010,-1.164E-010,0.000E+000,2.132E-014,1.776E-015,-7.969E-010,True,False,
-4.657E-010,-1.164E-010,9.313E-010,7.105E-015,-3.553E-015,-9.850E-010,True,False,
0.000E+000,0.000E+000,0.000E+000,0.000E+000,-1.776E-015,-2.356E-009,True,False,
-9.313E-010,-1.164E-010,9.313E-010,7.105E-015,0.000E+000,-2.116E-009,False,False,
-4.657E-010,-1.164E-010,0.000E+000,0.000E+000,0.000E+000,-1.249E-009,False,False,
4.657E-010,1.164E-010,-9.313E-010,0.000E+000,0.000E+000,-1.205E-009,True,False,
-4.657E-010,-1.164E-010,0.000E+000,0.000E+000,-1.776E-015,-2.572E-009,True,False,
-4.657E-010,-1.164E-010,9.313E-010,7.105E-015,-1.776E-015,9.453E-010,True,False,
9.313E-010,3.492E-010,9.313E-010,-7.105E-015,-1.776E-015,-4.462E-010,False,False,
0.000E+000,0.000E+000,-9.313E-010,0.000E+000,0.000E+000,-1.920E-009,False,False,
0.000E+000,0.000E+000,0.000E+000,0.000E+000,-3.553E-015,-4.873E-010,False,False,
1.397E-009,3.492E-010,9.313E-010,0.000E+000,0.000E+000,-2.378E-010,False,False,
0.000E+000,-1.164E-010,0.000E+000,7.105E-015,-3.553E-015,4.647E-010,False,False,
