Forward: Conversion from ETRS89_CZ_Geoc to ETRS89_CZ_Geod.
Reverse: Conversion from ETRS89_CZ_Geod to ETRS89_CZ_Geoc.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz,isInsideBBox,isInsideHeightRange,srcPPM
0.000E+000,0.000E+000,9.313E-010,-7.105E-015,0.000E+000,2.267E-009,False,False,
4.657E-010,0.000E+000,0.000E+000,7.105E-015,0.000E+000,5.623E-010,False,False,
4.657E-010,1.164E-010,-9.313E-010,7.105E-015,3.553E-015,2.170E-010,False,False,
4.657E-010,0.000E+000,9.313E-010,7.105E-015,0.000E+000,5.513E-010,False,False,
0.000E+000,0.000E+000,-9.313E-010,0.000E+000,0.000E+000,1.554E-010,False,False,
4.657E-010,1.164E-010,0.000E+000,0.000E+000,1.776E-015,-3.550E-010,False,False,
4.657E-010,2.328E-010,9.313E-010,1.421E-014,1.776E-015,7.192E-010,True,False,
0.000E+000,0.000E+000,0.000E+000,0.000E+000,3.553E-015,-3.462E-010,True,False,
-9.313E-010,-2.328E-010,9.313E-010,2.132E-014,1.776E-015,-9.587E-010,True,False,
4.657E-010,1.164E-010,9.313E-010,7.105E-015,1.776E-015,7.193E-010,False,False,
4.657E-010,-1.164E-010,-9.313E-010,0.000E+000,-1.776E-015,4.605E-010,False,False,
-4.657E-010,-1.164E-010,0.000E+000,7.105E-015,0.000E+000,-1.300E-009,True,False,
-1.397E-009,-4.657E-010,-9.313E-010,7.105E-015,-1.776E-015,-5.181E-010,True,False,
4.657E-010,1.164E-010,-9.313E-010,0.000E+000,3.553E-015,2.384E-010,True,False,
4.657E-010,1.164E-010,0.000E+000,0.000E+000,-1.776E-015,-4.400E-010,False,False,
0.000E+000,1.164E-010,-9.313E-010,0.000E+000,0.000E+000,-2.096E-009,False,False,
-4.657E-010,-1.164E-010,0.000E+000,2.132E-014,0.000E+000,-3.732E-010,True,False,
9.313E-010,2.328E-010,9.313E-010,7.105E-015,-1.776E-015,2.482E-009,True,False,
9.313E-010,2.328E-010,0.000E+000,7.105E-015,1.776E-015,8.824E-010,True,False,
-4.657E-010,-1.164E-010,0.000E+000,1.421E-014,1.776E-015,1.885E-010,False,False,
-9.313E-010,-1.164E-010,-9.313E-010,1.421E-014,3.553E-015,-5.926E-010,False,False,
-4.657E-010,-1.164E-010,9.313E-010,7.105E-015,-1.776E-015,-7.477E-010,False,False,
-9.313E-010,-2.328E-010,-9.313E-010,0.000E+000,0.000E+000,-2.590E-009,False,False,
-9.313E-010,-1.164E-010,0.000E+000,0.000E+000,0.000E+000,-4.797E-010,False,False,
0.000E+000,0.000E+000,0.000E+000,-7.105E-015,-1.776E-015,1.952E-010,False,False,
-4.657E-010,-1.164E-010,0.000E+000,1.421E-014,0.000E+000,-1.596E-009,False,False,
4.657E-010,1.164E-010,-9.313E-010,-7.105E-015,-1.776E-015,-1.087E-009,False,False,
4.657E-010,0.000E+000,0.000E+000,0.000E+000,0.000E+000,3.276E-010,False,False,
9.313E-010,2.328E-010,0.000E+000,0.000E+000,1.776E-015,3.075E-010,False,False,
-9.313E-010,-2.328E-010,0.000E+000,1.421E-014,1.776E-015,-1.374E-009,False,False,
-4.657E-010,0.000E+000,0.000E+000,0.000E+000,1.776E-015,-1.452E-009,False,True,
-4.657E-010,-1.164E-010,9.313E-010,7.105E-015,0.000E+000,-5.565E-010,False,True,
0.000E+000,1.164E-010,9.313E-010,7.105E-015,1.776E-015,-3.909E-010,False,True,
0.000E+000,0.000E+000,-9.313E-010,7.105E-015,-1.776E-015,-1.434E-009,False,True,
-9.313E-010,-1.164E-010,0.000E+000,7.105E-015,1.776E-015,6.560E-011,False,True,
-9.313E-010,-2.328E-010,9.313E-010,7.105E-015,-1.776E-015,-4.856E-010,False,True,
-4.657E-010,-1.164E-010,1.863E-009,2.132E-014,1.776E-015,8.478E-010,True,True,
0.000E+000,0.000E+000,-9.313E-010,0.000E+000,0.000E+000,-8.899E-010,True,True,
0.000E+000,0.000E+000,0.000E+000,7.105E-015,0.000E+000,-5.386E-010,True,True,
-4.657E-010,-1.164E-010,0.000E+000,7.105E-015,0.000E+000,2.405E-010,False,True,
-9.313E-010,-2.328E-010,-9.313E-010,0.000E+000,1.776E-015,-1.559E-009,False,True,
0.000E+000,0.000E+000,-9.313E-010,7.105E-015,1.776E-015,-7.197E-010,True,True,
4.657E-010,1.164E-010,9.313E-010,7.105E-015,0.000E+000,-1.319E-010,True,True,
-4.657E-010,-2.328E-010,-9.313E-010,7.105E-015,1.776E-015,-1.684E-009,True,True,
-4.657E-010,-1.164E-010,0.000E+000,7.105E-015,0.000E+000,2.375E-010,False,True,
0.000E+000,0.000E+000,9.313E-010,7.105E-015,0.000E+000,-2.805E-011,False,True,
0.000E+000,1.164E-010,0.000E+000,0.000E+000,1.776E-015,9.129E-011,True,True,
0.000E+000,0.000E+000,0.000E+000,7.105E-015,0.000E+000,-2.931E-010,True,True,
0.000E+000,1.164E-010,0.000E+000,7.105E-015,1.776E-015,-2.245E-010,True,True,
-4.657E-010,-1.164E-010,0.000E+000,7.105E-015,0.000E+000,-1.364E-009,False,True,
-9.313E-010,-2.328E-010,-9.313E-010,7.105E-015,0.000E+000,-2.984E-009,False,True,
1.397E-009,3.492E-010,9.313E-010,0.000E+000,1.776E-015,1.550E-009,False,True,
0.000E+000,0.000E+000,0.000E+000,7.105E-015,1.776E-015,-2.123E-009,False,True,
-4.657E-010,-1.164E-010,0.000E+000,0.000E+000,1.776E-015,1.961E-011,False,True,
0.000E+000,0.000E+000,0.000E+000,1.421E-014,1.776E-015,-1.136E-009,False,True,
-4.657E-010,-2.328E-010,-9.313E-010,7.105E-015,-1.776E-015,-2.358E-010,False,True,
0.000E+000,2.328E-010,-9.313E-010,0.000E+000,3.553E-015,-1.784E-009,False,True,
4.657E-010,1.164E-010,0.000E+000,0.000E+000,-1.776E-015,1.753E-009,False,True,
4.657E-010,1.164E-010,9.313E-010,7.105E-015,1.776E-015,-3.245E-010,False,True,
4.657E-010,1.164E-010,-9.313E-010,0.000E+000,-1.776E-015,-1.043E-009,False,True,
0.000E+000,0.000E+000,9.313E-010,1.421E-014,-1.776E-015,-6.261E-011,False,True,
0.000E+000,-1.164E-010,0.000E+000,7.105E-015,1.776E-015,8.658E-010,False,True,
0.000E+000,0.000E+000,-9.313E-010,7.105E-015,1.776E-015,3.593E-010,False,True,
1.397E-009,3.492E-010,0.000E+000,7.105E-015,-1.776E-015,1.463E-009,False,True,
4.657E-010,1.164E-010,0.000E+000,7.105E-015,-3.553E-015,6.543E-010,False,True,
-1.397E-009,-4.657E-010,0.000E+000,1.421E-014,0.000E+000,1.682E-010,False,True,
0.000E+000,0.000E+000,0.000E+000,7.105E-015,-1.776E-015,3.764E-010,True,True,
-4.657E-010,1.164E-010,9.313E-010,7.105E-015,1.776E-015,-6.240E-010,True,True,
-9.313E-010,-2.328E-010,-9.313E-010,7.105E-015,0.000E+000,-4.920E-010,True,True,
-4.657E-010,-1.164E-010,-9.313E-010,0.000E+000,0.000E+000,-1.770E-009,False,True,
4.657E-010,1.164E-010,0.000E+000,-7.105E-015,0.000E+000,-5.584E-010,False,True,
0.000E+000,0.000E+000,0.000E+000,0.000E+000,-1.776E-015,1.245E-009,True,True,
0.000E+000,0.000E+000,-9.313E-010,0.000E+000,0.000E+000,-1.180E-009,True,True,
-4.657E-010,0.000E+000,-9.313E-010,0.000E+000,3.553E-015,1.277E-009,True,True,
0.000E+000,0.000E+000,0.000E+000,1.421E-014,0.000E+000,-1.199E-009,False,True,
4.657E-010,1.164E-010,9.313E-010,7.105E-015,1.776E-015,2.396E-010,False,True,
-4.657E-010,-1.164E-010,0.000E+000,7.105E-015,0.000E+000,-1.245E-009,True,True,
9.313E-010,2.328E-010,9.313E-010,7.105E-015,0.000E+000,-4.135E-010,True,True,
0.000E+000,0.000E+000,0.000E+000,1.421E-014,0.000E+000,1.072E-009,True,True,
-4.657E-010,-1.164E-010,-9.313E-010,7.105E-015,0.000E+000,-9.672E-010,False,True,
0.000E+000,1.164E-010,9.313E-010,1.421E-014,0.000E+000,-3.024E-010,False,True,
-4.657E-010,-1.164E-010,9.313E-010,7.105E-015,-1.776E-015,1.218E-009,False,True,
0.000E+000,-1.164E-010,9.313E-010,1.421E-014,-1.776E-015,-8.075E-011,False,True,
4.657E-010,2.328E-010,0.000E+000,7.105E-015,3.553E-015,1.162E-009,False,True,
4.657E-010,1.164E-010,1.863E-009,1.421E-014,0.000E+000,2.607E-009,False,True,
-9.313E-010,-2.328E-010,0.000E+000,7.105E-015,0.000E+000,2.251E-010,False,True,
-4.657E-010,-1.164E-010,0.000E+000,1.421E-014,0.000E+000,7.987E-010,False,True,
-1.397E-009,-3.492E-010,-1.863E-009,1.421E-014,0.000E+000,-1.699E-009,False,True,
4.657E-010,1.164E-010,-9.313E-010,7.105E-015,0.000E+000,-1.176E-009,False,True,
4.657E-010,1.164E-010,0.000E+000,7.105E-015,-1.776E-015,-2.089E-009,False,True,
0.000E+000,2.328E-010,9.313E-010,0.000E+000,0.000E+000,1.741E-009,False,True,
4.657E-010,1.164E-010,0.000E+000,7.105E-015,0.000E+000,5.879E-010,False,True,
0.000E+000,1.164E-010,9.313E-010,2.132E-014,-1.776E-015,3.160E-009,False,True,
4.657E-010,0.000E+000,0.000E+000,0.000E+000,0.000E+000,3.193E-010,False,True,
4.657E-010,2.328E-010,9.313E-010,7.105E-015,0.000E+000,2.588E-009,False,True,
0.000E+000,-1.164E-010,9.313E-010,1.421E-014,0.000E+000,1.593E-009,False,True,
0.000E+000,0.000E+000,-9.313E-010,1.421E-014,0.000E+000,-2.805E-010,True,True,
-9.313E-010,-2.328E-010,9.313E-010,1.421E-014,0.000E+000,1.093E-009,True,True,
4.657E-010,0.000E+000,-9.313E-010,0.000E+000,0.000E+000,9.931E-011,True,True,
-2.328E-009,-5.821E-010,0.000E+000,1.421E-014,-1.776E-015,4.649E-010,False,True,
-4.657E-010,-1.164E-010,0.000E+000,1.421E-014,-1.776E-015,6.049E-010,False,True,
0.000E+000,0.000E+000,0.000E+000,1.421E-014,0.000E+000,3.517E-010,True,True,
0.000E+000,0.000E+000,9.313E-010,2.132E-014,1.776E-015,1.457E-009,True,True,
4.657E-010,1.164E-010,9.313E-010,7.105E-015,0.000E+000,6.751E-010,True,True,
9.313E-010,2.328E-010,9.313E-010,7.105E-015,0.000E+000,5.721E-010,False,True,
4.657E-010,1.164E-010,9.313E-010,1.421E-014,1.776E-015,1.260E-009,False,True,
0.000E+000,0.000E+000,0.000E+000,1.421E-014,0.000E+000,-1.123E-009,True,True,
-4.657E-010,-1.164E-010,0.000E+000,7.105E-015,0.000E+000,8.982E-010,True,True,
0.000E+000,0.000E+000,0.000E+000,0.000E+000,-1.776E-015,5.532E-010,True,True,
-9.313E-010,-1.164E-010,-9.313E-010,7.105E-015,0.000E+000,-1.680E-009,False,True,
-4.657E-010,-1.164E-010,0.000E+000,7.105E-015,0.000E+000,-9.942E-010,False,True,
0.000E+000,0.000E+000,9.313E-010,0.000E+000,-1.776E-015,5.586E-010,False,True,
-4.657E-010,0.000E+000,9.313E-010,7.105E-015,0.000E+000,2.234E-010,False,True,
4.657E-010,1.164E-010,0.000E+000,-7.105E-015,-1.776E-015,-1.373E-010,False,True,
-4.657E-010,0.000E+000,0.000E+000,1.421E-014,0.000E+000,4.077E-010,False,True,
0.000E+000,0.000E+000,0.000E+000,7.105E-015,1.776E-015,4.509E-010,False,True,
-9.313E-010,-1.164E-010,0.000E+000,2.842E-014,1.776E-015,3.520E-010,False,True,
-4.657E-010,-1.164E-010,-1.863E-009,0.000E+000,-1.776E-015,-2.508E-010,False,True,
4.657E-010,1.164E-010,0.000E+000,0.000E+000,-3.553E-015,2.167E-009,False,True,
0.000E+000,0.000E+000,0.000E+000,2.842E-014,-1.776E-015,3.550E-010,False,True,
0.000E+000,0.000E+000,-9.313E-010,2.132E-014,1.776E-015,-2.835E-010,False,False,
-4.657E-010,-2.328E-010,-9.313E-010,1.421E-014,0.000E+000,-6.993E-010,False,False,
0.000E+000,0.000E+000,0.000E+000,2.842E-014,0.000E+000,4.954E-010,False,False,
-4.657E-010,-1.164E-010,-9.313E-010,0.000E+000,0.000E+000,2.859E-011,False,False,
9.313E-010,3.492E-010,1.863E-009,1.421E-014,1.776E-015,2.330E-009,False,False,
-4.657E-010,-2.328E-010,0.000E+000,2.132E-014,-1.776E-015,1.182E-009,False,False,
4.657E-010,1.164E-010,0.000E+000,-7.105E-015,-1.776E-015,-1.112E-009,True,False,
1.397E-009,3.492E-010,9.313E-010,1.421E-014,1.776E-015,1.452E-009,True,False,
9.313E-010,2.328E-010,9.313E-010,7.105E-015,0.000E+000,1.422E-009,True,False,
-4.657E-010,-1.164E-010,0.000E+000,7.105E-015,0.000E+000,1.367E-009,False,False,
-4.657E-010,-1.164E-010,0.000E+000,1.421E-014,0.000E+000,5.314E-010,False,False,
4.657E-010,0.000E+000,9.313E-010,1.421E-014,0.000E+000,1.242E-009,True,False,
1.397E-009,2.328E-010,9.313E-010,1.421E-014,0.000E+000,2.380E-009,True,False,
-4.657E-010,-1.164E-010,0.000E+000,2.132E-014,1.776E-015,-5.741E-012,True,False,
4.657E-010,1.164E-010,9.313E-010,7.105E-015,0.000E+000,2.491E-009,False,False,
-4.657E-010,-1.164E-010,0.000E+000,2.132E-014,0.000E+000,1.984E-010,False,False,
0.000E+000,-1.164E-010,-9.313E-010,1.421E-014,1.776E-015,2.278E-009,True,False,
0.000E+000,0.000E+000,0.000E+000,1.421E-014,1.776E-015,-9.851E-011,True,False,
-4.657E-010,-1.164E-010,0.000E+000,7.105E-015,0.000E+000,5.202E-010,True,False,
-9.313E-010,-2.328E-010,0.000E+000,7.105E-015,1.776E-015,1.819E-010,False,False,
0.000E+000,0.000E+000,9.313E-010,1.421E-014,1.776E-015,5.912E-011,False,False,
4.657E-010,1.164E-010,9.313E-010,1.421E-014,-1.776E-015,1.418E-009,False,False,
0.000E+000,1.164E-010,0.000E+000,7.105E-015,1.776E-015,4.101E-010,False,False,
4.657E-010,1.164E-010,-9.313E-010,1.421E-014,0.000E+000,1.013E-009,False,False,
-4.657E-010,0.000E+000,-1.863E-009,1.421E-014,3.553E-015,1.806E-010,False,False,
-4.657E-010,-1.164E-010,9.313E-010,7.105E-015,-1.776E-015,-7.867E-011,False,False,
9.313E-010,1.164E-010,9.313E-010,7.105E-015,-1.776E-015,2.422E-009,False,False,
9.313E-010,2.328E-010,0.000E+000,2.132E-014,1.776E-015,-4.640E-010,False,False,
0.000E+000,0.000E+000,0.000E+000,7.105E-015,-1.776E-015,8.025E-010,False,False,
0.000E+000,0.000E+000,9.313E-010,7.105E-015,-1.776E-015,1.364E-009,False,False,
