Forward: Conversion from ETRS89_CZ_Geod to ETRS89_CZ_Geoc.|>Transformation from ETRS89_CZ_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.
Reverse: Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_CZ_Geoc.|>Conversion from ETRS89_CZ_Geoc to ETRS89_CZ_Geod.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz
0.000E+000,0.000E+000,2.267E-009,-1.264E-010,-7.858E-010,-3.131E-009
1.421E-014,0.000E+000,5.623E-010,-1.664E-010,-3.383E-010,9.249E-010
7.105E-015,0.000E+000,1.627E-009,-2.965E-010,-6.163E-009,-8.839E-010
7.105E-015,1.776E-015,1.256E-009,-1.000E-010,-3.234E-009,-1.252E-010
0.000E+000,1.776E-015,1.565E-009,1.637E-010,-3.125E-009,-3.232E-010
7.105E-015,0.000E+000,-3.550E-010,-2.374E-010,-9.895E-010,-9.389E-010
0.000E+000,0.000E+000,1.424E-009,-1.028E-010,-1.419E-009,-1.811E-009
-7.105E-015,1.776E-015,-3.462E-010,-1.928E-010,-1.892E-009,1.101E-010
4.263E-014,0.000E+000,1.156E-009,-3.311E-010,4.002E-010,2.736E-009
-1.421E-014,0.000E+000,1.447E-011,-2.474E-010,-6.003E-009,4.037E-010
0.000E+000,1.776E-015,-2.443E-010,-1.091E-011,-2.663E-009,-2.019E-009
-7.105E-015,3.553E-015,-2.005E-009,-7.822E-011,-3.762E-009,-7.969E-010
1.421E-014,-1.776E-015,-1.928E-009,-2.528E-010,-5.231E-009,-1.690E-009
7.105E-015,-1.776E-015,-1.171E-009,-3.583E-010,-1.775E-009,-3.766E-009
0.000E+000,0.000E+000,-4.400E-010,1.419E-010,-1.266E-009,-2.116E-009
-7.105E-015,1.776E-015,1.823E-011,8.004E-011,-3.718E-009,1.608E-010
0.000E+000,0.000E+000,1.741E-009,4.184E-011,-1.739E-009,9.091E-010
0.000E+000,0.000E+000,3.678E-010,-8.731E-011,-1.397E-009,-3.981E-009
2.132E-014,0.000E+000,8.824E-010,-2.747E-010,2.256E-010,9.453E-010
7.105E-015,1.776E-015,8.933E-010,-2.292E-010,-4.191E-009,-4.462E-010
2.132E-014,1.776E-015,-1.297E-009,-2.128E-010,3.056E-010,-1.920E-009
2.842E-014,-1.776E-015,2.072E-009,-1.910E-010,-1.164E-009,1.627E-009
-2.842E-014,0.000E+000,2.297E-010,-6.912E-011,-2.823E-009,1.172E-009
7.105E-015,-1.776E-015,1.635E-009,-2.019E-010,8.295E-010,1.170E-009
