Forward: Conversion from ETRS89_CZ_Geod to ETRS89_CZ_Geoc.|>Transformation from ETRS89_CZ_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.
Reverse: Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_CZ_Geoc.|>Conversion from ETRS89_CZ_Geoc to ETRS89_CZ_Geod.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz,isInsideBBox,isInsideHeightRange,srcPPM
7.105E-015,0.000E+000,1.562E-009,7.105E-015,-3.553E-015,-3.131E-009,False,False,
0.000E+000,0.000E+000,1.972E-009,-1.421E-014,-3.553E-015,9.249E-010,False,False,
7.105E-015,0.000E+000,1.627E-009,-1.421E-014,-3.553E-015,-8.839E-010,False,False,
7.105E-015,1.776E-015,1.256E-009,0.000E+000,0.000E+000,-1.252E-010,False,False,
0.000E+000,0.000E+000,1.565E-009,-1.421E-014,1.776E-015,-3.232E-010,False,False,
0.000E+000,0.000E+000,-3.550E-010,0.000E+000,-5.329E-015,-9.389E-010,False,False,
0.000E+000,0.000E+000,1.424E-009,-1.421E-014,-1.776E-015,-1.811E-009,True,False,
-7.105E-015,1.776E-015,-3.462E-010,0.000E+000,-1.776E-015,1.101E-010,True,False,
1.421E-014,0.000E+000,2.565E-009,0.000E+000,-3.553E-015,2.736E-009,True,False,
-7.105E-015,0.000E+000,7.193E-010,-2.132E-014,-3.553E-015,4.037E-010,False,False,
0.000E+000,1.776E-015,-2.443E-010,-7.105E-015,0.000E+000,-2.019E-009,False,False,
7.105E-015,0.000E+000,-2.005E-009,1.421E-014,0.000E+000,-7.969E-010,True,False,
1.421E-014,-1.776E-015,-1.928E-009,-7.105E-015,-3.553E-015,-1.690E-009,True,False,
7.105E-015,-1.776E-015,-1.171E-009,-7.105E-015,-5.329E-015,-3.766E-009,True,False,
0.000E+000,0.000E+000,-4.400E-010,0.000E+000,1.776E-015,-2.116E-009,False,False,
0.000E+000,1.776E-015,1.823E-011,-1.421E-014,1.776E-015,1.608E-010,False,False,
7.105E-015,0.000E+000,1.036E-009,0.000E+000,0.000E+000,9.091E-010,True,False,
0.000E+000,0.000E+000,3.678E-010,0.000E+000,0.000E+000,-3.981E-009,True,False,
7.105E-015,0.000E+000,1.587E-009,-7.105E-015,-3.553E-015,9.453E-010,True,False,
7.105E-015,1.776E-015,8.933E-010,-1.421E-014,-3.553E-015,-4.462E-010,False,False,
7.105E-015,0.000E+000,-5.926E-010,0.000E+000,-3.553E-015,-1.920E-009,False,False,
2.842E-014,-1.776E-015,2.072E-009,7.105E-015,-3.553E-015,1.627E-009,False,False,
-1.421E-014,0.000E+000,2.297E-010,0.000E+000,0.000E+000,1.172E-009,False,False,
7.105E-015,-1.776E-015,1.635E-009,2.132E-014,-3.553E-015,1.170E-009,False,False,
0.000E+000,-3.553E-015,1.952E-010,0.000E+000,-1.776E-015,-7.207E-010,False,False,
0.000E+000,-1.776E-015,-1.596E-009,-7.105E-015,0.000E+000,-1.538E-009,False,False,
0.000E+000,0.000E+000,1.027E-009,0.000E+000,3.553E-015,1.057E-009,False,False,
0.000E+000,-1.776E-015,1.032E-009,0.000E+000,-1.776E-015,-8.030E-010,False,False,
-7.105E-015,1.776E-015,1.012E-009,-7.105E-015,1.776E-015,-1.209E-010,False,False,
