Forward: Conversion from ETRS89_CZ_Geod to ETRS89_CZ_Geoc.
Reverse: Conversion from ETRS89_CZ_Geoc to ETRS89_CZ_Geod.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz,isInsideBBox,isInsideHeightRange,srcPPM
0.000E+000,0.000E+000,1.523E-010,-1.863E-009,-3.492E-010,-9.313E-010,False,False,
-7.105E-015,0.000E+000,5.623E-010,4.657E-010,0.000E+000,-9.313E-010,False,False,
0.000E+000,0.000E+000,2.170E-010,9.313E-010,0.000E+000,-9.313E-010,False,False,
7.105E-015,0.000E+000,5.513E-010,0.000E+000,0.000E+000,0.000E+000,False,False,
0.000E+000,0.000E+000,1.554E-010,0.000E+000,0.000E+000,-9.313E-010,False,False,
0.000E+000,0.000E+000,3.498E-010,4.657E-010,0.000E+000,0.000E+000,False,False,
7.105E-015,0.000E+000,1.441E-011,4.657E-010,0.000E+000,-9.313E-010,True,False,
0.000E+000,1.776E-015,-3.462E-010,0.000E+000,-1.164E-010,0.000E+000,True,False,
0.000E+000,0.000E+000,1.156E-009,1.863E-009,3.492E-010,9.313E-010,True,False,
-7.105E-015,0.000E+000,-6.903E-010,4.657E-010,0.000E+000,-9.313E-010,False,False,
0.000E+000,0.000E+000,-2.443E-010,0.000E+000,1.164E-010,-9.313E-010,False,False,
7.105E-015,0.000E+000,-5.951E-010,9.313E-010,2.328E-010,0.000E+000,True,False,
1.421E-014,0.000E+000,-1.928E-009,-4.657E-010,0.000E+000,-9.313E-010,True,False,
0.000E+000,0.000E+000,2.384E-010,4.657E-010,-1.164E-010,-9.313E-010,True,False,
0.000E+000,-1.776E-015,2.648E-010,4.657E-010,2.328E-010,0.000E+000,False,False,
0.000E+000,1.776E-015,-6.866E-010,9.313E-010,3.492E-010,0.000E+000,False,False,
0.000E+000,0.000E+000,1.036E-009,1.863E-009,4.657E-010,0.000E+000,True,False,
0.000E+000,0.000E+000,3.678E-010,-9.313E-010,-1.164E-010,-9.313E-010,True,False,
-7.105E-015,0.000E+000,8.824E-010,9.313E-010,1.164E-010,-9.313E-010,True,False,
7.105E-015,0.000E+000,-5.163E-010,9.313E-010,1.164E-010,-9.313E-010,False,False,
7.105E-015,0.000E+000,-5.926E-010,4.657E-010,-1.164E-010,-9.313E-010,False,False,
0.000E+000,0.000E+000,-4.286E-011,9.313E-010,2.328E-010,9.313E-010,False,False,
0.000E+000,0.000E+000,-4.751E-010,9.313E-010,2.328E-010,9.313E-010,False,False,
7.105E-015,0.000E+000,2.251E-010,-4.657E-010,-1.164E-010,9.313E-010,False,False,
0.000E+000,-1.776E-015,1.952E-010,-4.657E-010,0.000E+000,0.000E+000,False,False,
7.105E-015,0.000E+000,-8.914E-010,1.863E-009,3.492E-010,0.000E+000,False,False,
7.105E-015,0.000E+000,-3.825E-010,-4.657E-010,0.000E+000,9.313E-010,False,False,
0.000E+000,-1.776E-015,3.276E-010,4.657E-010,0.000E+000,0.000E+000,False,False,
0.000E+000,1.776E-015,3.075E-010,9.313E-010,2.328E-010,0.000E+000,False,False,
0.000E+000,0.000E+000,7.403E-010,1.397E-009,2.328E-010,0.000E+000,False,False,
0.000E+000,1.776E-015,6.622E-010,9.313E-010,2.328E-010,9.313E-010,False,True,
7.105E-015,-1.776E-015,8.531E-010,4.657E-010,0.000E+000,9.313E-010,False,True,
7.105E-015,1.776E-015,-3.909E-010,0.000E+000,0.000E+000,0.000E+000,False,True,
7.105E-015,0.000E+000,-7.289E-010,9.313E-010,3.492E-010,0.000E+000,False,True,
7.105E-015,1.776E-015,6.560E-011,0.000E+000,0.000E+000,0.000E+000,False,True,
7.105E-015,0.000E+000,2.192E-010,4.657E-010,2.328E-010,9.313E-010,False,True,
0.000E+000,0.000E+000,1.430E-010,1.397E-009,2.328E-010,-9.313E-010,True,True,
-7.105E-015,0.000E+000,-1.851E-010,9.313E-010,2.328E-010,0.000E+000,True,True,
0.000E+000,0.000E+000,8.711E-010,9.313E-010,2.328E-010,9.313E-010,True,True,
0.000E+000,-1.776E-015,-1.169E-009,4.657E-010,0.000E+000,-9.313E-010,False,True,
7.105E-015,0.000E+000,-1.497E-010,4.657E-010,0.000E+000,9.313E-010,False,True,
-7.105E-015,-1.776E-015,-1.484E-011,1.397E-009,1.164E-010,-9.313E-010,True,True,
7.105E-015,0.000E+000,1.278E-009,4.657E-010,1.164E-010,9.313E-010,True,True,
0.000E+000,0.000E+000,-9.791E-010,9.313E-010,0.000E+000,0.000E+000,True,True,
7.105E-015,0.000E+000,2.375E-010,0.000E+000,0.000E+000,0.000E+000,False,True,
7.105E-015,0.000E+000,-2.805E-011,4.657E-010,1.164E-010,0.000E+000,False,True,
0.000E+000,1.776E-015,9.129E-011,0.000E+000,0.000E+000,0.000E+000,True,True,
0.000E+000,0.000E+000,-2.931E-010,9.313E-010,2.328E-010,-9.313E-010,True,True,
7.105E-015,1.776E-015,-2.245E-010,0.000E+000,0.000E+000,0.000E+000,True,True,
