Forward: Transformation from ETRS89_DREF91_Geoc to DB_Ref_Geoc.|>Conversion from DB_Ref_Geoc to DB_Ref_Geod.
Reverse: Conversion from DB_Ref_Geod to DB_Ref_Geoc.|>Transformation from DB_Ref_Geoc to ETRS89_DREF91_Geoc.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz,isInsideBBox,isInsideHeightRange,srcPPM
-1.971E-005,-7.767E-005,-1.176E-005,7.105E-015,1.776E-015,-1.495E-009,False,False,
-1.971E-005,-7.767E-005,-1.176E-005,0.000E+000,1.776E-015,7.677E-010,False,False,
-1.971E-005,-7.767E-005,-1.176E-005,0.000E+000,3.553E-015,4.670E-010,False,False,
-1.971E-005,-7.767E-005,-1.176E-005,7.105E-015,1.776E-015,1.221E-009,False,False,
-1.971E-005,-7.767E-005,-1.176E-005,7.105E-015,0.000E+000,1.765E-009,False,False,
-1.971E-005,-7.766E-005,-1.176E-005,0.000E+000,0.000E+000,4.582E-010,False,False,
-1.971E-005,-7.767E-005,-1.176E-005,0.000E+000,-1.776E-015,-2.175E-010,True,False,
-1.971E-005,-7.767E-005,-1.176E-005,0.000E+000,0.000E+000,-4.119E-010,True,False,
-1.971E-005,-7.767E-005,-1.176E-005,1.421E-014,-1.776E-015,4.726E-010,True,False,
-1.971E-005,-7.767E-005,-1.176E-005,-7.105E-015,0.000E+000,2.807E-009,False,False,
-1.971E-005,-7.766E-005,-1.176E-005,-7.105E-015,1.776E-015,-1.771E-009,False,False,
-1.971E-005,-7.766E-005,-1.176E-005,7.105E-015,3.553E-015,-1.093E-009,True,False,
-1.970E-005,-7.767E-005,-1.176E-005,-7.105E-015,1.776E-015,-3.308E-010,True,False,
-1.970E-005,-7.767E-005,-1.176E-005,-7.105E-015,-1.776E-015,6.114E-010,True,False,
-1.971E-005,-7.767E-005,-1.176E-005,0.000E+000,1.776E-015,9.464E-010,False,False,
-1.971E-005,-7.766E-005,-1.176E-005,7.105E-015,0.000E+000,1.403E-009,False,False,
-1.971E-005,-7.767E-005,-1.176E-005,1.421E-014,-1.776E-015,5.533E-010,True,False,
-1.971E-005,-7.767E-005,-1.176E-005,7.105E-015,0.000E+000,-4.232E-010,True,False,
-1.971E-005,-7.767E-005,-1.176E-005,7.105E-015,1.776E-015,-9.034E-010,True,False,
-1.971E-005,-7.767E-005,-1.176E-005,7.105E-015,0.000E+000,-5.162E-010,False,False,
-1.970E-005,-7.766E-005,-1.176E-005,7.105E-015,1.776E-015,6.406E-010,False,False,
-1.970E-005,-7.766E-005,-1.176E-005,7.105E-015,0.000E+000,1.174E-009,False,False,
-1.970E-005,-7.766E-005,-1.176E-005,7.105E-015,1.776E-015,1.201E-009,False,False,
-1.971E-005,-7.767E-005,-1.176E-005,7.105E-015,0.000E+000,3.873E-010,False,False,
-1.971E-005,-7.767E-005,-1.176E-005,7.105E-015,1.776E-015,-6.683E-010,False,False,
-1.970E-005,-7.766E-005,-1.176E-005,1.421E-014,0.000E+000,-1.337E-009,False,False,
-1.970E-005,-7.766E-005,-1.176E-005,0.000E+000,0.000E+000,-7.110E-010,False,False,
-1.970E-005,-7.766E-005,-1.176E-005,7.105E-015,-1.776E-015,1.855E-009,False,False,
-1.970E-005,-7.767E-005,-1.176E-005,7.105E-015,0.000E+000,1.637E-010,False,False,
-1.970E-005,-7.767E-005,-1.176E-005,0.000E+000,1.776E-015,-5.057E-010,False,False,
-1.971E-005,-7.767E-005,-1.176E-005,-7.105E-015,-1.776E-015,1.601E-010,False,True,
-1.971E-005,-7.767E-005,-1.176E-005,7.105E-015,0.000E+000,2.072E-009,False,True,
-1.971E-005,-7.767E-005,-1.176E-005,0.000E+000,1.776E-015,7.134E-010,False,True,
-1.971E-005,-7.767E-005,-1.176E-005,7.105E-015,1.776E-015,-1.001E-009,False,True,
-1.971E-005,-7.767E-005,-1.176E-005,0.000E+000,1.776E-015,5.721E-010,False,True,
-1.971E-005,-7.767E-005,-1.176E-005,7.105E-015,0.000E+000,-7.401E-011,False,True,
-1.971E-005,-7.767E-005,-1.176E-005,1.421E-014,0.000E+000,2.002E-009,True,True,
-1.971E-005,-7.767E-005,-1.176E-005,0.000E+000,-1.776E-015,3.650E-010,True,True,
-1.971E-005,-7.767E-005,-1.176E-005,-7.105E-015,0.000E+000,3.568E-009,True,True,
-1.971E-005,-7.767E-005,-1.176E-005,0.000E+000,0.000E+000,1.208E-009,False,True,
-1.971E-005,-7.766E-005,-1.176E-005,7.105E-015,1.776E-015,9.611E-010,False,True,
-1.971E-005,-7.766E-005,-1.176E-005,1.421E-014,1.776E-015,6.781E-011,True,True,
-1.971E-005,-7.767E-005,-1.176E-005,7.105E-015,0.000E+000,6.404E-010,True,True,
-1.970E-005,-7.767E-005,-1.176E-005,0.000E+000,0.000E+000,3.529E-009,True,True,
-1.970E-005,-7.767E-005,-1.176E-005,1.421E-014,-1.776E-015,1.150E-009,False,True,
-1.971E-005,-7.766E-005,-1.176E-005,0.000E+000,1.776E-015,-2.018E-010,False,True,
-1.970E-005,-7.766E-005,-1.176E-005,0.000E+000,0.000E+000,2.553E-010,True,True,
-1.970E-005,-7.767E-005,-1.176E-005,0.000E+000,1.776E-015,1.323E-009,True,True,
-1.970E-005,-7.767E-005,-1.176E-005,0.000E+000,1.776E-015,5.555E-010,True,True,
-1.970E-005,-7.767E-005,-1.176E-005,7.105E-015,1.776E-015,1.595E-009,False,True,
-1.970E-005,-7.766E-005,-1.176E-005,0.000E+000,-1.776E-015,8.238E-010,False,True,
-1.970E-005,-7.766E-005,-1.176E-005,2.132E-014,0.000E+000,1.793E-009,False,True,
-1.970E-005,-7.766E-005,-1.176E-005,0.000E+000,1.776E-015,6.635E-010,False,True,
-1.970E-005,-7.767E-005,-1.176E-005,0.000E+000,-1.776E-015,2.263E-009,False,True,
