Forward: Transformation from ETRS89_DREF91_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.
Reverse: Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_DREF91_Geoc.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz
9.313E-010,2.328E-010,0.000E+000,0.000E+000,-3.553E-015,-1.017E-009
4.657E-010,2.328E-010,9.313E-010,0.000E+000,0.000E+000,1.630E-009
4.657E-010,1.164E-010,0.000E+000,0.000E+000,1.776E-015,-1.791E-010
0.000E+000,1.164E-010,0.000E+000,7.105E-015,1.776E-015,-1.252E-010
4.657E-010,1.164E-010,0.000E+000,-7.105E-015,3.553E-015,3.817E-010
4.657E-010,1.164E-010,0.000E+000,0.000E+000,-1.776E-015,-2.341E-010
1.397E-009,3.492E-010,0.000E+000,0.000E+000,1.776E-015,-4.017E-010
9.313E-010,2.328E-010,9.313E-010,7.105E-015,1.776E-015,1.520E-009
0.000E+000,0.000E+000,0.000E+000,7.105E-015,0.000E+000,1.327E-009
-4.657E-010,-1.164E-010,9.313E-010,0.000E+000,0.000E+000,1.109E-009
9.313E-010,3.492E-010,9.313E-010,7.105E-015,0.000E+000,9.587E-011
-4.657E-010,0.000E+000,-9.313E-010,2.132E-014,3.553E-015,-9.213E-011
0.000E+000,-1.164E-010,9.313E-010,7.105E-015,-3.553E-015,-2.801E-010
-4.657E-010,0.000E+000,9.313E-010,7.105E-015,0.000E+000,-1.651E-009
4.657E-010,1.164E-010,0.000E+000,0.000E+000,1.776E-015,-7.068E-010
1.397E-009,3.492E-010,9.313E-010,-7.105E-015,1.776E-015,8.656E-010
-1.863E-009,-4.657E-010,0.000E+000,1.421E-014,1.776E-015,-5.006E-010
0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,-1.867E-009
0.000E+000,0.000E+000,9.313E-010,7.105E-015,0.000E+000,1.650E-009
9.313E-010,3.492E-010,0.000E+000,-7.105E-015,0.000E+000,-4.462E-010
0.000E+000,0.000E+000,0.000E+000,7.105E-015,1.776E-015,1.944E-010
-4.657E-010,-1.164E-010,1.863E-009,7.105E-015,-1.776E-015,9.223E-010
9.313E-010,2.328E-010,1.863E-009,1.421E-014,1.776E-015,1.172E-009
0.000E+000,-1.164E-010,9.313E-010,1.421E-014,-1.776E-015,1.170E-009
4.657E-010,-1.164E-010,0.000E+000,0.000E+000,-1.776E-015,6.889E-010
0.000E+000,0.000E+000,9.313E-010,1.421E-014,3.553E-015,-8.336E-010
1.397E-009,3.492E-010,0.000E+000,-7.105E-015,3.553E-015,1.057E-009
0.000E+000,0.000E+000,9.313E-010,7.105E-015,1.776E-015,-8.030E-010
0.000E+000,-1.164E-010,-9.313E-010,7.105E-015,1.776E-015,-1.209E-010
9.313E-010,2.328E-010,0.000E+000,0.000E+000,-1.776E-015,5.612E-010
