Forward: Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.
Reverse: Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz
-9.313E-010,-2.328E-010,0.000E+000,0.000E+000,0.000E+000,-3.486E-010
-9.313E-010,-2.328E-010,0.000E+000,0.000E+000,1.776E-015,-3.486E-010
-9.313E-010,-2.328E-010,0.000E+000,0.000E+000,1.776E-015,-3.486E-010
-9.313E-010,-2.328E-010,0.000E+000,0.000E+000,0.000E+000,-3.486E-010
-9.313E-010,-2.328E-010,0.000E+000,0.000E+000,0.000E+000,-3.486E-010
-9.313E-010,-2.328E-010,9.313E-010,1.421E-014,0.000E+000,5.665E-010
0.000E+000,0.000E+000,9.313E-010,7.105E-015,1.776E-015,1.271E-009
-9.313E-010,-2.328E-010,9.313E-010,1.421E-014,1.776E-015,5.665E-010
0.000E+000,0.000E+000,9.313E-010,7.105E-015,0.000E+000,1.271E-009
0.000E+000,0.000E+000,9.313E-010,7.105E-015,0.000E+000,1.271E-009
4.657E-010,0.000E+000,0.000E+000,7.105E-015,-1.776E-015,1.116E-009
4.657E-010,1.164E-010,0.000E+000,7.105E-015,1.776E-015,1.116E-009
4.657E-010,1.164E-010,0.000E+000,7.105E-015,1.776E-015,1.116E-009
4.657E-010,1.164E-010,0.000E+000,7.105E-015,0.000E+000,1.116E-009
4.657E-010,1.164E-010,0.000E+000,7.105E-015,0.000E+000,1.116E-009
9.313E-010,2.328E-010,0.000E+000,0.000E+000,0.000E+000,5.552E-010
9.313E-010,2.328E-010,0.000E+000,0.000E+000,1.776E-015,5.552E-010
-4.657E-010,-1.164E-010,0.000E+000,7.105E-015,1.776E-015,-1.497E-010
9.313E-010,2.328E-010,0.000E+000,0.000E+000,0.000E+000,5.552E-010
9.313E-010,2.328E-010,0.000E+000,0.000E+000,0.000E+000,5.552E-010
-9.313E-010,-2.328E-010,0.000E+000,7.105E-015,0.000E+000,2.513E-010
0.000E+000,0.000E+000,0.000E+000,0.000E+000,1.776E-015,2.513E-010
-4.657E-010,-1.164E-010,0.000E+000,7.105E-015,3.553E-015,2.513E-010
-9.313E-010,-2.328E-010,0.000E+000,7.105E-015,0.000E+000,2.513E-010
-9.313E-010,-2.328E-010,0.000E+000,7.105E-015,0.000E+000,2.513E-010
-4.657E-010,-1.164E-010,0.000E+000,7.105E-015,0.000E+000,-5.493E-010
