Forward: Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.
Reverse: Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_DREF91_Geoc.|>Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz
0.000E+000,0.000E+000,-3.486E-010,-1.264E-010,-7.858E-010,-1.722E-009
2.132E-014,0.000E+000,3.562E-010,-3.820E-011,1.524E-009,9.249E-010
2.132E-014,1.776E-015,3.562E-010,-4.547E-011,3.565E-010,-1.791E-010
7.105E-015,1.776E-015,-1.758E-009,2.547E-011,-1.372E-009,-1.535E-009
-2.132E-014,0.000E+000,-3.486E-010,2.838E-010,-3.125E-009,-3.231E-010
1.421E-014,0.000E+000,5.665E-010,1.182E-011,-9.895E-010,-2.341E-010
-1.421E-014,0.000E+000,2.681E-009,2.365E-011,-1.419E-009,-4.017E-010
2.132E-014,0.000E+000,2.681E-009,-6.730E-011,-9.604E-010,1.520E-009
2.842E-014,-1.776E-015,1.271E-009,-7.640E-011,4.002E-010,1.327E-009
7.105E-015,0.000E+000,1.271E-009,0.000E+000,-2.277E-009,1.109E-009
1.421E-014,1.776E-015,1.116E-009,-1.091E-011,-1.732E-009,9.587E-011
7.105E-015,0.000E+000,1.116E-009,-7.822E-011,-2.830E-009,1.317E-009
1.421E-014,0.000E+000,1.116E-009,-2.528E-010,-2.437E-009,1.129E-009
7.105E-015,1.776E-015,1.820E-009,1.455E-011,-1.775E-009,-1.651E-009
7.105E-015,0.000E+000,1.116E-009,1.419E-010,-1.266E-009,-7.068E-010
-2.842E-014,0.000E+000,1.965E-009,8.004E-011,-3.718E-009,8.656E-010
2.842E-014,0.000E+000,5.551E-010,4.366E-011,1.055E-009,-5.006E-010
7.105E-015,0.000E+000,-1.497E-010,-2.110E-010,-1.397E-009,-1.867E-009
7.105E-015,0.000E+000,1.965E-009,-2.365E-011,2.256E-010,1.650E-009
0.000E+000,1.776E-015,1.260E-009,1.819E-011,-3.260E-009,-4.462E-010
7.105E-015,0.000E+000,2.513E-010,1.637E-010,3.056E-010,1.944E-010
2.132E-014,0.000E+000,9.561E-010,-1.910E-010,-1.164E-009,9.223E-010
1.421E-014,0.000E+000,1.661E-009,-6.912E-011,-2.910E-011,1.172E-009
1.421E-014,-1.776E-015,2.513E-010,-7.640E-011,8.295E-010,1.170E-009
-1.421E-014,-1.776E-015,-4.535E-010,-1.419E-010,-1.775E-009,6.889E-010
7.105E-015,0.000E+000,-5.493E-010,1.392E-010,-2.095E-009,-8.336E-010
0.000E+000,0.000E+000,8.603E-010,4.275E-011,-1.979E-009,1.057E-009
3.553E-014,-1.776E-015,1.555E-010,-5.093E-011,-1.339E-009,-8.030E-010
7.105E-015,-1.776E-015,-1.254E-009,8.185E-011,-9.313E-010,-1.209E-010
0.000E+000,3.553E-015,1.555E-010,-5.457E-011,-1.281E-009,5.612E-010
-7.105E-015,0.000E+000,-2.795E-010,2.819E-011,9.823E-010,-5.134E-010
-7.105E-015,-1.776E-015,1.835E-009,-1.291E-010,5.020E-010,1.218E-009
7.105E-015,0.000E+000,-2.795E-010,-1.091E-011,1.681E-009,-5.743E-010
2.132E-014,0.000E+000,-2.795E-010,7.276E-011,-1.466E-009,-5.042E-010
-7.105E-015,0.000E+000,-2.795E-010,-1.091E-011,-2.994E-009,2.455E-010
7.105E-015,0.000E+000,-1.700E-010,4.457E-011,-1.790E-009,2.461E-011
-7.105E-015,0.000E+000,5.348E-010,-4.002E-011,-1.994E-009,-1.058E-009
0.000E+000,1.776E-015,5.348E-010,-3.274E-011,-2.692E-009,-2.619E-009
7.105E-015,1.776E-015,-1.700E-010,9.277E-011,-8.440E-010,-1.638E-009
7.105E-015,0.000E+000,1.944E-009,1.746E-010,-2.372E-009,9.792E-010
1.421E-014,1.776E-015,1.872E-010,2.365E-011,-1.113E-009,9.501E-010
2.842E-014,0.000E+000,1.872E-010,-3.092E-011,9.459E-011,1.257E-009
7.105E-015,0.000E+000,8.920E-010,-1.055E-010,-5.100E-009,-7.778E-010
7.105E-015,0.000E+000,1.597E-009,6.185E-011,2.183E-010,6.613E-010
-7.105E-015,0.000E+000,1.597E-009,8.004E-011,-1.586E-009,1.395E-009
2.842E-014,0.000E+000,2.541E-011,8.185E-012,8.440E-010,1.119E-010
-2.132E-014,-1.776E-015,-6.794E-010,6.457E-011,-3.471E-009,1.716E-010
-7.105E-015,1.776E-015,2.541E-011,-7.822E-011,-2.423E-009,1.389E-009
1.421E-014,0.000E+000,-6.794E-010,7.276E-012,1.062E-009,-2.128E-010
1.421E-014,-1.776E-015,2.538E-011,4.002E-011,-3.347E-009,-1.362E-009
1.421E-014,-1.776E-015,-2.058E-011,6.366E-011,-4.366E-011,7.126E-010
