Forward: Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.
Reverse: Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_DREF91_Geoc.|>Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz
7.105E-015,0.000E+000,-1.053E-009,1.421E-014,-3.553E-015,-1.722E-009
7.105E-015,0.000E+000,3.562E-010,7.105E-015,-1.776E-015,9.249E-010
7.105E-015,0.000E+000,3.562E-010,7.105E-015,0.000E+000,-1.791E-010
7.105E-015,1.776E-015,-1.758E-009,1.421E-014,1.776E-015,-1.535E-009
7.105E-015,0.000E+000,3.562E-010,7.105E-015,3.553E-015,-3.231E-010
7.105E-015,0.000E+000,1.271E-009,0.000E+000,-1.776E-015,-2.341E-010
0.000E+000,0.000E+000,3.386E-009,0.000E+000,0.000E+000,-4.017E-010
7.105E-015,0.000E+000,2.681E-009,7.105E-015,0.000E+000,1.520E-009
7.105E-015,0.000E+000,1.271E-009,7.105E-015,0.000E+000,1.327E-009
1.421E-014,0.000E+000,1.271E-009,0.000E+000,0.000E+000,1.109E-009
7.105E-015,1.776E-015,1.820E-009,0.000E+000,0.000E+000,9.587E-011
7.105E-015,0.000E+000,1.116E-009,2.132E-014,0.000E+000,1.317E-009
1.421E-014,0.000E+000,1.116E-009,7.105E-015,-3.553E-015,1.129E-009
1.421E-014,1.776E-015,1.116E-009,7.105E-015,0.000E+000,-1.651E-009
7.105E-015,0.000E+000,1.116E-009,0.000E+000,1.776E-015,-7.068E-010
-7.105E-015,0.000E+000,2.670E-009,-7.105E-015,1.776E-015,8.656E-010
1.421E-014,0.000E+000,-8.545E-010,1.421E-014,0.000E+000,-5.006E-010
7.105E-015,0.000E+000,-1.497E-010,0.000E+000,-1.776E-015,-1.867E-009
7.105E-015,0.000E+000,1.965E-009,7.105E-015,0.000E+000,1.650E-009
0.000E+000,1.776E-015,1.260E-009,-7.105E-015,0.000E+000,-4.462E-010
7.105E-015,0.000E+000,2.513E-010,7.105E-015,1.776E-015,1.944E-010
1.421E-014,0.000E+000,9.561E-010,7.105E-015,-3.553E-015,9.223E-010
1.421E-014,0.000E+000,1.661E-009,1.421E-014,0.000E+000,1.172E-009
