Forward: Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to DB_Ref_Geoc.|>Conversion from DB_Ref_Geoc to DB_Ref_Geod.
Reverse: Conversion from DB_Ref_Geod to DB_Ref_Geoc.|>Transformation from DB_Ref_Geoc to ETRS89_DREF91_Geoc.|>Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz,isInsideBBox,isInsideHeightRange,srcPPM
-7.034E-005,2.279E-005,-3.299E-005,2.132E-014,-1.599E-014,-1.495E-009,False,False,327.2
-7.032E-005,2.279E-005,-3.302E-005,1.421E-014,-1.421E-014,1.472E-009,False,False,334.4
-7.030E-005,2.279E-005,-3.306E-005,4.263E-014,-1.599E-014,4.670E-010,False,False,341.3
-7.028E-005,2.279E-005,-3.310E-005,4.263E-014,-1.954E-014,1.221E-009,False,False,347.9
-7.027E-005,2.279E-005,-3.314E-005,-1.421E-014,-1.776E-014,3.557E-010,False,False,354.2
-7.034E-005,2.285E-005,-3.295E-005,0.000E+000,-1.776E-014,4.582E-010,False,False,327.6
-7.032E-005,2.285E-005,-3.299E-005,0.000E+000,-1.776E-014,-2.175E-010,True,False,334.8
-7.030E-005,2.285E-005,-3.302E-005,2.842E-014,-1.776E-014,-4.119E-010,True,False,341.7
-7.028E-005,2.285E-005,-3.306E-005,2.842E-014,-2.132E-014,4.726E-010,True,False,348.3
-7.026E-005,2.285E-005,-3.310E-005,-7.105E-015,-1.599E-014,2.807E-009,False,False,354.5
-7.034E-005,2.290E-005,-3.291E-005,-7.105E-015,-1.599E-014,-1.771E-009,False,False,328.0
-7.032E-005,2.290E-005,-3.295E-005,1.421E-014,-1.243E-014,-1.798E-009,True,False,335.1
-7.030E-005,2.291E-005,-3.299E-005,1.421E-014,-1.421E-014,-1.036E-009,True,False,342.0
-7.028E-005,2.290E-005,-3.303E-005,-1.421E-014,-1.776E-014,6.114E-010,True,False,348.5
-7.026E-005,2.290E-005,-3.307E-005,7.105E-015,-1.599E-014,-4.631E-010,False,False,354.8
-7.033E-005,2.296E-005,-3.287E-005,7.105E-015,-2.132E-014,1.403E-009,False,False,328.3
-7.032E-005,2.296E-005,-3.291E-005,2.842E-014,-1.776E-014,5.533E-010,True,False,335.4
-7.030E-005,2.296E-005,-3.295E-005,7.105E-015,-1.776E-014,-4.232E-010,True,False,342.2
-7.028E-005,2.296E-005,-3.299E-005,2.132E-014,-1.776E-014,-9.034E-010,True,False,348.8
-7.026E-005,2.296E-005,-3.303E-005,0.000E+000,-1.776E-014,1.885E-010,False,False,355.0
-7.033E-005,2.302E-005,-3.284E-005,7.105E-015,-2.132E-014,-6.410E-011,False,False,328.6
-7.032E-005,2.302E-005,-3.287E-005,7.105E-015,-1.599E-014,4.693E-010,False,False,335.7
-7.030E-005,2.302E-005,-3.291E-005,7.105E-015,-1.954E-014,1.201E-009,False,False,342.5
-7.028E-005,2.302E-005,-3.295E-005,2.842E-014,-1.954E-014,3.873E-010,False,False,349.0
-7.026E-005,2.302E-005,-3.299E-005,1.421E-014,-1.599E-014,-6.683E-010,False,False,355.2
-7.033E-005,2.308E-005,-3.279E-005,2.842E-014,-1.954E-014,-1.337E-009,False,False,329.0
-7.031E-005,2.308E-005,-3.283E-005,1.421E-014,-1.599E-014,6.985E-010,False,False,336.1
-7.030E-005,2.308E-005,-3.287E-005,7.105E-015,-1.776E-014,1.855E-009,False,False,342.9
-7.028E-005,2.307E-005,-3.291E-005,7.105E-015,-1.776E-014,1.637E-010,False,False,349.3
-7.026E-005,2.307E-005,-3.295E-005,0.000E+000,-1.954E-014,-5.057E-010,False,False,355.5
-7.034E-005,2.279E-005,-3.298E-005,7.105E-015,-1.599E-014,1.570E-009,False,True,336.6
-7.032E-005,2.279E-005,-3.302E-005,2.132E-014,-1.243E-014,2.776E-009,False,True,343.8
-7.030E-005,2.279E-005,-3.307E-005,2.842E-014,-1.421E-014,7.134E-010,False,True,350.7
-7.028E-005,2.279E-005,-3.311E-005,3.553E-014,-1.776E-014,-1.001E-009,False,True,357.4
-7.027E-005,2.278E-005,-3.314E-005,-2.132E-014,-1.776E-014,5.721E-010,False,True,363.7
-7.034E-005,2.285E-005,-3.295E-005,7.105E-015,-1.599E-014,-7.401E-011,False,True,337.0
-7.032E-005,2.285E-005,-3.299E-005,1.421E-014,-1.776E-014,5.922E-010,True,True,344.2
-7.030E-005,2.285E-005,-3.302E-005,2.132E-014,-1.954E-014,1.775E-009,True,True,351.1
-7.028E-005,2.285E-005,-3.306E-005,2.132E-014,-1.954E-014,3.568E-009,True,True,357.7
-7.026E-005,2.285E-005,-3.310E-005,0.000E+000,-1.776E-014,1.208E-009,False,True,364.0
-7.034E-005,2.290E-005,-3.291E-005,7.105E-015,-1.599E-014,9.611E-010,False,True,337.4
-7.032E-005,2.290E-005,-3.295E-005,2.842E-014,-1.421E-014,6.781E-011,True,True,344.5
-7.030E-005,2.291E-005,-3.299E-005,2.132E-014,-1.421E-014,1.345E-009,True,True,351.4
-7.028E-005,2.290E-005,-3.302E-005,-1.421E-014,-1.599E-014,3.529E-009,True,True,358.0
-7.026E-005,2.290E-005,-3.307E-005,2.842E-014,-1.954E-014,1.150E-009,False,True,364.2
-7.033E-005,2.296E-005,-3.287E-005,-7.105E-015,-1.954E-014,5.029E-010,False,True,337.7
-7.032E-005,2.296E-005,-3.291E-005,2.132E-014,-1.776E-014,-4.495E-010,True,True,344.8
-7.030E-005,2.296E-005,-3.295E-005,1.421E-014,-1.421E-014,-8.600E-011,True,True,351.6
-7.028E-005,2.296E-005,-3.299E-005,3.553E-014,-2.132E-014,-1.493E-010,True,True,358.2
-7.026E-005,2.296E-005,-3.303E-005,7.105E-015,-1.421E-014,1.595E-009,False,True,364.4
-7.033E-005,2.302E-005,-3.283E-005,0.000E+000,-2.132E-014,1.191E-010,False,True,338.0
-7.031E-005,2.302E-005,-3.287E-005,3.553E-014,-1.599E-014,1.088E-009,False,True,345.1
-7.030E-005,2.302E-005,-3.291E-005,0.000E+000,-1.421E-014,6.635E-010,False,True,351.9
-7.028E-005,2.302E-005,-3.295E-005,2.132E-014,-2.132E-014,1.487E-010,False,True,358.4
-7.026E-005,2.302E-005,-3.299E-005,0.000E+000,-1.599E-014,-1.268E-009,False,True,364.6
-7.033E-005,2.308E-005,-3.279E-005,3.553E-014,-1.954E-014,2.210E-009,False,True,338.4
-7.031E-005,2.308E-005,-3.284E-005,2.842E-014,-1.954E-014,1.103E-010,False,True,345.5
-7.030E-005,2.308E-005,-3.287E-005,7.105E-015,-1.954E-014,1.618E-009,False,True,352.3
-7.028E-005,2.307E-005,-3.291E-005,7.105E-015,-1.776E-014,2.197E-009,False,True,358.7
-7.026E-005,2.308E-005,-3.295E-005,0.000E+000,-1.776E-014,1.741E-009,False,True,364.9
-7.034E-005,2.279E-005,-3.299E-005,7.105E-015,-1.776E-014,-1.308E-009,False,True,346.0
-7.032E-005,2.279E-005,-3.303E-005,2.132E-014,-1.599E-014,3.678E-011,False,True,353.2
-7.030E-005,2.279E-005,-3.306E-005,2.132E-014,-1.776E-014,9.038E-010,False,True,360.2
-7.028E-005,2.279E-005,-3.310E-005,4.263E-014,-1.776E-014,3.752E-012,False,True,366.8
-7.026E-005,2.278E-005,-3.314E-005,-7.105E-015,-1.421E-014,2.506E-010,False,True,373.1
-7.034E-005,2.285E-005,-3.295E-005,0.000E+000,-1.243E-014,4.435E-010,False,True,346.5
-7.032E-005,2.285E-005,-3.298E-005,-7.105E-015,-1.421E-014,8.759E-010,True,True,353.7
-7.030E-005,2.285E-005,-3.302E-005,4.263E-014,-1.599E-014,2.716E-009,True,True,360.6
-7.028E-005,2.285E-005,-3.306E-005,2.132E-014,-2.309E-014,-4.116E-010,True,True,367.1
-7.026E-005,2.285E-005,-3.310E-005,7.105E-015,-1.954E-014,-9.102E-010,False,True,373.4
-7.034E-005,2.290E-005,-3.291E-005,-7.105E-015,-1.421E-014,-1.547E-010,False,True,346.8
-7.032E-005,2.290E-005,-3.295E-005,1.421E-014,-1.599E-014,-1.476E-009,True,True,354.0
-7.030E-005,2.291E-005,-3.299E-005,2.842E-014,-1.599E-014,-1.262E-010,True,True,360.8
-7.028E-005,2.290E-005,-3.303E-005,-7.105E-015,-1.243E-014,9.931E-010,True,True,367.4
-7.026E-005,2.290E-005,-3.307E-005,0.000E+000,-1.421E-014,-2.226E-009,False,True,373.6
-7.033E-005,2.296E-005,-3.287E-005,0.000E+000,-2.132E-014,8.420E-010,False,True,347.1
-7.032E-005,2.296E-005,-3.291E-005,4.263E-014,-1.776E-014,2.505E-010,True,True,354.2
-7.030E-005,2.296E-005,-3.295E-005,1.421E-014,-1.599E-014,1.939E-009,True,True,361.0
-7.028E-005,2.296E-005,-3.299E-005,4.263E-014,-1.954E-014,1.146E-009,True,True,367.5
-7.026E-005,2.296E-005,-3.303E-005,-1.421E-014,-1.599E-014,1.237E-009,False,True,373.8
