Forward: Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.
Reverse: Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_DREF91_Geoc.|>Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz,isInsideBBox,isInsideHeightRange,srcPPM
-5.821E-011,-2.794E-009,3.562E-010,-1.260E-009,-7.858E-010,-1.017E-009,False,False,327.2
5.821E-011,2.794E-009,1.061E-009,-1.042E-009,4.318E-009,1.630E-009,False,False,334.4
5.821E-011,2.794E-009,3.562E-010,-1.302E-009,1.288E-009,-1.791E-010,False,False,341.3
-5.821E-011,1.863E-009,3.562E-010,-1.486E-009,4.911E-010,5.796E-010,False,False,347.9
-1.746E-010,-9.313E-010,1.061E-009,-1.088E-009,-4.988E-009,1.086E-009,False,False,354.2
-5.821E-011,2.794E-009,5.665E-010,-1.241E-009,-9.895E-010,-2.340E-010,False,False,327.6
1.164E-010,9.313E-010,3.386E-009,-1.106E-009,1.375E-009,-4.017E-010,True,False,334.8
5.821E-011,9.313E-010,2.681E-009,-1.322E-009,9.022E-010,1.520E-009,True,False,341.7
-1.164E-010,1.863E-009,1.271E-009,-1.335E-009,1.332E-009,6.220E-010,True,False,348.3
5.821E-011,0.000E+000,1.271E-009,-1.259E-009,-2.277E-009,1.109E-009,False,False,354.5
5.821E-011,-9.313E-010,1.116E-009,-1.138E-009,-1.732E-009,9.587E-011,False,False,328.0
1.164E-010,0.000E+000,-1.704E-009,-8.276E-010,-9.677E-010,-7.970E-010,True,False,335.1
0.000E+000,0.000E+000,-9.989E-010,-1.255E-009,-5.748E-010,-9.850E-010,True,False,342.0
5.821E-011,-9.313E-010,1.820E-009,-1.110E-009,-1.775E-009,-1.651E-009,True,False,348.5
0.000E+000,-1.863E-009,-1.704E-009,-1.110E-009,-1.266E-009,-2.116E-009,False,False,354.8
-2.328E-010,-3.725E-009,1.965E-009,-1.414E-009,-3.718E-009,8.656E-010,False,False,328.3
5.821E-011,9.313E-010,5.551E-010,-1.079E-009,1.237E-010,-5.006E-010,True,False,335.4
0.000E+000,0.000E+000,-1.497E-010,-1.335E-009,-1.397E-009,-1.867E-009,True,False,342.2
0.000E+000,0.000E+000,1.260E-009,-1.401E-009,2.088E-009,2.355E-009,True,False,348.8
0.000E+000,1.863E-009,1.260E-009,-1.233E-009,-3.260E-009,2.586E-010,False,False,355.0
-5.821E-011,0.000E+000,2.513E-010,-1.460E-009,3.056E-010,-5.104E-010,False,False,328.6
2.910E-010,9.313E-010,-4.535E-010,-9.377E-010,-2.328E-010,2.175E-010,False,False,335.7
-2.328E-010,9.313E-010,1.661E-009,-1.441E-009,-2.910E-011,1.172E-009,False,False,342.5
-1.164E-010,2.794E-009,-4.535E-010,-1.573E-009,4.555E-009,1.170E-009,False,False,349.0
1.746E-010,0.000E+000,9.561E-010,-1.142E-009,1.019E-009,6.889E-010,False,False,355.2
0.000E+000,2.794E-009,1.555E-010,-1.230E-009,-2.328E-010,-8.336E-010,False,False,329.0
1.746E-010,1.863E-009,8.603E-010,-9.477E-010,8.149E-010,1.762E-009,False,False,336.1
5.821E-011,3.725E-009,1.555E-010,-1.044E-009,-1.339E-009,-8.030E-010,False,False,342.9
-5.821E-011,-1.863E-009,-1.254E-009,-1.288E-009,-9.313E-010,-1.209E-010,False,False,349.3
1.746E-010,-3.725E-009,8.603E-010,-1.171E-009,-1.281E-009,5.612E-010,False,False,355.5
2.328E-010,9.313E-010,-2.795E-010,-9.759E-010,9.823E-010,-5.134E-010,False,True,336.6
2.910E-010,2.794E-009,4.254E-010,-8.804E-010,2.365E-009,1.218E-009,False,True,343.8
