Forward: Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.
Reverse: Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz,isInsideBBox,isInsideHeightRange,srcPPM
5.821E-011,9.313E-010,3.562E-010,-9.313E-010,-1.513E-009,9.313E-010,False,False,327.2
2.328E-010,2.794E-009,3.562E-010,-1.397E-009,-1.513E-009,1.863E-009,False,False,334.4
2.328E-010,2.794E-009,3.562E-010,-2.328E-009,-1.863E-009,2.794E-009,False,False,341.3
0.000E+000,2.794E-009,3.562E-010,-2.328E-009,-2.095E-009,2.794E-009,False,False,347.9
0.000E+000,-9.313E-010,-3.486E-010,1.863E-009,-8.149E-010,-9.313E-010,False,False,354.2
5.821E-011,0.000E+000,1.271E-009,4.657E-010,-1.164E-009,0.000E+000,False,False,327.6
1.164E-010,9.313E-010,1.271E-009,0.000E+000,-1.164E-009,0.000E+000,True,False,334.8
5.821E-011,0.000E+000,1.271E-009,-1.397E-009,-1.630E-009,1.863E-009,True,False,341.7
0.000E+000,1.863E-009,1.271E-009,-1.397E-009,-1.746E-009,1.863E-009,True,False,348.3
5.821E-011,0.000E+000,1.271E-009,0.000E+000,-1.164E-009,0.000E+000,False,False,354.5
5.821E-011,9.313E-010,1.116E-009,4.657E-010,-1.048E-009,0.000E+000,False,False,328.0
1.164E-010,1.863E-009,-9.989E-010,-9.313E-010,-1.281E-009,0.000E+000,True,False,335.1
0.000E+000,0.000E+000,-9.989E-010,-1.863E-009,-1.630E-009,9.313E-010,True,False,342.0
1.164E-010,-9.313E-010,4.108E-010,1.397E-009,-8.149E-010,-9.313E-010,True,False,348.5
5.821E-011,0.000E+000,-9.989E-010,-4.657E-010,-1.281E-009,0.000E+000,False,False,354.8
5.821E-011,-9.313E-010,5.552E-010,4.657E-010,-1.397E-009,0.000E+000,False,False,328.3
0.000E+000,0.000E+000,5.552E-010,-1.397E-009,-1.513E-009,9.313E-010,True,False,335.4
0.000E+000,0.000E+000,-1.497E-010,0.000E+000,-1.281E-009,0.000E+000,True,False,342.2
