Forward: Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.
Reverse: Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz
5.821E-011,9.313E-010,0.000E+000,7.105E-015,-1.599E-014,0.000E+000
5.821E-011,2.794E-009,0.000E+000,1.421E-014,-1.599E-014,0.000E+000
5.821E-011,1.863E-009,0.000E+000,2.842E-014,-1.599E-014,0.000E+000
-5.821E-011,1.863E-009,0.000E+000,2.842E-014,-1.776E-014,0.000E+000
0.000E+000,-9.313E-010,0.000E+000,-1.421E-014,-1.776E-014,0.000E+000
5.821E-011,0.000E+000,0.000E+000,0.000E+000,-1.599E-014,0.000E+000
0.000E+000,9.313E-010,0.000E+000,0.000E+000,-1.599E-014,0.000E+000
5.821E-011,0.000E+000,0.000E+000,2.842E-014,-1.599E-014,0.000E+000
0.000E+000,1.863E-009,0.000E+000,2.842E-014,-1.776E-014,0.000E+000
5.821E-011,0.000E+000,0.000E+000,7.105E-015,-1.776E-014,0.000E+000
5.821E-011,9.313E-010,0.000E+000,7.105E-015,-1.599E-014,0.000E+000
0.000E+000,0.000E+000,0.000E+000,1.421E-014,-1.599E-014,0.000E+000
0.000E+000,0.000E+000,0.000E+000,2.132E-014,-1.599E-014,0.000E+000
1.164E-010,-9.313E-010,0.000E+000,-1.421E-014,-1.599E-014,0.000E+000
5.821E-011,0.000E+000,0.000E+000,1.421E-014,-1.776E-014,0.000E+000
5.821E-011,-9.313E-010,0.000E+000,0.000E+000,-1.776E-014,0.000E+000
-5.821E-011,0.000E+000,0.000E+000,2.132E-014,-1.776E-014,0.000E+000
0.000E+000,0.000E+000,0.000E+000,7.105E-015,-1.599E-014,0.000E+000
5.821E-011,0.000E+000,0.000E+000,2.842E-014,-1.776E-014,0.000E+000
0.000E+000,1.863E-009,0.000E+000,-7.105E-015,-1.776E-014,0.000E+000
-5.821E-011,0.000E+000,0.000E+000,7.105E-015,-1.776E-014,0.000E+000
0.000E+000,-1.863E-009,0.000E+000,7.105E-015,-1.599E-014,0.000E+000
0.000E+000,9.313E-010,0.000E+000,7.105E-015,-1.599E-014,0.000E+000
0.000E+000,2.794E-009,0.000E+000,2.842E-014,-1.776E-014,0.000E+000
5.821E-011,0.000E+000,0.000E+000,1.421E-014,-1.776E-014,0.000E+000
0.000E+000,2.794E-009,0.000E+000,2.132E-014,-1.776E-014,0.000E+000
0.000E+000,0.000E+000,0.000E+000,2.132E-014,-1.599E-014,0.000E+000
0.000E+000,-1.863E-009,0.000E+000,0.000E+000,-1.599E-014,0.000E+000
-5.821E-011,-1.863E-009,0.000E+000,7.105E-015,-1.776E-014,0.000E+000
5.821E-011,-9.313E-010,0.000E+000,7.105E-015,-1.776E-014,0.000E+000
5.821E-011,9.313E-010,0.000E+000,7.105E-015,-1.599E-014,0.000E+000
5.821E-011,2.794E-009,0.000E+000,1.421E-014,-1.599E-014,0.000E+000
5.821E-011,1.863E-009,0.000E+000,2.842E-014,-1.599E-014,0.000E+000
-5.821E-011,1.863E-009,0.000E+000,2.842E-014,-1.776E-014,0.000E+000
0.000E+000,-9.313E-010,0.000E+000,-1.421E-014,-1.776E-014,0.000E+000
5.821E-011,0.000E+000,0.000E+000,0.000E+000,-1.599E-014,0.000E+000
0.000E+000,9.313E-010,0.000E+000,0.000E+000,-1.599E-014,0.000E+000
5.821E-011,0.000E+000,0.000E+000,2.842E-014,-1.599E-014,0.000E+000
0.000E+000,1.863E-009,0.000E+000,2.842E-014,-1.776E-014,0.000E+000
5.821E-011,0.000E+000,0.000E+000,7.105E-015,-1.776E-014,0.000E+000
5.821E-011,9.313E-010,0.000E+000,7.105E-015,-1.599E-014,0.000E+000
0.000E+000,0.000E+000,0.000E+000,1.421E-014,-1.599E-014,0.000E+000
0.000E+000,0.000E+000,0.000E+000,2.132E-014,-1.599E-014,0.000E+000
1.164E-010,-9.313E-010,0.000E+000,-1.421E-014,-1.599E-014,0.000E+000
5.821E-011,0.000E+000,0.000E+000,1.421E-014,-1.776E-014,0.000E+000
5.821E-011,-9.313E-010,0.000E+000,0.000E+000,-1.776E-014,0.000E+000
-5.821E-011,0.000E+000,0.000E+000,2.132E-014,-1.776E-014,0.000E+000
0.000E+000,0.000E+000,0.000E+000,7.105E-015,-1.599E-014,0.000E+000
5.821E-011,0.000E+000,0.000E+000,2.842E-014,-1.776E-014,0.000E+000
0.000E+000,1.863E-009,0.000E+000,-7.105E-015,-1.776E-014,0.000E+000
-5.821E-011,0.000E+000,0.000E+000,7.105E-015,-1.776E-014,0.000E+000
0.000E+000,-1.863E-009,0.000E+000,7.105E-015,-1.599E-014,0.000E+000
0.000E+000,9.313E-010,0.000E+000,7.105E-015,-1.599E-014,0.000E+000
0.000E+000,2.794E-009,0.000E+000,2.842E-014,-1.776E-014,0.000E+000
5.821E-011,0.000E+000,0.000E+000,1.421E-014,-1.776E-014,0.000E+000
0.000E+000,2.794E-009,0.000E+000,2.132E-014,-1.776E-014,0.000E+000
0.000E+000,0.000E+000,0.000E+000,2.132E-014,-1.599E-014,0.000E+000
0.000E+000,-1.863E-009,0.000E+000,0.000E+000,-1.599E-014,0.000E+000
-5.821E-011,-1.863E-009,0.000E+000,7.105E-015,-1.776E-014,0.000E+000
5.821E-011,-9.313E-010,0.000E+000,7.105E-015,-1.776E-014,0.000E+000
5.821E-011,9.313E-010,0.000E+000,7.105E-015,-1.599E-014,0.000E+000
5.821E-011,2.794E-009,0.000E+000,1.421E-014,-1.599E-014,0.000E+000
5.821E-011,1.863E-009,0.000E+000,2.842E-014,-1.599E-014,0.000E+000
-5.821E-011,1.863E-009,0.000E+000,2.842E-014,-1.776E-014,0.000E+000
0.000E+000,-9.313E-010,0.000E+000,-1.421E-014,-1.776E-014,0.000E+000
5.821E-011,0.000E+000,0.000E+000,0.000E+000,-1.599E-014,0.000E+000
0.000E+000,9.313E-010,0.000E+000,0.000E+000,-1.599E-014,0.000E+000
5.821E-011,0.000E+000,0.000E+000,2.842E-014,-1.599E-014,0.000E+000
0.000E+000,1.863E-009,0.000E+000,2.842E-014,-1.776E-014,0.000E+000
5.821E-011,0.000E+000,0.000E+000,7.105E-015,-1.776E-014,0.000E+000
5.821E-011,9.313E-010,0.000E+000,7.105E-015,-1.599E-014,0.000E+000
