Forward: Transformation from Normal heights to Ellipsoidal heights.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to DB_Ref_Geoc.|>Conversion from DB_Ref_Geoc to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.
Reverse: Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Iterative transformation from Normal heights to Ellipsoidal heights.|>Conversion from DB_Ref_Geod to DB_Ref_Geoc.|>Transformation from DB_Ref_Geoc to ETRS89_DREF91_Geoc.|>Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz,isInsideBBox,isInsideHeightRange,srcPPM
-1.841E-006,-7.644E-007,-1.995E+004,,,,False,False,
-1.840E-006,-7.758E-007,-1.995E+004,,,,False,False,
-1.840E-006,-7.872E-007,-1.995E+004,,,,False,False,
-1.840E-006,-7.985E-007,-1.995E+004,,,,False,False,
-1.839E-006,-8.099E-007,-1.995E+004,,,,False,False,
7.705E-010,-7.646E-010,-4.089E+001,,,,False,False,
7.808E-010,-7.564E-010,-4.077E+001,,,,True,False,
7.898E-010,-7.487E-010,-4.065E+001,,,,True,False,
8.053E-010,-7.380E-010,-4.047E+001,,,,True,False,
8.122E-010,-7.310E-010,-4.038E+001,,,,False,False,
7.799E-010,-7.648E-010,-4.062E+001,,,,False,False,
7.856E-010,-7.586E-010,-4.055E+001,,,,True,False,
7.905E-010,-7.526E-010,-4.048E+001,,,,True,False,
7.968E-010,-7.460E-010,-4.039E+001,,,,True,False,
8.012E-010,-7.401E-010,-4.033E+001,,,,False,False,
7.940E-010,-7.632E-010,-4.030E+001,,,,False,False,
8.019E-010,-7.560E-010,-4.020E+001,,,,True,False,
8.104E-010,-7.484E-010,-4.010E+001,,,,True,False,
8.163E-010,-7.419E-010,-4.002E+001,,,,True,False,
8.167E-010,-7.377E-010,-4.000E+001,,,,False,False,
7.929E-010,-7.677E-010,-4.014E+001,,,,False,False,
7.915E-010,-7.644E-010,-4.014E+001,,,,False,False,
7.857E-010,-7.629E-010,-4.018E+001,,,,False,False,
7.861E-010,-7.588E-010,-4.016E+001,,,,False,False,
7.852E-010,-7.554E-010,-4.016E+001,,,,False,False,
7.646E-010,-7.831E-010,-4.025E+001,,,,False,False,
7.558E-010,-7.830E-010,-4.033E+001,,,,False,False,
7.480E-010,-7.825E-010,-4.039E+001,,,,False,False,
7.414E-010,-7.816E-010,-4.045E+001,,,,False,False,
7.353E-010,-7.807E-010,-4.049E+001,,,,False,False,
-1.840E-006,-7.644E-007,-1.995E+004,,,,False,True,
-1.840E-006,-7.758E-007,-1.995E+004,,,,False,True,
-1.840E-006,-7.871E-007,-1.995E+004,,,,False,True,
-1.839E-006,-7.985E-007,-1.995E+004,,,,False,True,
-1.839E-006,-8.099E-007,-1.995E+004,,,,False,True,
7.705E-010,-7.646E-010,-4.089E+001,,,,False,True,
7.809E-010,-7.564E-010,-4.077E+001,,,,True,True,
7.899E-010,-7.487E-010,-4.065E+001,,,,True,True,
8.054E-010,-7.380E-010,-4.047E+001,,,,True,True,
8.123E-010,-7.309E-010,-4.038E+001,,,,False,True,
7.800E-010,-7.648E-010,-4.062E+001,,,,False,True,
7.857E-010,-7.585E-010,-4.055E+001,,,,True,True,
7.906E-010,-7.525E-010,-4.048E+001,,,,True,True,
7.969E-010,-7.459E-010,-4.039E+001,,,,True,True,
8.012E-010,-7.400E-010,-4.033E+001,,,,False,True,
7.941E-010,-7.631E-010,-4.030E+001,,,,False,True,
8.019E-010,-7.559E-010,-4.020E+001,,,,True,True,
8.104E-010,-7.484E-010,-4.010E+001,,,,True,True,
8.163E-010,-7.418E-010,-4.002E+001,,,,True,True,
8.167E-010,-7.376E-010,-4.000E+001,,,,False,True,
7.930E-010,-7.677E-010,-4.014E+001,,,,False,True,
7.916E-010,-7.643E-010,-4.014E+001,,,,False,True,
7.858E-010,-7.628E-010,-4.018E+001,,,,False,True,
7.862E-010,-7.588E-010,-4.016E+001,,,,False,True,
7.852E-010,-7.553E-010,-4.015E+001,,,,False,True,
7.647E-010,-7.830E-010,-4.025E+001,,,,False,True,
7.558E-010,-7.829E-010,-4.033E+001,,,,False,True,
7.480E-010,-7.825E-010,-4.039E+001,,,,False,True,
7.415E-010,-7.816E-010,-4.044E+001,,,,False,True,
7.353E-010,-7.806E-010,-4.049E+001,,,,False,True,
-1.840E-006,-7.644E-007,-1.995E+004,,,,False,True,
-1.840E-006,-7.757E-007,-1.995E+004,,,,False,True,
-1.840E-006,-7.871E-007,-1.995E+004,,,,False,True,
-1.839E-006,-7.985E-007,-1.995E+004,,,,False,True,
-1.839E-006,-8.099E-007,-1.995E+004,,,,False,True,
7.706E-010,-7.645E-010,-4.089E+001,,,,False,True,
7.810E-010,-7.564E-010,-4.076E+001,,,,True,True,
7.900E-010,-7.486E-010,-4.065E+001,,,,True,True,
8.055E-010,-7.380E-010,-4.047E+001,,,,True,True,
8.123E-010,-7.309E-010,-4.038E+001,,,,False,True,
7.801E-010,-7.647E-010,-4.062E+001,,,,False,True,
7.857E-010,-7.585E-010,-4.055E+001,,,,True,True,
7.906E-010,-7.525E-010,-4.048E+001,,,,True,True,
