Forward: Transformation from Normal heights to Ellipsoidal heights.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to EGBT22_Geoc.
Reverse: Transformation from EGBT22_Geoc to ETRS89_DREF91_Geoc.|>Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz
7.105E-015,0.000E+000,-1.000E+004,,,
7.105E-015,0.000E+000,-1.000E+004,,,
7.105E-015,0.000E+000,-1.000E+004,,,
7.105E-015,0.000E+000,-1.000E+004,,,
7.105E-015,0.000E+000,-1.000E+004,,,
7.105E-015,0.000E+000,-4.397E+001,,,
7.105E-015,0.000E+000,-4.390E+001,,,
7.105E-015,1.776E-015,-4.383E+001,,,
7.105E-015,0.000E+000,-4.373E+001,,,
0.000E+000,0.000E+000,-4.367E+001,,,
7.105E-015,-1.776E-015,-4.372E+001,,,
0.000E+000,0.000E+000,-4.367E+001,,,
7.105E-015,0.000E+000,-4.363E+001,,,
7.105E-015,0.000E+000,-4.357E+001,,,
-7.105E-015,0.000E+000,-4.353E+001,,,
0.000E+000,0.000E+000,-4.344E+001,,,
7.105E-015,0.000E+000,-4.338E+001,,,
7.105E-015,0.000E+000,-4.332E+001,,,
7.105E-015,0.000E+000,-4.327E+001,,,
-7.105E-015,0.000E+000,-4.325E+001,,,
0.000E+000,0.000E+000,-4.324E+001,,,
0.000E+000,0.000E+000,-4.323E+001,,,
0.000E+000,0.000E+000,-4.324E+001,,,
-7.105E-015,0.000E+000,-4.322E+001,,,
-7.105E-015,0.000E+000,-4.321E+001,,,
7.105E-015,0.000E+000,-4.318E+001,,,
7.105E-015,0.000E+000,-4.321E+001,,,
7.105E-015,0.000E+000,-4.323E+001,,,
7.105E-015,0.000E+000,-4.324E+001,,,
7.105E-015,0.000E+000,-4.326E+001,,,
7.105E-015,0.000E+000,-1.000E+004,,,
7.105E-015,0.000E+000,-1.000E+004,,,
7.105E-015,0.000E+000,-1.000E+004,,,
7.105E-015,0.000E+000,-1.000E+004,,,
7.105E-015,0.000E+000,-1.000E+004,,,
7.105E-015,0.000E+000,-4.397E+001,,,
7.105E-015,0.000E+000,-4.390E+001,,,
7.105E-015,0.000E+000,-4.383E+001,,,
7.105E-015,0.000E+000,-4.373E+001,,,
7.105E-015,0.000E+000,-4.367E+001,,,
7.105E-015,0.000E+000,-4.372E+001,,,
0.000E+000,0.000E+000,-4.367E+001,,,
0.000E+000,0.000E+000,-4.363E+001,,,
7.105E-015,0.000E+000,-4.357E+001,,,
7.105E-015,0.000E+000,-4.353E+001,,,
0.000E+000,0.000E+000,-4.344E+001,,,
7.105E-015,0.000E+000,-4.338E+001,,,
7.105E-015,0.000E+000,-4.332E+001,,,
0.000E+000,0.000E+000,-4.327E+001,,,
0.000E+000,0.000E+000,-4.325E+001,,,
-7.105E-015,0.000E+000,-4.324E+001,,,
0.000E+000,0.000E+000,-4.323E+001,,,
0.000E+000,0.000E+000,-4.324E+001,,,
0.000E+000,0.000E+000,-4.322E+001,,,
0.000E+000,0.000E+000,-4.321E+001,,,
7.105E-015,0.000E+000,-4.318E+001,,,
0.000E+000,0.000E+000,-4.321E+001,,,
7.105E-015,0.000E+000,-4.323E+001,,,
7.105E-015,0.000E+000,-4.324E+001,,,
7.105E-015,0.000E+000,-4.326E+001,,,
7.105E-015,0.000E+000,-1.000E+004,,,
7.105E-015,0.000E+000,-1.000E+004,,,
7.105E-015,1.776E-015,-1.000E+004,,,
7.105E-015,0.000E+000,-1.000E+004,,,
7.105E-015,0.000E+000,-1.000E+004,,,
1.421E-014,0.000E+000,-4.397E+001,,,
0.000E+000,0.000E+000,-4.390E+001,,,
7.105E-015,0.000E+000,-4.383E+001,,,
0.000E+000,0.000E+000,-4.373E+001,,,
7.105E-015,0.000E+000,-4.367E+001,,,
7.105E-015,0.000E+000,-4.372E+001,,,
0.000E+000,0.000E+000,-4.367E+001,,,
7.105E-015,0.000E+000,-4.363E+001,,,
7.105E-015,0.000E+000,-4.357E+001,,,
0.000E+000,0.000E+000,-4.353E+001,,,
0.000E+000,0.000E+000,-4.344E+001,,,
0.000E+000,0.000E+000,-4.338E+001,,,
7.105E-015,0.000E+000,-4.332E+001,,,
0.000E+000,0.000E+000,-4.327E+001,,,
7.105E-015,1.776E-015,-4.325E+001,,,
0.000E+000,0.000E+000,-4.324E+001,,,
0.000E+000,0.000E+000,-4.323E+001,,,
0.000E+000,0.000E+000,-4.324E+001,,,
0.000E+000,0.000E+000,-4.322E+001,,,
0.000E+000,0.000E+000,-4.321E+001,,,
7.105E-015,0.000E+000,-4.318E+001,,,
7.105E-015,0.000E+000,-4.321E+001,,,
7.105E-015,0.000E+000,-4.323E+001,,,
7.105E-015,0.000E+000,-4.324E+001,,,
7.105E-015,0.000E+000,-4.326E+001,,,
1.421E-014,0.000E+000,-1.000E+004,,,
7.105E-015,0.000E+000,-1.000E+004,,,
7.105E-015,0.000E+000,-1.000E+004,,,
7.105E-015,0.000E+000,-1.000E+004,,,
7.105E-015,0.000E+000,-1.000E+004,,,
7.105E-015,0.000E+000,-4.397E+001,,,
0.000E+000,0.000E+000,-4.390E+001,,,
7.105E-015,0.000E+000,-4.383E+001,,,
7.105E-015,0.000E+000,-4.373E+001,,,
0.000E+000,1.776E-015,-4.367E+001,,,
0.000E+000,0.000E+000,-4.372E+001,,,
0.000E+000,1.776E-015,-4.367E+001,,,
0.000E+000,0.000E+000,-4.363E+001,,,
0.000E+000,0.000E+000,-4.357E+001,,,
0.000E+000,0.000E+000,-4.353E+001,,,
0.000E+000,-1.776E-015,-4.344E+001,,,
0.000E+000,0.000E+000,-4.338E+001,,,
7.105E-015,0.000E+000,-4.332E+001,,,
0.000E+000,0.000E+000,-4.327E+001,,,
0.000E+000,0.000E+000,-4.325E+001,,,
0.000E+000,0.000E+000,-4.324E+001,,,
-7.105E-015,0.000E+000,-4.323E+001,,,
0.000E+000,0.000E+000,-4.324E+001,,,
-7.105E-015,0.000E+000,-4.322E+001,,,
0.000E+000,0.000E+000,-4.321E+001,,,
7.105E-015,0.000E+000,-4.318E+001,,,
7.105E-015,-1.776E-015,-4.321E+001,,,
7.105E-015,0.000E+000,-4.323E+001,,,
7.105E-015,0.000E+000,-4.324E+001,,,
7.105E-015,0.000E+000,-4.326E+001,,,
7.105E-015,1.776E-015,-1.000E+004,,,
0.000E+000,0.000E+000,-1.000E+004,,,
7.105E-015,0.000E+000,-1.000E+004,,,
7.105E-015,0.000E+000,-1.000E+004,,,
7.105E-015,0.000E+000,-1.000E+004,,,
7.105E-015,0.000E+000,-4.397E+001,,,
7.105E-015,0.000E+000,-4.390E+001,,,
7.105E-015,0.000E+000,-4.383E+001,,,
7.105E-015,0.000E+000,-4.373E+001,,,
7.105E-015,0.000E+000,-4.367E+001,,,
7.105E-015,0.000E+000,-4.372E+001,,,
7.105E-015,0.000E+000,-4.367E+001,,,
7.105E-015,0.000E+000,-4.363E+001,,,
7.105E-015,1.776E-015,-4.357E+001,,,
-7.105E-015,-1.776E-015,-4.353E+001,,,
-7.105E-015,0.000E+000,-4.344E+001,,,
0.000E+000,0.000E+000,-4.338E+001,,,
0.000E+000,0.000E+000,-4.332E+001,,,
0.000E+000,0.000E+000,-4.327E+001,,,
-7.105E-015,0.000E+000,-4.325E+001,,,
0.000E+000,0.000E+000,-4.324E+001,,,
-7.105E-015,0.000E+000,-4.323E+001,,,
0.000E+000,0.000E+000,-4.324E+001,,,
-7.105E-015,0.000E+000,-4.322E+001,,,
-7.105E-015,-1.776E-015,-4.321E+001,,,
7.105E-015,0.000E+000,-4.318E+001,,,
7.105E-015,0.000E+000,-4.321E+001,,,
7.105E-015,0.000E+000,-4.323E+001,,,
7.105E-015,-1.776E-015,-4.324E+001,,,
7.105E-015,0.000E+000,-4.326E+001,,,
