Forward: Transformation from Normal heights to Ellipsoidal heights.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.
Reverse: Iterative Transformation from Normal heights to Ellipsoidal heights.|>Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_DREF91_Geoc.|>Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz
-6.147E-011,3.456E-011,-2.000E+004,,,
-6.149E-011,3.450E-011,-2.000E+004,,,
-6.150E-011,3.444E-011,-2.000E+004,,,
-6.152E-011,3.438E-011,-2.000E+004,,,
-6.152E-011,3.431E-011,-2.000E+004,,,
-2.629E-013,1.528E-013,-8.794E+001,,,
-2.771E-013,1.510E-013,-8.779E+001,,,
-2.629E-013,1.528E-013,-8.766E+001,,,
-2.629E-013,1.492E-013,-8.746E+001,,,
-2.700E-013,1.510E-013,-8.735E+001,,,
-2.629E-013,1.528E-013,-8.743E+001,,,
-2.629E-013,1.545E-013,-8.734E+001,,,
-2.629E-013,1.492E-013,-8.725E+001,,,
-2.629E-013,1.492E-013,-8.715E+001,,,
-2.771E-013,1.492E-013,-8.706E+001,,,
-2.700E-013,1.528E-013,-8.688E+001,,,
-2.629E-013,1.528E-013,-8.676E+001,,,
-2.629E-013,1.492E-013,-8.664E+001,,,
-2.629E-013,1.492E-013,-8.654E+001,,,
-2.700E-013,1.510E-013,-8.650E+001,,,
-2.771E-013,1.528E-013,-8.648E+001,,,
-2.558E-013,1.474E-013,-8.646E+001,,,
-2.700E-013,1.510E-013,-8.648E+001,,,
-2.629E-013,1.492E-013,-8.644E+001,,,
-2.558E-013,1.457E-013,-8.642E+001,,,
-2.487E-013,1.492E-013,-8.636E+001,,,
-2.487E-013,1.528E-013,-8.641E+001,,,
-2.487E-013,1.510E-013,-8.646E+001,,,
-2.629E-013,1.492E-013,-8.649E+001,,,
-2.558E-013,1.510E-013,-8.652E+001,,,
-6.147E-011,3.456E-011,-2.000E+004,,,
-6.148E-011,3.449E-011,-2.000E+004,,,
-6.150E-011,3.444E-011,-2.000E+004,,,
-6.150E-011,3.437E-011,-2.000E+004,,,
-6.153E-011,3.431E-011,-2.000E+004,,,
-2.629E-013,1.528E-013,-8.794E+001,,,
-2.700E-013,1.545E-013,-8.779E+001,,,
-2.558E-013,1.528E-013,-8.766E+001,,,
-2.629E-013,1.528E-013,-8.746E+001,,,
-2.558E-013,1.510E-013,-8.735E+001,,,
-2.629E-013,1.545E-013,-8.743E+001,,,
-2.700E-013,1.528E-013,-8.734E+001,,,
-2.558E-013,1.510E-013,-8.725E+001,,,
-2.629E-013,1.510E-013,-8.715E+001,,,
-2.629E-013,1.528E-013,-8.706E+001,,,
-2.629E-013,1.528E-013,-8.688E+001,,,
-2.558E-013,1.510E-013,-8.676E+001,,,
-2.700E-013,1.528E-013,-8.664E+001,,,
-2.629E-013,1.492E-013,-8.654E+001,,,
-2.629E-013,1.528E-013,-8.650E+001,,,
-2.629E-013,1.492E-013,-8.648E+001,,,
-2.629E-013,1.492E-013,-8.646E+001,,,
-2.629E-013,1.474E-013,-8.648E+001,,,
-2.629E-013,1.492E-013,-8.644E+001,,,
-2.629E-013,1.492E-013,-8.642E+001,,,
-2.558E-013,1.510E-013,-8.636E+001,,,
-2.629E-013,1.510E-013,-8.641E+001,,,
-2.558E-013,1.492E-013,-8.646E+001,,,
-2.558E-013,1.510E-013,-8.649E+001,,,
-2.558E-013,1.474E-013,-8.652E+001,,,
-6.146E-011,3.456E-011,-2.000E+004,,,
-6.149E-011,3.449E-011,-2.000E+004,,,
-6.150E-011,3.444E-011,-2.000E+004,,,
-6.150E-011,3.437E-011,-2.000E+004,,,
-6.153E-011,3.431E-011,-2.000E+004,,,
-2.558E-013,1.528E-013,-8.794E+001,,,
-2.629E-013,1.545E-013,-8.779E+001,,,
-2.629E-013,1.528E-013,-8.766E+001,,,
-2.558E-013,1.492E-013,-8.746E+001,,,
-2.629E-013,1.474E-013,-8.735E+001,,,
-2.629E-013,1.528E-013,-8.743E+001,,,
-2.700E-013,1.510E-013,-8.734E+001,,,
-2.629E-013,1.510E-013,-8.725E+001,,,
-2.629E-013,1.510E-013,-8.715E+001,,,
-2.700E-013,1.492E-013,-8.706E+001,,,
-2.416E-013,1.528E-013,-8.688E+001,,,
-2.629E-013,1.492E-013,-8.676E+001,,,
-2.558E-013,1.492E-013,-8.664E+001,,,
-2.700E-013,1.510E-013,-8.654E+001,,,
-2.629E-013,1.510E-013,-8.650E+001,,,
-2.558E-013,1.492E-013,-8.648E+001,,,
-2.629E-013,1.474E-013,-8.646E+001,,,
-2.629E-013,1.474E-013,-8.648E+001,,,
-2.700E-013,1.492E-013,-8.644E+001,,,
-2.629E-013,1.528E-013,-8.642E+001,,,
-2.558E-013,1.528E-013,-8.636E+001,,,
-2.487E-013,1.545E-013,-8.641E+001,,,
-2.558E-013,1.510E-013,-8.646E+001,,,
-2.416E-013,1.492E-013,-8.649E+001,,,
-2.558E-013,1.492E-013,-8.652E+001,,,
-6.146E-011,3.456E-011,-2.000E+004,,,
-6.148E-011,3.450E-011,-2.000E+004,,,
-6.148E-011,3.444E-011,-2.000E+004,,,
-6.150E-011,3.437E-011,-2.000E+004,,,
-6.152E-011,3.431E-011,-2.000E+004,,,
-2.558E-013,1.528E-013,-8.794E+001,,,
-2.558E-013,1.510E-013,-8.779E+001,,,
-2.629E-013,1.510E-013,-8.766E+001,,,
-2.629E-013,1.492E-013,-8.746E+001,,,
-2.558E-013,1.528E-013,-8.735E+001,,,
-2.629E-013,1.545E-013,-8.743E+001,,,
-2.842E-013,1.510E-013,-8.734E+001,,,
-2.629E-013,1.528E-013,-8.725E+001,,,
-2.629E-013,1.528E-013,-8.715E+001,,,
-2.629E-013,1.510E-013,-8.706E+001,,,
-2.700E-013,1.492E-013,-8.688E+001,,,
-2.558E-013,1.528E-013,-8.676E+001,,,
-2.700E-013,1.492E-013,-8.664E+001,,,
-2.629E-013,1.510E-013,-8.654E+001,,,
-2.700E-013,1.474E-013,-8.650E+001,,,
-2.700E-013,1.492E-013,-8.648E+001,,,
-2.700E-013,1.492E-013,-8.646E+001,,,
-2.629E-013,1.474E-013,-8.648E+001,,,
-2.700E-013,1.492E-013,-8.644E+001,,,
-2.629E-013,1.492E-013,-8.642E+001,,,
-2.487E-013,1.545E-013,-8.636E+001,,,
-2.558E-013,1.510E-013,-8.641E+001,,,
-2.487E-013,1.510E-013,-8.646E+001,,,
-2.558E-013,1.510E-013,-8.649E+001,,,
-2.487E-013,1.474E-013,-8.652E+001,,,
-6.146E-011,3.456E-011,-2.000E+004,,,
-6.148E-011,3.450E-011,-2.000E+004,,,
-6.151E-011,3.444E-011,-2.000E+004,,,
-6.150E-011,3.438E-011,-2.000E+004,,,
-6.153E-011,3.431E-011,-2.000E+004,,,
-2.700E-013,1.528E-013,-8.794E+001,,,
-2.629E-013,1.510E-013,-8.779E+001,,,
-2.487E-013,1.528E-013,-8.766E+001,,,
-2.629E-013,1.492E-013,-8.746E+001,,,
-2.629E-013,1.492E-013,-8.735E+001,,,
-2.700E-013,1.510E-013,-8.743E+001,,,
-2.629E-013,1.492E-013,-8.734E+001,,,
-2.629E-013,1.510E-013,-8.725E+001,,,
-2.629E-013,1.528E-013,-8.715E+001,,,
-2.558E-013,1.492E-013,-8.706E+001,,,
-2.700E-013,1.510E-013,-8.688E+001,,,
-2.700E-013,1.510E-013,-8.676E+001,,,
-2.700E-013,1.474E-013,-8.664E+001,,,
-2.629E-013,1.510E-013,-8.654E+001,,,
-2.629E-013,1.474E-013,-8.650E+001,,,
-2.629E-013,1.510E-013,-8.648E+001,,,
-2.629E-013,1.492E-013,-8.646E+001,,,
-2.629E-013,1.492E-013,-8.648E+001,,,
-2.487E-013,1.492E-013,-8.644E+001,,,
-2.629E-013,1.492E-013,-8.642E+001,,,
-2.558E-013,1.528E-013,-8.636E+001,,,
-2.558E-013,1.510E-013,-8.641E+001,,,
-2.558E-013,1.492E-013,-8.646E+001,,,
-2.487E-013,1.492E-013,-8.649E+001,,,
-2.558E-013,1.492E-013,-8.652E+001,,,
