Forward: Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.|>Transformation from Normal heights to Ellipsoidal heights.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to DB_Ref_Geoc.|>Conversion from DB_Ref_Geoc to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.
Reverse: Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Iterative transformation from Normal heights to Ellipsoidal heights.|>Conversion from DB_Ref_Geod to DB_Ref_Geoc.|>Transformation from DB_Ref_Geoc to ETRS89_DREF91_Geoc.|>Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz
-5.738E-002,-2.038E-001,-1.995E+004,,,
-5.805E-002,-2.038E-001,-1.995E+004,,,
-5.872E-002,-2.038E-001,-1.995E+004,,,
-5.939E-002,-2.037E-001,-1.995E+004,,,
-6.005E-002,-2.037E-001,-1.995E+004,,,
-5.258E-005,8.655E-005,-4.089E+001,,,
-5.205E-005,8.765E-005,-4.077E+001,,,
-5.154E-005,8.861E-005,-4.065E+001,,,
-5.083E-005,9.029E-005,-4.047E+001,,,
-5.038E-005,9.101E-005,-4.038E+001,,,
-5.246E-005,8.760E-005,-4.062E+001,,,
-5.207E-005,8.819E-005,-4.055E+001,,,
-5.170E-005,8.870E-005,-4.048E+001,,,
-5.129E-005,8.935E-005,-4.039E+001,,,
-5.092E-005,8.979E-005,-4.033E+001,,,
-5.221E-005,8.916E-005,-4.030E+001,,,
-5.175E-005,8.999E-005,-4.020E+001,,,
-5.126E-005,9.089E-005,-4.010E+001,,,
-5.085E-005,9.151E-005,-4.002E+001,,,
-5.062E-005,9.152E-005,-4.000E+001,,,
-5.241E-005,8.904E-005,-4.014E+001,,,
-5.224E-005,8.885E-005,-4.014E+001,,,
-5.220E-005,8.817E-005,-4.018E+001,,,
-5.198E-005,8.818E-005,-4.016E+001,,,
-5.179E-005,8.803E-005,-4.016E+001,,,
-5.342E-005,8.592E-005,-4.025E+001,,,
