Forward: Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.|>Transformation from Normal heights to Ellipsoidal heights.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to DB_Ref_Geoc.
Reverse: Transformation from DB_Ref_Geoc to ETRS89_DREF91_Geoc.|>Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz,isInsideBBox,isInsideHeightRange,srcPPM
-7.034E-005,2.279E-005,-1.000E+004,,,,False,False,327.2
-7.032E-005,2.279E-005,-1.000E+004,,,,False,False,334.4
-7.030E-005,2.279E-005,-1.000E+004,,,,False,False,341.3
-7.028E-005,2.279E-005,-1.000E+004,,,,False,False,347.9
-7.027E-005,2.279E-005,-1.000E+004,,,,False,False,354.2
-7.034E-005,2.285E-005,-4.397E+001,,,,False,False,327.6
-7.032E-005,2.285E-005,-4.390E+001,,,,True,False,334.8
-7.030E-005,2.285E-005,-4.383E+001,,,,True,False,341.7
-7.028E-005,2.285E-005,-4.373E+001,,,,True,False,348.3
-7.026E-005,2.285E-005,-4.367E+001,,,,False,False,354.5
-7.034E-005,2.290E-005,-4.372E+001,,,,False,False,328.0
-7.032E-005,2.290E-005,-4.367E+001,,,,True,False,335.1
-7.030E-005,2.291E-005,-4.363E+001,,,,True,False,342.0
-7.028E-005,2.290E-005,-4.357E+001,,,,True,False,348.5
-7.026E-005,2.290E-005,-4.353E+001,,,,False,False,354.8
-7.033E-005,2.296E-005,-4.344E+001,,,,False,False,328.3
-7.032E-005,2.296E-005,-4.338E+001,,,,True,False,335.4
-7.030E-005,2.296E-005,-4.332E+001,,,,True,False,342.2
-7.028E-005,2.296E-005,-4.327E+001,,,,True,False,348.8
-7.026E-005,2.296E-005,-4.325E+001,,,,False,False,355.0
-7.033E-005,2.302E-005,-4.324E+001,,,,False,False,328.6
-7.032E-005,2.302E-005,-4.323E+001,,,,False,False,335.7
