Forward: Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.|>Transformation from Normal heights to Ellipsoidal heights.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.
Reverse: Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Iterative Transformation from Normal heights to Ellipsoidal heights.|>Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_DREF91_Geoc.|>Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz,isInsideBBox,isInsideHeightRange,srcPPM
2.334E-006,-6.873E-006,-2.000E+004,,,,False,False,327.2
2.334E-006,-6.873E-006,-2.000E+004,,,,False,False,334.4
2.335E-006,-6.873E-006,-2.000E+004,,,,False,False,341.3
2.335E-006,-6.871E-006,-2.000E+004,,,,False,False,347.9
2.335E-006,-6.878E-006,-2.000E+004,,,,False,False,354.2
1.036E-008,-2.701E-008,-8.794E+001,,,,False,False,327.6
1.042E-008,-3.260E-008,-8.779E+001,,,,True,False,334.8
1.007E-008,-2.887E-008,-8.766E+001,,,,True,False,341.7
1.024E-008,-2.794E-008,-8.746E+001,,,,True,False,348.3
1.030E-008,-3.073E-008,-8.735E+001,,,,False,False,354.5
1.007E-008,-2.887E-008,-8.743E+001,,,,False,False,328.0
1.036E-008,-3.073E-008,-8.734E+001,,,,True,False,335.1
1.013E-008,-2.794E-008,-8.725E+001,,,,True,False,342.0
1.024E-008,-2.980E-008,-8.715E+001,,,,True,False,348.5
1.024E-008,-3.073E-008,-8.706E+001,,,,False,False,354.8
9.954E-009,-3.446E-008,-8.688E+001,,,,False,False,328.3
1.013E-008,-2.887E-008,-8.676E+001,,,,True,False,335.4
1.001E-008,-2.794E-008,-8.664E+001,,,,True,False,342.2
1.019E-008,-2.794E-008,-8.654E+001,,,,True,False,348.8
1.013E-008,-2.980E-008,-8.650E+001,,,,False,False,355.0
1.001E-008,-3.073E-008,-8.648E+001,,,,False,False,328.6
1.042E-008,-2.794E-008,-8.646E+001,,,,False,False,335.7
9.779E-009,-3.260E-008,-8.648E+001,,,,False,False,342.5
1.030E-008,-2.980E-008,-8.644E+001,,,,False,False,349.0
1.013E-008,-2.608E-008,-8.642E+001,,,,False,False,355.2
9.954E-009,-3.073E-008,-8.636E+001,,,,False,False,329.0
1.024E-008,-2.794E-008,-8.641E+001,,,,False,False,336.1
1.001E-008,-2.701E-008,-8.646E+001,,,,False,False,342.9
9.662E-009,-3.260E-008,-8.649E+001,,,,False,False,349.3
1.007E-008,-3.073E-008,-8.652E+001,,,,False,False,355.5
2.335E-006,-6.878E-006,-2.000E+004,,,,False,True,336.6
2.335E-006,-6.873E-006,-2.000E+004,,,,False,True,343.8
2.334E-006,-6.872E-006,-2.000E+004,,,,False,True,350.7
2.335E-006,-6.872E-006,-2.000E+004,,,,False,True,357.4
2.335E-006,-6.877E-006,-2.000E+004,,,,False,True,363.7
1.042E-008,-2.794E-008,-8.794E+001,,,,False,True,337.0
1.042E-008,-3.166E-008,-8.779E+001,,,,True,True,344.2
1.019E-008,-2.608E-008,-8.766E+001,,,,True,True,351.1
1.030E-008,-3.073E-008,-8.746E+001,,,,True,True,357.7
1.030E-008,-3.073E-008,-8.735E+001,,,,False,True,364.0
1.019E-008,-2.887E-008,-8.743E+001,,,,False,True,337.4
1.024E-008,-3.446E-008,-8.734E+001,,,,True,True,344.5
1.013E-008,-2.701E-008,-8.725E+001,,,,True,True,351.4
1.030E-008,-3.166E-008,-8.715E+001,,,,True,True,358.0
9.954E-009,-3.353E-008,-8.706E+001,,,,False,True,364.2
1.013E-008,-2.794E-008,-8.688E+001,,,,False,True,337.7
1.013E-008,-2.608E-008,-8.676E+001,,,,True,True,344.8
1.013E-008,-3.073E-008,-8.664E+001,,,,True,True,351.6
1.019E-008,-2.515E-008,-8.654E+001,,,,True,True,358.2
1.007E-008,-3.260E-008,-8.650E+001,,,,False,True,364.4
9.779E-009,-3.073E-008,-8.648E+001,,,,False,True,338.0
1.048E-008,-2.794E-008,-8.646E+001,,,,False,True,345.1
1.024E-008,-3.166E-008,-8.648E+001,,,,False,True,351.9
1.001E-008,-2.980E-008,-8.644E+001,,,,False,True,358.4
1.024E-008,-2.794E-008,-8.642E+001,,,,False,True,364.6
9.954E-009,-2.421E-008,-8.636E+001,,,,False,True,338.4
1.024E-008,-2.794E-008,-8.641E+001,,,,False,True,345.5
1.024E-008,-3.166E-008,-8.646E+001,,,,False,True,352.3
1.019E-008,-3.073E-008,-8.649E+001,,,,False,True,358.7
1.001E-008,-3.353E-008,-8.652E+001,,,,False,True,364.9
2.334E-006,-6.878E-006,-2.000E+004,,,,False,True,346.0
2.334E-006,-6.870E-006,-2.000E+004,,,,False,True,353.2
2.335E-006,-6.872E-006,-2.000E+004,,,,False,True,360.2
2.335E-006,-6.869E-006,-2.000E+004,,,,False,True,366.8
2.335E-006,-6.877E-006,-2.000E+004,,,,False,True,373.1
1.036E-008,-2.701E-008,-8.794E+001,,,,False,True,346.5
1.019E-008,-3.260E-008,-8.779E+001,,,,True,True,353.7
1.042E-008,-2.887E-008,-8.766E+001,,,,True,True,360.6
1.030E-008,-2.794E-008,-8.746E+001,,,,True,True,367.1
1.013E-008,-3.073E-008,-8.735E+001,,,,False,True,373.4
1.030E-008,-2.887E-008,-8.743E+001,,,,False,True,346.8
1.030E-008,-3.073E-008,-8.734E+001,,,,True,True,354.0
1.042E-008,-2.701E-008,-8.725E+001,,,,True,True,360.8
1.024E-008,-3.166E-008,-8.715E+001,,,,True,True,367.4
1.024E-008,-3.073E-008,-8.706E+001,,,,False,True,373.6
1.030E-008,-2.701E-008,-8.688E+001,,,,False,True,347.1
1.013E-008,-2.887E-008,-8.676E+001,,,,True,True,354.2
